target,window,seed,best_epoch_250Hz,best_val_loss_250Hz,test_loss_at_best_250Hz,test_top1_at_best_250Hz,test_top5_at_best_250Hz,gap_at_best_250Hz,final_gap_250Hz,input_dimension_250Hz,n_parameters_250Hz,best_epoch_1000Hz,best_val_loss_1000Hz,test_loss_at_best_1000Hz,test_top1_at_best_1000Hz,test_top5_at_best_1000Hz,gap_at_best_1000Hz,final_gap_1000Hz,input_dimension_1000Hz,n_parameters_1000Hz,delta_test_loss_1000_minus_250,delta_test_top1_1000_minus_250,delta_test_top5_1000_minus_250,delta_gap_1000_minus_250,parameter_ratio_1000_over_250
RN50__stem,100_200,0,30,6.829113960266113,4.119930267333984,0.05999999865889549,0.29499998688697815,0.5043535232543945,0.5043535232543945,1575,105152,12,6.825597763061523,4.015996932983398,0.10999999940395355,0.3349999785423279,0.8965024948120117,1.125800609588623,6300,407552,-0.10393333435058594,0.05000000074505806,0.03999999165534973,0.3921489715576172,3.875836883749239
RN50__stem,100_200,1,30,6.920346260070801,4.1032209396362305,0.08500000089406967,0.32499998807907104,0.6088862419128418,0.6088862419128418,1575,105152,11,6.914862632751465,4.0968170166015625,0.125,0.29499998688697815,1.018697738647461,1.2999048233032227,6300,407552,-0.006403923034667969,0.03999999910593033,-0.030000001192092896,0.40981149673461914,3.875836883749239
RN50__stem,300_400,0,10,7.304311752319336,4.9752607345581055,0.014999999664723873,0.0949999988079071,0.23793745040893555,0.3879399299621582,1575,105152,4,7.318112850189209,4.967501640319824,0.029999999329447746,0.11499999463558197,0.3512091636657715,0.8756628036499023,6300,407552,-0.00775909423828125,0.014999999664723873,0.019999995827674866,0.11327171325683594,3.875836883749239
RN50__stem,300_400,1,12,7.313507080078125,4.931800842285156,0.009999999776482582,0.07499999552965164,0.27847766876220703,0.40122509002685547,1575,105152,4,7.325385570526123,4.947101593017578,0.019999999552965164,0.07999999821186066,0.3461494445800781,0.8873906135559082,6300,407552,0.015300750732421875,0.009999999776482582,0.005000002682209015,0.0676717758178711,3.875836883749239
RN50__stem,500_600,0,9,7.477667808532715,5.266270160675049,0.004999999888241291,0.03999999910593033,0.1821422576904297,0.2871565818786621,1575,105152,4,7.489910125732422,5.300600051879883,0.009999999776482582,0.02499999850988388,0.2659416198730469,0.7609987258911133,6300,407552,0.034329891204833984,0.004999999888241291,-0.015000000596046448,0.08379936218261719,3.875836883749239
RN50__stem,500_600,1,10,7.475699424743652,5.270207405090332,0.009999999776482582,0.029999999329447746,0.17739295959472656,0.2733449935913086,1575,105152,3,7.49598503112793,5.281299591064453,0.004999999888241291,0.029999999329447746,0.20473861694335938,0.679537296295166,6300,407552,0.011092185974121094,-0.004999999888241291,0.0,0.027345657348632812,3.875836883749239
RN50__attnpool,100_200,0,30,6.740652561187744,4.019116401672363,0.10499999672174454,0.3349999785423279,1.53071928024292,1.53071928024292,1575,1070592,8,6.720182418823242,4.146857261657715,0.09999999403953552,0.2849999964237213,2.0066299438476562,2.731828212738037,6300,3489792,0.12774085998535156,-0.005000002682209015,-0.04999998211860657,0.47591066360473633,3.259684361549498
RN50__attnpool,100_200,1,24,6.749975204467773,4.048791885375977,0.10999999940395355,0.3199999928474426,1.538362979888916,1.556300163269043,1575,1070592,6,6.744582176208496,4.209383010864258,0.10999999940395355,0.25,1.7215251922607422,2.665569305419922,6300,3489792,0.16059112548828125,0.0,-0.06999999284744263,0.18316221237182617,3.259684361549498
RN50__attnpool,300_400,0,26,7.0717315673828125,4.253002166748047,0.07499999552965164,0.2800000011920929,1.4748706817626953,1.4802675247192383,1575,1070592,7,7.059234619140625,4.384313583374023,0.054999999701976776,0.2199999988079071,1.7644329071044922,2.6156649589538574,6300,3489792,0.13131141662597656,-0.019999995827674866,-0.06000000238418579,0.2895622253417969,3.259684361549498
RN50__attnpool,300_400,1,24,7.070114612579346,4.1992716789245605,0.05999999865889549,0.26999998092651367,1.447655200958252,1.4643173217773438,1575,1070592,6,7.067760944366455,4.404850959777832,0.03999999910593033,0.2149999886751175,1.5898194313049316,2.5494771003723145,6300,3489792,0.20557928085327148,-0.019999999552965164,-0.05499999225139618,0.1421642303466797,3.259684361549498
RN50__attnpool,500_600,0,3,7.485998153686523,5.283046722412109,0.009999999776482582,0.03999999910593033,0.3816690444946289,1.0542654991149902,1575,1070592,1,7.477065086364746,5.303428649902344,0.0,0.03500000014901161,0.3832850456237793,2.002243995666504,6300,3489792,0.020381927490234375,-0.009999999776482582,-0.004999998956918716,0.0016160011291503906,3.259684361549498
RN50__attnpool,500_600,1,2,7.494691848754883,5.355895042419434,0.004999999888241291,0.014999999664723873,0.29727840423583984,1.0178122520446777,1575,1070592,1,7.460205078125,5.294557571411133,0.009999999776482582,0.03500000014901161,0.36446475982666016,2.012584686279297,6300,3489792,-0.06133747100830078,0.004999999888241291,0.02000000048428774,0.06718635559082031,3.259684361549498
ViT-B-16__block2,100_200,0,30,6.449169635772705,3.4090535640716553,0.17499999701976776,0.5249999761581421,1.059652328491211,1.059652328491211,1575,1070592,19,6.487922668457031,3.3652424812316895,0.1899999976158142,0.5,1.915198802947998,2.0254759788513184,6300,3489792,-0.04381108283996582,0.015000000596046448,-0.02499997615814209,0.8555464744567871,3.259684361549498
ViT-B-16__block2,100_200,1,30,6.499117851257324,3.396031379699707,0.19499999284744263,0.5,1.1170063018798828,1.1170063018798828,1575,1070592,12,6.546483039855957,3.456052303314209,0.17499999701976776,0.4899999797344208,1.718001365661621,2.054995536804199,6300,3489792,0.06002092361450195,-0.019999995827674866,-0.010000020265579224,0.6009950637817383,3.259684361549498
ViT-B-16__block2,300_400,0,12,7.202539443969727,4.5663933753967285,0.04999999701976776,0.2149999886751175,0.7307157516479492,0.9420108795166016,1575,1070592,5,7.21258020401001,4.637414932250977,0.04999999701976776,0.14999999105930328,0.8688521385192871,1.6054306030273438,6300,3489792,0.07102155685424805,0.0,-0.06499999761581421,0.1381363868713379,3.259684361549498
ViT-B-16__block2,300_400,1,14,7.215056419372559,4.538007736206055,0.06499999761581421,0.22999998927116394,0.8136520385742188,0.9773316383361816,1575,1070592,4,7.200405120849609,4.700268745422363,0.029999999329447746,0.1599999964237213,0.7285676002502441,1.5631451606750488,6300,3489792,0.1622610092163086,-0.03499999828636646,-0.06999999284744263,-0.08508443832397461,3.259684361549498
ViT-B-16__block2,500_600,0,3,7.443800926208496,5.248239517211914,0.014999999664723873,0.054999999701976776,0.19466400146484375,0.6194567680358887,1575,1070592,1,7.441375732421875,5.259934425354004,0.02499999850988388,0.03999999910593033,0.19112205505371094,1.1499524116516113,6300,3489792,0.011694908142089844,0.009999998845160007,-0.015000000596046448,-0.0035419464111328125,3.259684361549498
ViT-B-16__block2,500_600,1,2,7.440544605255127,5.258092880249023,0.009999999776482582,0.054999999701976776,0.14598512649536133,0.5920314788818359,1575,1070592,1,7.44681978225708,5.260176658630371,0.0,0.03500000014901161,0.21089696884155273,1.2236723899841309,6300,3489792,0.0020837783813476562,-0.009999999776482582,-0.019999999552965164,0.0649118423461914,3.259684361549498
ViT-B-16__block12,100_200,0,30,6.8268914222717285,4.2062273025512695,0.10499999672174454,0.22499999403953552,1.6945548057556152,1.6945548057556152,1575,1070592,8,6.823456764221191,4.317598342895508,0.05999999865889549,0.2549999952316284,2.27117919921875,3.0544819831848145,6300,3489792,0.11137104034423828,-0.044999998062849045,0.030000001192092896,0.5766243934631348,3.259684361549498
ViT-B-16__block12,100_200,1,26,6.82611083984375,4.219049453735352,0.0949999988079071,0.28999999165534973,1.6913366317749023,1.6971440315246582,1575,1070592,6,6.839908123016357,4.362007141113281,0.08500000089406967,0.25999999046325684,1.9323019981384277,2.9314541816711426,6300,3489792,0.1429576873779297,-0.009999997913837433,-0.030000001192092896,0.2409653663635254,3.259684361549498
ViT-B-16__block12,300_400,0,30,7.1159210205078125,4.384267807006836,0.05999999865889549,0.25999999046325684,1.6347627639770508,1.6347627639770508,1575,1070592,8,7.099616050720215,4.570180892944336,0.03999999910593033,0.17000000178813934,2.1554408073425293,2.960440158843994,6300,3489792,0.1859130859375,-0.019999999552965164,-0.08999998867511749,0.5206780433654785,3.259684361549498
