target,window,seed,epoch,train_loss,val_loss,train_top1,train_top5,val_top1,val_top5,temperature,learning_rate
RN50__attnpool,0_100,0,1,7.319645404815674,7.45655632019043,0.0024183797650039196,0.012091899290680885,0.0006045949412509799,0.0012091898825019598,0.07038433849811554,9.990133642141359e-05
RN50__attnpool,0_100,0,2,7.133440017700195,7.402904987335205,0.005441354587674141,0.019347038120031357,0.0006045949412509799,0.0036275696475058794,0.07049477100372314,9.96057350657239e-05
RN50__attnpool,0_100,0,3,6.9464826583862305,7.366775035858154,0.010882709175348282,0.038694076240062714,0.0,0.005441354587674141,0.07028327137231827,9.911436253643444e-05
RN50__attnpool,0_100,0,4,6.757656097412109,7.339365482330322,0.017533253878355026,0.0677146315574646,0.0012091898825019598,0.005441354587674141,0.0697956532239914,9.842915805643155e-05
RN50__attnpool,0_100,0,5,6.58394718170166,7.316169261932373,0.027811367064714432,0.1015719473361969,0.0018137848237529397,0.006650544237345457,0.06917804479598999,9.755282581475769e-05
RN50__attnpool,0_100,0,6,6.422800064086914,7.297206878662109,0.044135428965091705,0.13905683159828186,0.0018137848237529397,0.007255139295011759,0.06853245198726654,9.648882429441257e-05
RN50__attnpool,0_100,0,7,6.270612716674805,7.283077239990234,0.07073760777711868,0.1741233468055725,0.0030229748226702213,0.007859733887016773,0.06790100783109665,9.524135262330098e-05
RN50__attnpool,0_100,0,8,6.12721061706543,7.2730255126953125,0.093712218105793,0.21402661502361298,0.0024183797650039196,0.009068924002349377,0.06729281693696976,9.381533400219317e-05
RN50__attnpool,0_100,0,9,5.994715213775635,7.268371105194092,0.11487303674221039,0.25876662135124207,0.0030229748226702213,0.009673519060015678,0.06670667231082916,9.221639627510075e-05
RN50__attnpool,0_100,0,10,5.864285469055176,7.266730308532715,0.13845224678516388,0.3016928732395172,0.0030229748226702213,0.009673519060015678,0.06614185124635696,9.045084971874735e-05
RN50__attnpool,0_100,0,11,5.744601249694824,7.265241622924805,0.161426842212677,0.343409925699234,0.0018137848237529397,0.010882709175348282,0.06560298055410385,8.852566213878945e-05
RN50__attnpool,0_100,0,12,5.628403663635254,7.268698692321777,0.19467957317829132,0.3899637460708618,0.0024183797650039196,0.011487304233014584,0.06508985906839371,8.644843137107056e-05
RN50__attnpool,0_100,0,13,5.520055770874023,7.271328449249268,0.21704958379268646,0.42321646213531494,0.0024183797650039196,0.011487304233014584,0.06459852308034897,8.422735529643442e-05
RN50__attnpool,0_100,0,14,5.420244216918945,7.277865409851074,0.24304716289043427,0.4600967466831207,0.0018137848237529397,0.01027811411768198,0.06413014978170395,8.187119948743447e-05
RN50__attnpool,0_100,0,15,5.321619510650635,7.284509658813477,0.2732769250869751,0.5133011341094971,0.0018137848237529397,0.013301088474690914,0.06368599832057953,7.938926261462366e-05
RN50__attnpool,0_100,0,16,5.233553886413574,7.290592193603516,0.30350667238235474,0.54111248254776,0.0006045949412509799,0.012091899290680885,0.06326399743556976,7.679133974894982e-05
RN50__attnpool,0_100,0,17,5.142889976501465,7.299926280975342,0.33494558930397034,0.5731559991836548,0.0024183797650039196,0.012696493417024612,0.06286440789699554,7.408768370508575e-05
RN50__attnpool,0_100,0,18,5.0641326904296875,7.306515693664551,0.35247886180877686,0.5949214100837708,0.0024183797650039196,0.013905683532357216,0.06248526647686958,7.128896457825361e-05
RN50__attnpool,0_100,0,19,4.988574981689453,7.314266681671143,0.37847644090652466,0.6172914505004883,0.0030229748226702213,0.013301088474690914,0.06212860345840454,6.840622763423389e-05
RN50__attnpool,0_100,0,20,4.918653964996338,7.320317268371582,0.3929867148399353,0.6330109238624573,0.0030229748226702213,0.01511487364768982,0.06179274246096611,6.545084971874736e-05
RN50__attnpool,0_100,0,21,4.856219291687012,7.328701019287109,0.4081015884876251,0.6505441665649414,0.0030229748226702213,0.01511487364768982,0.06147712469100952,6.243449435824272e-05
RN50__attnpool,0_100,0,22,4.795955657958984,7.336583137512207,0.42019349336624146,0.6686819791793823,0.0036275696475058794,0.014510278590023518,0.06118112802505493,5.9369065729286224e-05
RN50__attnpool,0_100,0,23,4.736371994018555,7.345115661621094,0.4395405352115631,0.677146315574646,0.0042321644723415375,0.01511487364768982,0.06090478599071503,5.626666167821521e-05
RN50__attnpool,0_100,0,24,4.687356948852539,7.351199150085449,0.45465540885925293,0.692865788936615,0.0042321644723415375,0.01511487364768982,0.06064736843109131,5.3139525976465657e-05
RN50__attnpool,0_100,0,25,4.636965274810791,7.358503341674805,0.46191054582595825,0.7073760628700256,0.0042321644723415375,0.014510278590023518,0.060407813638448715,4.999999999999998e-05
RN50__attnpool,0_100,0,26,4.5908589363098145,7.365507125854492,0.4836759567260742,0.7140266299247742,0.0042321644723415375,0.013905683532357216,0.06018652394413948,4.6860474023534314e-05
RN50__attnpool,0_100,0,27,4.55361270904541,7.372519493103027,0.49334946274757385,0.7297461032867432,0.004836759530007839,0.014510278590023518,0.05998280644416809,4.3733338321784775e-05
RN50__attnpool,0_100,0,28,4.514376163482666,7.378288269042969,0.5048367977142334,0.7357920408248901,0.0036275696475058794,0.014510278590023518,0.059794455766677856,4.063093427071375e-05
RN50__attnpool,0_100,0,29,4.482897758483887,7.38201904296875,0.5054413676261902,0.746070146560669,0.004836759530007839,0.013301088474690914,0.05962209030985832,3.756550564175724e-05
RN50__attnpool,0_100,0,30,4.449873924255371,7.385971546173096,0.5187424421310425,0.7539299130439758,0.0042321644723415375,0.013905683532357216,0.05946432799100876,3.454915028125263e-05
