target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__layer4,200_300,3.4555,0.012,0.194,0.47,5
RN50__layer4,300_400,4.0167,0.0301,0.12,0.313,5
RN50__layer4,400_500,4.7666,0.0263,0.025,0.11,5
RN50__layer4,500_600,5.1803,0.0292,0.007,0.056,5
RN50__layer4,600_700,5.2294,0.0189,0.01,0.053,5
RN50__layer4,700_800,5.3101,0.0124,0.007,0.028,5
RN50__layer4,800_900,5.3246,0.0153,0.006,0.033,5
RN50__layer4,900_1000,5.3354,0.016,0.005,0.023,5
RN50__layer4__fov,0_100,4.5911,0.0293,0.049,0.176,5
RN50__layer4__fov,100_200,3.3339,0.0194,0.255,0.491,5
RN50__layer4__fov,200_300,3.3943,0.0248,0.208,0.502,5
RN50__layer4__fov,300_400,3.9837,0.022,0.123,0.324,5
RN50__layer4__fov,400_500,4.7533,0.0217,0.023,0.101,5
RN50__layer4__fov,500_600,5.1762,0.0356,0.013,0.049,5
RN50__layer4__fov,600_700,5.2363,0.0149,0.009,0.043,5
RN50__layer4__fov,700_800,5.3156,0.009,0.01,0.036,5
RN50__layer4__fov,800_900,5.3326,0.0157,0.008,0.027,5
RN50__layer4__fov,900_1000,5.3404,0.0084,0.004,0.026,5
RN50__stem,0_100,4.6435,0.0393,0.022,0.146,5
RN50__stem,100_200,3.9768,0.0371,0.097,0.325,5
RN50__stem,200_300,4.3665,0.0436,0.055,0.224,5
RN50__stem,300_400,4.9571,0.0326,0.02,0.122,5
RN50__stem,400_500,5.2054,0.0122,0.007,0.046,5
RN50__stem,500_600,5.2765,0.0056,0.006,0.034,5
RN50__stem,600_700,5.2977,0.0071,0.004,0.028,5
RN50__stem,700_800,5.3197,0.0027,0.005,0.019,5
RN50__stem,800_900,5.3103,0.0075,0.007,0.032,5
RN50__stem,900_1000,5.3156,0.003,0.003,0.02,5
RN50__stem__fov,0_100,4.5737,0.034,0.033,0.165,5
RN50__stem__fov,100_200,3.8467,0.0069,0.115,0.359,5
RN50__stem__fov,200_300,4.3036,0.0164,0.058,0.243,5
RN50__stem__fov,300_400,4.9099,0.0105,0.022,0.138,5
RN50__stem__fov,400_500,5.1995,0.0027,0.011,0.044,5
RN50__stem__fov,500_600,5.2727,0.0031,0.007,0.029,5
RN50__stem__fov,600_700,5.2917,0.0063,0.007,0.025,5
RN50__stem__fov,700_800,5.3196,0.003,0.006,0.028,5
RN50__stem__fov,800_900,5.3125,0.0072,0.005,0.03,5
RN50__stem__fov,900_1000,5.3168,0.005,0.004,0.03,5
ViT-B-16__block10,0_100,4.6579,0.0136,0.04,0.162,5
ViT-B-16__block10,100_200,3.5915,0.0104,0.157,0.469,5
ViT-B-16__block10,200_300,3.6094,0.0079,0.145,0.405,5
ViT-B-16__block10,300_400,4.1716,0.0213,0.097,0.27,5
ViT-B-16__block10,400_500,4.8767,0.0164,0.027,0.092,5
ViT-B-16__block10,500_600,5.2008,0.0134,0.012,0.054,5
ViT-B-16__block10,600_700,5.2625,0.0276,0.01,0.037,5
ViT-B-16__block10,700_800,5.3191,0.0176,0.008,0.025,5
ViT-B-16__block10,800_900,5.3215,0.0139,0.002,0.028,5
ViT-B-16__block10,900_1000,5.3293,0.0102,0.005,0.026,5
ViT-B-16__block10__fov,0_100,4.6293,0.0259,0.044,0.149,5
ViT-B-16__block10__fov,100_200,3.5084,0.0176,0.176,0.462,5
ViT-B-16__block10__fov,200_300,3.55,0.0147,0.168,0.418,5
ViT-B-16__block10__fov,300_400,4.094,0.021,0.087,0.298,5
ViT-B-16__block10__fov,400_500,4.8226,0.0249,0.021,0.097,5
ViT-B-16__block10__fov,500_600,5.2009,0.0226,0.008,0.056,5
ViT-B-16__block10__fov,600_700,5.2583,0.0225,0.009,0.042,5
ViT-B-16__block10__fov,700_800,5.3259,0.012,0.006,0.028,5
ViT-B-16__block10__fov,800_900,5.3274,0.0134,0.009,0.023,5
ViT-B-16__block10__fov,900_1000,5.3347,0.005,0.006,0.028,5
ViT-B-16__block12,0_100,4.8863,0.0248,0.023,0.116,5
ViT-B-16__block12,100_200,3.8612,0.0291,0.15,0.405,5
ViT-B-16__block12,200_300,3.8933,0.0211,0.133,0.348,5
ViT-B-16__block12,300_400,4.3037,0.0256,0.068,0.232,5
ViT-B-16__block12,400_500,4.8978,0.0206,0.022,0.098,5
ViT-B-16__block12,500_600,5.2596,0.0108,0.006,0.05,5
ViT-B-16__block12,600_700,5.2785,0.0223,0.007,0.036,5
ViT-B-16__block12,700_800,5.3172,0.0134,0.005,0.037,5
ViT-B-16__block12,800_900,5.3371,0.0068,0.003,0.028,5
ViT-B-16__block12,900_1000,5.3336,0.0053,0.006,0.03,5
ViT-B-16__block12__fov,0_100,4.8864,0.0303,0.032,0.132,5
ViT-B-16__block12__fov,100_200,3.8437,0.0235,0.15,0.401,5
ViT-B-16__block12__fov,200_300,3.8744,0.0231,0.14,0.345,5
ViT-B-16__block12__fov,300_400,4.2763,0.0214,0.092,0.233,5
ViT-B-16__block12__fov,400_500,4.922,0.0326,0.022,0.089,5
