condition,target,window,seed,epoch,train_loss,val_loss,val_minus_train,train_top1,train_top5,val_top1,val_top5,learning_rate,temperature,n_parameters
residual_fixed_temperature,ViT-L-14__block24,100_200,0,1,6.707149028778076,7.161654949188232,0.45450592041015625,0.029020557180047035,0.07678356021642685,0.0024183797650039196,0.01692865788936615,0.00029917828430524096,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,2,6.20528507232666,7.017032146453857,0.8117470741271973,0.0701330155134201,0.19588875770568848,0.0030229748226702213,0.024788392707705498,0.0002967221401100708,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,3,5.864932060241699,6.952280044555664,1.0873479843139648,0.13845224678516388,0.30108827352523804,0.006650544237345457,0.027811367064714432,0.00029265847744427303,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,4,5.60329532623291,6.912314414978027,1.3090190887451172,0.21160823106765747,0.3881499469280243,0.0042321644723415375,0.029020557180047035,0.0002870318186463901,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,5,5.382387638092041,6.888935565948486,1.5065479278564453,0.27992746233940125,0.4927448630332947,0.006045949645340443,0.029020557180047035,0.0002799038105676658,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,6,5.194947242736816,6.879642486572266,1.6846952438354492,0.34461912512779236,0.5713422298431396,0.007255139295011759,0.032648127526044846,0.0002713525491562421,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,7,5.029807090759277,6.869907379150391,1.8401002883911133,0.4195888936519623,0.6348246932029724,0.007255139295011759,0.03204353153705597,0.00026147172382160914,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,8,4.884598731994629,6.874442100524902,1.9898433685302734,0.47218865156173706,0.692865788936615,0.006045949645340443,0.027206772938370705,0.00025036959095382875,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,9,4.7663116455078125,6.867104530334473,2.10079288482666,0.521765410900116,0.740024209022522,0.005441354587674141,0.03325272351503372,0.000238167787843871,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,10,4.654417037963867,6.874947547912598,2.2205305099487305,0.5743651986122131,0.7847642302513123,0.007255139295011759,0.0338573157787323,0.00022500000000000002,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,11,4.557049751281738,6.881878852844238,2.3248291015625,0.6172914505004883,0.8240628838539124,0.006650544237345457,0.032648127526044846,0.0002110104964613701,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,12,4.473634719848633,6.878601551055908,2.4049668312072754,0.6529625654220581,0.8361548185348511,0.006045949645340443,0.03748488798737526,0.00019635254915624216,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,13,4.397910118103027,6.884768486022949,2.486858367919922,0.677146315574646,0.8609431982040405,0.004836759530007839,0.03325272351503372,0.00018118675362266393,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,14,4.337523460388184,6.891806125640869,2.5542826652526855,0.7037485241889954,0.8712213039398193,0.0042321644723415375,0.03688029199838638,0.0001656792694901481,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,15,4.281187057495117,6.89892578125,2.617738723754883,0.7303506731987,0.8802902102470398,0.004836759530007839,0.03627569600939751,0.0001500000000000001,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,16,4.236415863037109,6.901384353637695,2.664968490600586,0.7503023147583008,0.8935913443565369,0.0042321644723415375,0.03567110002040863,0.00013432073050985205,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,17,4.189643859863281,6.907891273498535,2.718247413635254,0.7648125886917114,0.8984280824661255,0.006045949645340443,0.0338573157787323,0.00011881324637733612,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,18,4.159679412841797,6.911351203918457,2.75167179107666,0.7762998938560486,0.9056832194328308,0.005441354587674141,0.0338573157787323,0.00010364745084375793,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,19,4.125792980194092,6.915335178375244,2.7895421981811523,0.7847642302513123,0.9087061882019043,0.004836759530007839,0.032648127526044846,8.898950353863002e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,20,4.101831912994385,6.917630195617676,2.815798282623291,0.7974607348442078,0.9183797240257263,0.006045949645340443,0.0338573157787323,7.500000000000005e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,21,4.0823259353637695,6.919279098510742,2.8369531631469727,0.8022974729537964,0.917170524597168,0.006650544237345457,0.03325272351503372,6.183221215612906e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,22,4.064209938049316,6.922827243804932,2.8586173057556152,0.8059250712394714,0.9214026927947998,0.006650544237345457,0.032648127526044846,4.963040904617133e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,23,4.0510101318359375,6.9252495765686035,2.874239444732666,0.8101572394371033,0.9226118922233582,0.006045949645340443,0.0338573157787323,3.852827617839091e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,24,4.041657447814941,6.927255630493164,2.8855981826782227,0.8107618093490601,0.9250302314758301,0.006045949645340443,0.03325272351503372,2.8647450843757908e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,25,4.033026695251465,6.9289093017578125,2.8958826065063477,0.8143894076347351,0.9274486303329468,0.004836759530007839,0.0338573157787323,2.00961894323342e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,26,4.027273178100586,6.929408073425293,2.902134895324707,0.816807746887207,0.9292623996734619,0.005441354587674141,0.0338573157787323,1.2968181353609857e-05,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,27,4.024172306060791,6.930695533752441,2.9065232276916504,0.8162031769752502,0.9292623996734619,0.005441354587674141,0.03325272351503372,7.341522555726972e-06,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,28,4.0218353271484375,6.930802345275879,2.9089670181274414,0.8180169463157654,0.9298670291900635,0.005441354587674141,0.03325272351503372,3.2778598899291474e-06,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,29,4.021175384521484,6.930913925170898,2.909738540649414,0.8174123764038086,0.9298670291900635,0.005441354587674141,0.03325272351503372,8.2171569475899e-07,0.07,1070592
residual_fixed_temperature,ViT-L-14__block24,100_200,0,30,4.020951747894287,6.930920600891113,2.909968852996826,0.8180169463157654,0.9298670291900635,0.005441354587674141,0.03325272351503372,0.0,0.07,1070592
linear_fixed_temperature,ViT-L-14__block24,100_200,0,1,6.776350021362305,7.216552734375,0.4402027130126953,0.0259975828230381,0.07436517626047134,0.0006045949412509799,0.013301088474690914,0.00029917828430524096,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,2,6.251120567321777,7.068906784057617,0.8177862167358398,0.08222491294145584,0.1977025419473648,0.004836759530007839,0.02055622823536396,0.0002967221401100708,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,3,5.905303955078125,6.995447158813477,1.0901432037353516,0.1408706158399582,0.3101572096347809,0.004836759530007839,0.02418379858136177,0.00029265847744427303,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,4,5.641523361206055,6.953779697418213,1.3122563362121582,0.21281741559505463,0.39480048418045044,0.006045949645340443,0.029020557180047035,0.0002870318186463901,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,5,5.421187400817871,6.929245948791504,1.5080585479736328,0.29322853684425354,0.4963724613189697,0.006650544237345457,0.029020557180047035,0.0002799038105676658,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,6,5.2360310554504395,6.912349700927734,1.676318645477295,0.354292631149292,0.5695284605026245,0.006650544237345457,0.03325272351503372,0.0002713525491562421,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,7,5.067107200622559,6.910549163818359,1.8434419631958008,0.41777509450912476,0.6384522318840027,0.006650544237345457,0.0338573157787323,0.00026147172382160914,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,8,4.923030853271484,6.905645847320557,1.9826149940490723,0.4764208197593689,0.6958887577056885,0.006650544237345457,0.03325272351503372,0.00025036959095382875,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,9,4.79360294342041,6.910780429840088,2.1171774864196777,0.5338573455810547,0.7472793459892273,0.005441354587674141,0.03748488798737526,0.000238167787843871,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,10,4.6820526123046875,6.910625457763672,2.2285728454589844,0.5779927372932434,0.7902055978775024,0.005441354587674141,0.03325272351503372,0.00022500000000000002,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,11,4.576298713684082,6.91424036026001,2.3379416465759277,0.6348246932029724,0.8367593884468079,0.006650544237345457,0.038694076240062714,0.0002110104964613701,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,12,4.493720054626465,6.918752670288086,2.425032615661621,0.6747279763221741,0.8585247993469238,0.004836759530007839,0.03627569600939751,0.00019635254915624216,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,13,4.421208381652832,6.924051761627197,2.5028433799743652,0.7007255554199219,0.8766626715660095,0.004836759530007839,0.03325272351503372,0.00018118675362266393,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,14,4.358087539672852,6.927878379821777,2.569790840148926,0.7249093055725098,0.8845223784446716,0.005441354587674141,0.03627569600939751,0.0001656792694901481,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,15,4.304136753082275,6.934643268585205,2.6305065155029297,0.7490931153297424,0.8990326523780823,0.0042321644723415375,0.03627569600939751,0.0001500000000000001,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,16,4.25257682800293,6.936529636383057,2.683952808380127,0.765417218208313,0.9032648205757141,0.004836759530007839,0.03325272351503372,0.00013432073050985205,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,17,4.215542316436768,6.943268775939941,2.727726459503174,0.7805320620536804,0.9105199575424194,0.0036275696475058794,0.0338573157787323,0.00011881324637733612,0.07,807936
linear_fixed_temperature,ViT-L-14__block24,100_200,0,18,4.178868293762207,6.946427822113037,2.76755952835083,0.7889963984489441,0.9214026927947998,0.0042321644723415375,0.03567110002040863,0.00010364745084375793,0.07,807936
