learning_rate,seed,best_epoch,epochs_run,best_val_loss,test_loss_at_best,test_top1_at_best,test_top5_at_best,train_loss_at_best,gap_at_best,final_train_loss,final_val_loss,final_gap,n_parameters,target,window
0.0001,1,24,30,7.066799163818359,4.200867652893066,0.07000000029802322,0.26999998092651367,5.622248649597168,1.4445505142211914,5.6059112548828125,7.067165851593018,1.461254596710205,1070592,RN50__attnpool,300_400
0.001,0,1,9,7.426443099975586,5.283914566040039,0.004999999888241291,0.02499999850988388,7.145322799682617,0.28112030029296875,4.902764320373535,7.696467399597168,2.793703079223633,1070592,RN50__attnpool,500_600
0.0001,0,3,11,7.487196445465088,5.281562805175781,0.009999999776482582,0.044999998062849045,7.102998733520508,0.3841977119445801,6.478663444519043,7.53297758102417,1.054314136505127,1070592,RN50__attnpool,500_600
0.001,1,1,9,7.422776699066162,5.294795036315918,0.0,0.03500000014901161,7.142711639404297,0.28006505966186523,4.8890581130981445,7.664784908294678,2.775726795196533,1070592,RN50__attnpool,500_600
0.0001,1,3,11,7.495038986206055,5.348676681518555,0.009999999776482582,0.019999999552965164,7.077542304992676,0.4174966812133789,6.455877304077148,7.532397747039795,1.0765204429626465,1070592,RN50__attnpool,500_600
0.001,0,7,15,6.42889404296875,3.3477580547332764,0.20999999344348907,0.5149999856948853,4.615246772766113,1.8136472702026367,2.6558661460876465,6.943756103515625,4.2878899574279785,1070592,ViT-B-16__block2,100_200
0.0001,0,30,30,6.4492950439453125,3.4093222618103027,0.17499999701976776,0.5249999761581421,5.389623641967773,1.059671401977539,5.389623641967773,6.4492950439453125,1.059671401977539,1070592,ViT-B-16__block2,100_200
0.001,1,5,13,6.491941928863525,3.4631147384643555,0.17499999701976776,0.42499998211860657,5.021570205688477,1.4703717231750488,3.0663161277770996,6.866832733154297,3.8005166053771973,1070592,ViT-B-16__block2,100_200
0.0001,1,30,30,6.498845100402832,3.3953263759613037,0.19499999284744263,0.5,5.382126808166504,1.1167182922363281,5.382126808166504,6.498845100402832,1.1167182922363281,1070592,ViT-B-16__block2,100_200
0.001,0,2,10,7.199180603027344,4.686392307281494,0.03999999910593033,0.17499999701976776,6.6202263832092285,0.5789542198181152,4.434988021850586,7.663626194000244,3.228638172149658,1070592,ViT-B-16__block2,300_400
0.0001,0,12,20,7.203320503234863,4.566408157348633,0.06499999761581421,0.2149999886751175,6.47157096862793,0.7317495346069336,6.275019645690918,7.21774959564209,0.9427299499511719,1070592,ViT-B-16__block2,300_400
0.001,1,3,11,7.210803031921387,4.620654106140137,0.04999999701976776,0.2149999886751175,6.373351097106934,0.8374519348144531,4.094425201416016,7.781398296356201,3.6869730949401855,1070592,ViT-B-16__block2,300_400
0.0001,1,14,22,7.215132713317871,4.538492202758789,0.06499999761581421,0.22999998927116394,6.401338577270508,0.8137941360473633,6.24755334854126,7.225029945373535,0.9774765968322754,1070592,ViT-B-16__block2,300_400
0.001,0,1,9,7.416883945465088,5.277701377868652,0.004999999888241291,0.029999999329447746,7.292424201965332,0.12445974349975586,5.206362724304199,7.9528632164001465,2.7465004920959473,1070592,ViT-B-16__block2,500_600
0.0001,0,3,11,7.444037914276123,5.247693061828613,0.014999999664723873,0.04999999701976776,7.24878454208374,0.1952533721923828,6.872086524963379,7.491794586181641,0.6197080612182617,1070592,ViT-B-16__block2,500_600
0.001,1,1,9,7.404402732849121,5.281195640563965,0.004999999888241291,0.044999998062849045,7.292699813842773,0.11170291900634766,5.141819953918457,7.9598236083984375,2.8180036544799805,1070592,ViT-B-16__block2,500_600
0.0001,1,2,10,7.4403886795043945,5.259407043457031,0.009999999776482582,0.04999999701976776,7.293891906738281,0.14649677276611328,6.891988277435303,7.484217643737793,0.5922293663024902,1070592,ViT-B-16__block2,500_600
0.001,0,6,14,6.765028953552246,4.170430660247803,0.08999999612569809,0.25999999046325684,4.430262088775635,2.3347668647766113,3.4841880798339844,6.835723876953125,3.3515357971191406,1070592,ViT-B-16__block12,100_200
0.0001,0,30,30,6.822146415710449,4.198060035705566,0.10999999940395355,0.2549999952316284,5.13654899597168,1.6855974197387695,5.13654899597168,6.822146415710449,1.6855974197387695,1070592,ViT-B-16__block12,100_200
0.001,1,4,12,6.774261474609375,4.221930503845215,0.07999999821186066,0.26499998569488525,4.867499351501465,1.9067621231079102,3.667914867401123,6.8690595626831055,3.2011446952819824,1070592,ViT-B-16__block12,100_200
0.0001,1,26,30,6.828980445861816,4.221877098083496,0.07999999821186066,0.2849999964237213,5.13249397277832,1.696486473083496,5.126768589019775,6.829042434692383,1.7022738456726074,1070592,ViT-B-16__block12,100_200
0.001,0,5,13,7.088879108428955,4.413017272949219,0.05999999865889549,0.20999999344348907,5.073193550109863,2.015685558319092,3.8689794540405273,7.171849250793457,3.3028697967529297,1070592,ViT-B-16__block12,300_400
0.0001,0,30,30,7.116154193878174,4.384967803955078,0.054999999701976776,0.2449999898672104,5.480023384094238,1.6361308097839355,5.480023384094238,7.116154193878174,1.6361308097839355,1070592,ViT-B-16__block12,300_400
0.001,1,4,12,7.09334135055542,4.436004161834717,0.054999999701976776,0.2549999952316284,5.347964286804199,1.7453770637512207,3.9834442138671875,7.189357280731201,3.2059130668640137,1070592,ViT-B-16__block12,300_400
0.0001,1,27,30,7.113261699676514,4.419802188873291,0.054999999701976776,0.25999999046325684,5.490665435791016,1.622596263885498,5.488075256347656,7.113278388977051,1.6252031326293945,1070592,ViT-B-16__block12,300_400
0.001,0,1,9,7.459445476531982,5.292515277862549,0.004999999888241291,0.04999999701976776,7.024923324584961,0.4345221519470215,4.840615272521973,7.64675235748291,2.8061370849609375,1070592,ViT-B-16__block12,500_600
0.0001,0,3,11,7.527707099914551,5.2981390953063965,0.004999999888241291,0.044999998062849045,7.049489974975586,0.47821712493896484,6.341506004333496,7.562565803527832,1.221059799194336,1070592,ViT-B-16__block12,500_600
0.001,1,1,9,7.45164680480957,5.2978196144104,0.009999999776482582,0.02499999850988388,7.034602165222168,0.41704463958740234,4.828380584716797,7.610866546630859,2.7824859619140625,1070592,ViT-B-16__block12,500_600
0.0001,1,3,11,7.523749351501465,5.348555564880371,0.014999999664723873,0.03999999910593033,7.032748699188232,0.4910006523132324,6.320004463195801,7.542070388793945,1.2220659255981445,1070592,ViT-B-16__block12,500_600
0.001,0,6,14,6.361435413360596,3.335203170776367,0.17999999225139618,0.5299999713897705,4.8257951736450195,1.5356402397155762,2.9843106269836426,6.760793685913086,3.7764830589294434,1070592,ViT-L-14__block4,100_200
0.0001,0,30,30,6.397214889526367,3.4198131561279297,0.1850000023841858,0.4899999797344208,5.346662521362305,1.0505523681640625,5.346662521362305,6.397214889526367,1.0505523681640625,1070592,ViT-L-14__block4,100_200
0.001,1,5,13,6.397502899169922,3.424355983734131,0.1850000023841858,0.4949999749660492,4.99587345123291,1.4016294479370117,3.099325180053711,6.75724983215332,3.6579246520996094,1070592,ViT-L-14__block4,100_200
0.0001,1,30,30,6.431070327758789,3.422666072845459,0.17999999225139618,0.4699999988079071,5.34294319152832,1.0881271362304688,5.34294319152832,6.431070327758789,1.0881271362304688,1070592,ViT-L-14__block4,100_200
0.001,0,3,11,7.176307678222656,4.576182842254639,0.04999999701976776,0.17000000178813934,6.3476715087890625,0.8286361694335938,4.259861946105957,7.600998878479004,3.341136932373047,1070592,ViT-L-14__block4,300_400
0.0001,0,16,24,7.1772871017456055,4.462608337402344,0.03999999910593033,0.20999999344348907,6.331119537353516,0.8461675643920898,6.221234321594238,7.183387756347656,0.962153434753418,1070592,ViT-L-14__block4,300_400
0.001,1,3,11,7.153986930847168,4.561888217926025,0.054999999701976776,0.17499999701976776,6.341740608215332,0.8122463226318359,4.238385200500488,7.639199256896973,3.4008140563964844,1070592,ViT-L-14__block4,300_400
0.0001,1,14,22,7.167275905609131,4.502656936645508,0.04999999701976776,0.2149999886751175,6.373404502868652,0.7938714027404785,6.2191362380981445,7.171631813049316,0.9524955749511719,1070592,ViT-L-14__block4,300_400
0.001,0,1,9,7.412564754486084,5.2803120613098145,0.019999999552965164,0.03999999910593033,7.2780303955078125,0.13453435897827148,5.255817413330078,7.934673309326172,2.6788558959960938,1070592,ViT-L-14__block4,500_600
0.0001,0,3,11,7.444952011108398,5.261898994445801,0.009999999776482582,0.044999998062849045,7.233297348022461,0.2116546630859375,6.855152606964111,7.491992950439453,0.6368403434753418,1070592,ViT-L-14__block4,500_600
0.001,1,1,9,7.406446933746338,5.280316352844238,0.0,0.02499999850988388,7.284295082092285,0.12215185165405273,5.187676429748535,7.904149532318115,2.71647310256958,1070592,ViT-L-14__block4,500_600
0.0001,1,3,11,7.444699764251709,5.264223098754883,0.009999999776482582,0.03999999910593033,7.234269142150879,0.21043062210083008,6.843823432922363,7.48809814453125,0.6442747116088867,1070592,ViT-L-14__block4,500_600
0.001,0,5,13,6.83707332611084,4.306700706481934,0.06499999761581421,0.2199999988079071,4.632235050201416,2.204838275909424,3.6402316093444824,6.917874336242676,3.2776427268981934,1070592,ViT-L-14__block24,100_200
0.0001,0,26,30,6.895943641662598,4.321288108825684,0.07999999821186066,0.26499998569488525,5.1695098876953125,1.7264337539672852,5.163518905639648,6.895991325378418,1.7324724197387695,1070592,ViT-L-14__block24,100_200
0.001,1,4,12,6.857071876525879,4.344522476196289,0.05999999865889549,0.25,4.891877174377441,1.9651947021484375,3.7414798736572266,6.926572799682617,3.1850929260253906,1070592,ViT-L-14__block24,100_200
0.0001,1,26,30,6.920995712280273,4.329695701599121,0.05999999865889549,0.23499999940395355,5.178059101104736,1.742936611175537,5.172140121459961,6.921021461486816,1.7488813400268555,1070592,ViT-L-14__block24,100_200
0.001,0,5,13,7.135578632354736,4.493314266204834,0.05999999865889549,0.1850000023841858,5.054411888122559,2.0811667442321777,3.9508814811706543,7.241154670715332,3.2902731895446777,1070592,ViT-L-14__block24,300_400
0.0001,0,30,30,7.161032676696777,4.5037360191345215,0.07000000029802322,0.2149999886751175,5.453849792480469,1.7071828842163086,5.453849792480469,7.161032676696777,1.7071828842163086,1070592,ViT-L-14__block24,300_400
0.001,1,4,12,7.119545936584473,4.49017333984375,0.06499999761581421,0.19999998807907104,5.3322343826293945,1.7873115539550781,4.085607528686523,7.210455894470215,3.1248483657836914,1070592,ViT-L-14__block24,300_400
0.0001,1,30,30,7.152193069458008,4.49662446975708,0.044999998062849045,0.19999998807907104,5.494014263153076,1.6581788063049316,5.494014263153076,7.152193069458008,1.6581788063049316,1070592,ViT-L-14__block24,300_400
0.001,0,1,9,7.472824573516846,5.299079895019531,0.004999999888241291,0.03500000014901161,6.990159034729004,0.4826655387878418,4.816268444061279,7.610812187194824,2.794543743133545,1070592,ViT-L-14__block24,500_600
0.0001,0,5,13,7.538115501403809,5.292640209197998,0.019999999552965164,0.04999999701976776,6.770197868347168,0.7679176330566406,6.181824684143066,7.5486907958984375,1.366866111755371,1070592,ViT-L-14__block24,500_600
0.001,1,1,9,7.463264465332031,5.301595211029053,0.004999999888241291,0.02499999850988388,7.008746147155762,0.45451831817626953,4.830687522888184,7.600922584533691,2.770235061645508,1070592,ViT-L-14__block24,500_600
0.0001,1,7,15,7.52896785736084,5.287920951843262,0.0,0.04999999701976776,6.583116054534912,0.9458518028259277,6.110508918762207,7.540834903717041,1.430325984954834,1070592,ViT-L-14__block24,500_600
