learning_rate,seed,best_epoch,epochs_run,best_val_loss,test_loss_at_best,test_top1_at_best,test_top5_at_best,train_loss_at_best,gap_at_best,final_train_loss,final_val_loss,final_gap,n_parameters,target,window
0.001,0,8,16,6.762402534484863,3.936558723449707,0.11999999731779099,0.38499999046325684,5.843231201171875,0.9191713333129883,5.387239456176758,6.852692604064941,1.4654531478881836,105152,RN50__stem,100_200
0.0001,0,30,30,6.829113960266113,4.119930267333984,0.05999999865889549,0.29499998688697815,6.324760437011719,0.5043535232543945,6.324760437011719,6.829113960266113,0.5043535232543945,105152,RN50__stem,100_200
0.001,1,9,17,6.869773864746094,3.9962642192840576,0.10999999940395355,0.32999998331069946,5.712227821350098,1.157546043395996,5.270474910736084,7.039540767669678,1.7690658569335938,105152,RN50__stem,100_200
0.0001,1,30,30,6.920346260070801,4.1032209396362305,0.08500000089406967,0.32499998807907104,6.311460018157959,0.6088862419128418,6.311460018157959,6.920346260070801,0.6088862419128418,105152,RN50__stem,100_200
0.001,0,2,10,7.281839370727539,5.003079414367676,0.02499999850988388,0.09999999403953552,7.0709686279296875,0.21087074279785156,6.426433563232422,7.414117813110352,0.9876842498779297,105152,RN50__stem,300_400
0.0001,0,10,18,7.304311752319336,4.9752607345581055,0.014999999664723873,0.0949999988079071,7.0663743019104,0.23793745040893555,6.928892135620117,7.316832065582275,0.3879399299621582,105152,RN50__stem,300_400
0.001,1,3,11,7.287213325500488,4.9020795822143555,0.009999999776482582,0.0949999988079071,6.953521728515625,0.3336915969848633,6.347380638122559,7.433132171630859,1.0857515335083008,105152,RN50__stem,300_400
0.0001,1,12,20,7.313507080078125,4.931800842285156,0.009999999776482582,0.07499999552965164,7.035029411315918,0.27847766876220703,6.921449184417725,7.32267427444458,0.40122509002685547,105152,RN50__stem,300_400
0.001,0,2,10,7.449343681335449,5.27333927154541,0.004999999888241291,0.02499999850988388,7.297251224517822,0.15209245681762695,6.816205978393555,7.690624237060547,0.8744182586669922,105152,RN50__stem,500_600
0.0001,0,9,17,7.477667808532715,5.266270160675049,0.004999999888241291,0.03999999910593033,7.295525550842285,0.1821422576904297,7.212795734405518,7.49995231628418,0.2871565818786621,105152,RN50__stem,500_600
0.001,1,1,9,7.447788238525391,5.2954325675964355,0.009999999776482582,0.029999999329447746,7.360628128051758,0.08716011047363281,6.8648176193237305,7.6213884353637695,0.7565708160400391,105152,RN50__stem,500_600
0.0001,1,10,18,7.475699424743652,5.270207405090332,0.009999999776482582,0.029999999329447746,7.298306465148926,0.17739295959472656,7.222260475158691,7.49560546875,0.2733449935913086,105152,RN50__stem,500_600
0.001,0,5,13,6.676438331604004,3.9686129093170166,0.125,0.3449999988079071,4.7374067306518555,1.9390316009521484,3.418459415435791,6.795371055603027,3.3769116401672363,1070592,RN50__attnpool,100_200
0.0001,0,30,30,6.741447448730469,4.01665735244751,0.10499999672174454,0.35999998450279236,5.208200931549072,1.5332465171813965,5.208200931549072,6.741447448730469,1.5332465171813965,1070592,RN50__attnpool,100_200
0.001,1,5,13,6.702690124511719,4.011396408081055,0.10499999672174454,0.3700000047683716,4.732512474060059,1.9701776504516602,3.4163460731506348,6.862651348114014,3.446305274963379,1070592,RN50__attnpool,100_200
0.0001,1,24,30,6.750767707824707,4.048234939575195,0.10999999940395355,0.32999998331069946,5.213138580322266,1.5376291275024414,5.1953125,6.7508745193481445,1.5555620193481445,1070592,RN50__attnpool,100_200
0.001,0,5,13,7.054399013519287,4.276885986328125,0.06499999761581421,0.2449999898672104,5.218427658081055,1.8359713554382324,3.707524061203003,7.256256580352783,3.5487325191497803,1070592,RN50__attnpool,300_400
0.0001,0,26,30,7.072559833526611,4.251034736633301,0.07499999552965164,0.28999999165534973,5.595747947692871,1.4768118858337402,5.5904130935668945,7.072587013244629,1.4821739196777344,1070592,RN50__attnpool,300_400
0.001,1,4,12,7.051372528076172,4.2811455726623535,0.06499999761581421,0.25999999046325684,5.47720193862915,1.5741705894470215,3.873962879180908,7.220128536224365,3.346165657043457,1070592,RN50__attnpool,300_400
