target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool__fov,500_600,2,3,7.4941,5.2717,0.01,0.04
RN50__attnpool__fov,500_600,3,3,7.489,5.2907,0.0,0.05
RN50__attnpool__fov,500_600,4,3,7.4923,5.2602,0.0,0.04
RN50__attnpool__fov,600_700,0,2,7.4896,5.3114,0.0,0.05
RN50__attnpool__fov,600_700,1,2,7.4619,5.3431,0.0,0.015
RN50__attnpool__fov,600_700,2,2,7.5106,5.3057,0.0,0.01
RN50__attnpool__fov,600_700,3,3,7.5049,5.3068,0.0,0.02
RN50__attnpool__fov,600_700,4,2,7.4941,5.3182,0.0,0.02
RN50__attnpool__fov,700_800,0,2,7.5026,5.3319,0.0,0.035
RN50__attnpool__fov,700_800,1,2,7.4755,5.3214,0.01,0.025
RN50__attnpool__fov,700_800,2,3,7.5086,5.3033,0.01,0.02
RN50__attnpool__fov,700_800,3,3,7.5049,5.2743,0.02,0.04
RN50__attnpool__fov,700_800,4,3,7.4913,5.3085,0.005,0.015
RN50__attnpool__fov,800_900,0,2,7.5099,5.3369,0.0,0.045
RN50__attnpool__fov,800_900,1,2,7.4817,5.3517,0.0,0.045
RN50__attnpool__fov,800_900,2,2,7.5085,5.3168,0.0,0.005
RN50__attnpool__fov,800_900,3,2,7.4994,5.3051,0.0,0.03
RN50__attnpool__fov,800_900,4,2,7.479,5.3431,0.0,0.02
RN50__attnpool__fov,900_1000,0,2,7.5075,5.3359,0.0,0.02
RN50__attnpool__fov,900_1000,1,2,7.4912,5.3691,0.01,0.02
RN50__attnpool__fov,900_1000,2,2,7.5208,5.3353,0.01,0.02
RN50__attnpool__fov,900_1000,3,2,7.4975,5.316,0.01,0.03
RN50__attnpool__fov,900_1000,4,2,7.4798,5.3408,0.005,0.015
RN50__layer1,0_100,0,17,6.998,4.3533,0.075,0.22
RN50__layer1,0_100,1,17,7.0425,4.4222,0.055,0.2
RN50__layer1,0_100,2,22,7.0237,4.3513,0.07,0.22
RN50__layer1,0_100,3,18,7.0761,4.3921,0.055,0.205
RN50__layer1,0_100,4,21,7.0498,4.3381,0.075,0.22
RN50__layer1,100_200,0,34,6.4272,3.2612,0.2,0.51
RN50__layer1,100_200,1,25,6.499,3.3477,0.165,0.49
RN50__layer1,100_200,2,23,6.4457,3.3325,0.195,0.515
RN50__layer1,100_200,3,28,6.4978,3.3456,0.2,0.49
RN50__layer1,100_200,4,26,6.432,3.2978,0.19,0.49
RN50__layer1,200_300,0,24,6.7755,3.8602,0.105,0.35
RN50__layer1,200_300,1,21,6.795,3.8891,0.12,0.33
RN50__layer1,200_300,2,23,6.7029,3.86,0.1,0.325
RN50__layer1,200_300,3,25,6.7455,3.8656,0.125,0.33
RN50__layer1,200_300,4,26,6.7482,3.8433,0.12,0.365
RN50__layer1,300_400,0,12,7.2167,4.4939,0.06,0.215
RN50__layer1,300_400,1,10,7.2053,4.5401,0.05,0.18
RN50__layer1,300_400,2,10,7.1818,4.5319,0.075,0.17
RN50__layer1,300_400,3,10,7.1904,4.5493,0.05,0.175
RN50__layer1,300_400,4,9,7.2229,4.5773,0.05,0.165
RN50__layer1,400_500,0,5,7.4316,5.1549,0.01,0.06
RN50__layer1,400_500,1,4,7.4367,5.1874,0.015,0.08
RN50__layer1,400_500,2,4,7.4402,5.1803,0.005,0.065
RN50__layer1,400_500,3,6,7.4064,5.12,0.025,0.09
RN50__layer1,400_500,4,3,7.4277,5.2103,0.01,0.075
RN50__layer1,500_600,0,3,7.4525,5.274,0.005,0.04
RN50__layer1,500_600,1,3,7.4596,5.2641,0.005,0.045
RN50__layer1,500_600,2,3,7.4726,5.2627,0.0,0.025
RN50__layer1,500_600,3,4,7.466,5.2615,0.005,0.025
RN50__layer1,500_600,4,3,7.4697,5.266,0.005,0.025
RN50__layer1,600_700,0,3,7.4717,5.2876,0.015,0.04
RN50__layer1,600_700,1,3,7.4528,5.2838,0.01,0.035
RN50__layer1,600_700,2,3,7.4757,5.3033,0.005,0.04
RN50__layer1,600_700,3,3,7.4643,5.2805,0.0,0.02
RN50__layer1,600_700,4,3,7.4669,5.2956,0.005,0.03
RN50__layer1,700_800,0,3,7.4812,5.3058,0.01,0.045
RN50__layer1,700_800,1,3,7.4726,5.3008,0.005,0.04
RN50__layer1,700_800,2,3,7.4906,5.2969,0.0,0.025
RN50__layer1,700_800,3,3,7.4683,5.3104,0.0,0.015
RN50__layer1,700_800,4,3,7.4832,5.2888,0.005,0.02
RN50__layer1,800_900,0,3,7.4635,5.3071,0.005,0.025
RN50__layer1,800_900,1,3,7.4712,5.2996,0.0,0.03
RN50__layer1,800_900,2,3,7.4789,5.3213,0.02,0.025
RN50__layer1,800_900,3,3,7.466,5.3022,0.0,0.025
RN50__layer1,800_900,4,3,7.4746,5.2953,0.005,0.035
RN50__layer1,900_1000,0,3,7.4771,5.3094,0.0,0.03
RN50__layer1,900_1000,1,4,7.4717,5.3042,0.0,0.03
RN50__layer1,900_1000,2,3,7.4867,5.3198,0.0,0.01
RN50__layer1,900_1000,3,3,7.4701,5.3071,0.01,0.015
RN50__layer1,900_1000,4,3,7.4736,5.3156,0.005,0.03
RN50__layer1__fov,0_100,0,21,6.9686,4.2285,0.08,0.255
RN50__layer1__fov,0_100,1,17,7.0193,4.3151,0.075,0.225
RN50__layer1__fov,0_100,2,22,6.9938,4.2195,0.085,0.26
RN50__layer1__fov,0_100,3,18,7.0183,4.3298,0.06,0.215
RN50__layer1__fov,0_100,4,16,7.0231,4.342,0.05,0.185
RN50__layer1__fov,100_200,0,34,6.4014,3.1925,0.225,0.515
RN50__layer1__fov,100_200,1,30,6.4935,3.2144,0.235,0.51
RN50__layer1__fov,100_200,2,30,6.3843,3.2198,0.22,0.535
RN50__layer1__fov,100_200,3,26,6.4744,3.2567,0.215,0.545
RN50__layer1__fov,100_200,4,26,6.3785,3.2431,0.225,0.505
RN50__layer1__fov,200_300,0,23,6.7543,3.834,0.12,0.305
RN50__layer1__fov,200_300,1,19,6.7748,3.865,0.115,0.3
RN50__layer1__fov,200_300,2,22,6.6857,3.7943,0.115,0.35
RN50__layer1__fov,200_300,3,22,6.7179,3.8348,0.125,0.325
RN50__layer1__fov,200_300,4,26,6.735,3.7525,0.125,0.35
RN50__layer1__fov,300_400,0,10,7.2025,4.4588,0.085,0.175
RN50__layer1__fov,300_400,1,10,7.2173,4.5377,0.03,0.16
RN50__layer1__fov,300_400,2,10,7.1618,4.5353,0.06,0.185
RN50__layer1__fov,300_400,3,10,7.1899,4.5304,0.04,0.18
RN50__layer1__fov,300_400,4,9,7.2215,4.5378,0.05,0.17
RN50__layer1__fov,400_500,0,5,7.4288,5.1527,0.02,0.06
RN50__layer1__fov,400_500,1,4,7.4383,5.1945,0.01,0.07
RN50__layer1__fov,400_500,2,4,7.4299,5.1929,0.02,0.05
RN50__layer1__fov,400_500,3,6,7.4245,5.1318,0.01,0.08
RN50__layer1__fov,400_500,4,4,7.4345,5.1805,0.01,0.07
RN50__layer1__fov,500_600,0,3,7.4583,5.2658,0.005,0.015
RN50__layer1__fov,500_600,1,3,7.4645,5.2583,0.005,0.04
RN50__layer1__fov,500_600,2,3,7.4626,5.2683,0.005,0.025
RN50__layer1__fov,500_600,3,4,7.4687,5.267,0.01,0.045
RN50__layer1__fov,500_600,4,3,7.4688,5.2593,0.015,0.065
RN50__layer1__fov,600_700,0,3,7.4809,5.2921,0.0,0.04
RN50__layer1__fov,600_700,1,3,7.4588,5.2823,0.005,0.055
RN50__layer1__fov,600_700,2,3,7.4605,5.2811,0.0,0.04
RN50__layer1__fov,600_700,3,4,7.4714,5.2796,0.015,0.04
RN50__layer1__fov,600_700,4,3,7.469,5.2867,0.0,0.025
RN50__layer1__fov,700_800,0,3,7.4818,5.2929,0.0,0.025
RN50__layer1__fov,700_800,1,3,7.4668,5.3011,0.015,0.045
RN50__layer1__fov,700_800,2,3,7.4769,5.2895,0.0,0.03
RN50__layer1__fov,700_800,3,3,7.4731,5.3016,0.0,0.03
RN50__layer1__fov,700_800,4,3,7.4772,5.2964,0.01,0.035
RN50__layer1__fov,800_900,0,3,7.4691,5.3113,0.0,0.03
RN50__layer1__fov,800_900,1,3,7.4684,5.3045,0.01,0.025
RN50__layer1__fov,800_900,2,3,7.4638,5.3127,0.005,0.02
RN50__layer1__fov,800_900,3,3,7.4842,5.3126,0.015,0.02
RN50__layer1__fov,800_900,4,4,7.4758,5.295,0.005,0.04
RN50__layer1__fov,900_1000,0,4,7.4822,5.2994,0.01,0.025
RN50__layer1__fov,900_1000,1,3,7.4631,5.3155,0.01,0.03
RN50__layer1__fov,900_1000,2,3,7.4782,5.3144,0.01,0.035
