target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.7485,0.0116,0.038,0.134,5
RN50__attnpool,100_200,3.8018,0.009,0.125,0.389,5
RN50__attnpool,200_300,3.6754,0.0257,0.154,0.401,5
RN50__attnpool,300_400,4.2474,0.0258,0.065,0.237,5
RN50__attnpool,400_500,4.8279,0.0229,0.027,0.118,5
RN50__attnpool,500_600,5.2907,0.0133,0.007,0.03,5
RN50__attnpool,600_700,5.3153,0.012,0.01,0.028,5
RN50__attnpool,700_800,5.3183,0.0087,0.006,0.032,5
RN50__attnpool,800_900,5.3257,0.0164,0.006,0.022,5
RN50__attnpool,900_1000,5.3495,0.0271,0.009,0.028,5
RN50__attnpool__fov,0_100,4.7459,0.0201,0.043,0.142,5
RN50__attnpool__fov,100_200,3.7451,0.0276,0.145,0.407,5
RN50__attnpool__fov,200_300,3.6496,0.0211,0.158,0.419,5
RN50__attnpool__fov,300_400,4.2528,0.0137,0.076,0.239,5
RN50__attnpool__fov,400_500,4.8411,0.0315,0.02,0.1,5
RN50__attnpool__fov,500_600,5.2864,0.0178,0.004,0.04,5
RN50__attnpool__fov,600_700,5.317,0.0138,0.0,0.023,5
RN50__attnpool__fov,700_800,5.3079,0.0195,0.009,0.027,5
RN50__attnpool__fov,800_900,5.3307,0.0172,0.0,0.029,5
RN50__attnpool__fov,900_1000,5.3394,0.0171,0.007,0.021,5
RN50__layer1,0_100,4.3714,0.0311,0.066,0.213,5
RN50__layer1,100_200,3.317,0.0331,0.19,0.499,5
RN50__layer1,200_300,3.8636,0.0148,0.114,0.34,5
RN50__layer1,300_400,4.5385,0.027,0.057,0.181,5
RN50__layer1,400_500,5.1706,0.0309,0.013,0.074,5
RN50__layer1,500_600,5.2657,0.0044,0.004,0.032,5
RN50__layer1,600_700,5.2901,0.0083,0.007,0.033,5
RN50__layer1,700_800,5.3005,0.0074,0.004,0.029,5
RN50__layer1,800_900,5.3051,0.009,0.006,0.028,5
RN50__layer1,900_1000,5.3112,0.0057,0.003,0.023,5
RN50__layer1__fov,0_100,4.287,0.0522,0.07,0.228,5
RN50__layer1__fov,100_200,3.2253,0.0225,0.224,0.522,5
RN50__layer1__fov,200_300,3.8161,0.0389,0.12,0.326,5
RN50__layer1__fov,300_400,4.52,0.0307,0.053,0.174,5
RN50__layer1__fov,400_500,5.1705,0.0244,0.014,0.066,5
RN50__layer1__fov,500_600,5.2638,0.0041,0.008,0.038,5
RN50__layer1__fov,600_700,5.2844,0.0045,0.004,0.04,5
RN50__layer1__fov,700_800,5.2963,0.0047,0.005,0.033,5
RN50__layer1__fov,800_900,5.3072,0.0068,0.007,0.027,5
RN50__layer1__fov,900_1000,5.3085,0.0061,0.01,0.03,5
RN50__layer2,0_100,4.2921,0.026,0.063,0.206,5
RN50__layer2,100_200,2.9972,0.0399,0.271,0.612,5
RN50__layer2,200_300,3.4399,0.0182,0.199,0.457,5
RN50__layer2,300_400,4.2565,0.0353,0.079,0.241,5
RN50__layer2,400_500,4.9831,0.0368,0.025,0.108,5
RN50__layer2,500_600,5.256,0.0158,0.01,0.044,5
RN50__layer2,600_700,5.2866,0.0081,0.001,0.023,5
RN50__layer2,700_800,5.2978,0.0057,0.005,0.028,5
RN50__layer2,800_900,5.3121,0.0079,0.006,0.028,5
RN50__layer2,900_1000,5.3111,0.0155,0.002,0.028,5
RN50__layer2__fov,0_100,4.203,0.0306,0.066,0.224,5
RN50__layer2__fov,100_200,2.9049,0.0323,0.296,0.628,5
RN50__layer2__fov,200_300,3.403,0.0275,0.208,0.455,5
RN50__layer2__fov,300_400,4.2315,0.0489,0.082,0.247,5
RN50__layer2__fov,400_500,4.9804,0.0574,0.019,0.113,5
