sampling_rate,target,window,seed,epoch,train_loss,val_loss,gap,train_top1,train_top5,val_top1,val_top5,current_lr,is_best_epoch
250,RN50__stem,100_200,0,1,7.374259948730469,7.413987159729004,0.039727210998535156,0.0006045949412509799,0.0030229748226702213,0.0024183797650039196,0.006650544237345457,9.972609476841367e-05,True
250,RN50__stem,100_200,0,2,7.1652679443359375,7.251251220703125,0.0859832763671875,0.0012091898825019598,0.007255139295011759,0.0024183797650039196,0.009068924002349377,9.890738003669029e-05,True
250,RN50__stem,100_200,0,3,7.056264877319336,7.171690464019775,0.11542558670043945,0.0024183797650039196,0.01511487364768982,0.0024183797650039196,0.01027811411768198,9.755282581475769e-05,True
250,RN50__stem,100_200,0,4,6.973172664642334,7.114874839782715,0.14170217514038086,0.004836759530007839,0.01692865788936615,0.0024183797650039196,0.010882709175348282,9.567727288213003e-05,True
250,RN50__stem,100_200,0,5,6.900269985198975,7.073878288269043,0.17360830307006836,0.006650544237345457,0.02237001247704029,0.0024183797650039196,0.013301088474690914,9.330127018922194e-05,True
250,RN50__stem,100_200,0,6,6.83389949798584,7.036705017089844,0.2028055191040039,0.007255139295011759,0.025392986834049225,0.0024183797650039196,0.013905683532357216,9.045084971874738e-05,True
250,RN50__stem,100_200,0,7,6.775632381439209,7.005679130554199,0.23004674911499023,0.009068924002349377,0.027811367064714432,0.0024183797650039196,0.01511487364768982,8.715724127386972e-05,True
250,RN50__stem,100_200,0,8,6.722673416137695,6.978889465332031,0.25621604919433594,0.009068924002349377,0.03325272351503372,0.0030229748226702213,0.01511487364768982,8.345653031794292e-05,True
250,RN50__stem,100_200,0,9,6.672198295593262,6.958187103271484,0.28598880767822266,0.010882709175348282,0.03990326449275017,0.0036275696475058794,0.01511487364768982,7.938926261462366e-05,True
250,RN50__stem,100_200,0,10,6.625079154968262,6.9352922439575195,0.3102130889892578,0.010882709175348282,0.0417170524597168,0.0042321644723415375,0.016324063763022423,7.500000000000001e-05,True
