target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,9,7.2722,4.9195,0.04,0.115
RN50__attnpool,0_100,1,11,7.2995,4.8766,0.04,0.08
RN50__attnpool,0_100,2,11,7.2626,4.847,0.035,0.115
RN50__attnpool,0_100,3,10,7.2963,4.8904,0.025,0.11
RN50__attnpool,0_100,4,10,7.2795,4.8713,0.055,0.115
RN50__attnpool,100_200,0,21,6.5488,3.4853,0.16,0.485
RN50__attnpool,100_200,1,20,6.57,3.495,0.18,0.465
RN50__attnpool,100_200,2,21,6.5388,3.5364,0.18,0.435
RN50__attnpool,100_200,3,20,6.5621,3.5168,0.21,0.485
RN50__attnpool,100_200,4,20,6.5585,3.4628,0.195,0.495
RN50__attnpool,200_300,0,23,6.4666,3.3985,0.2,0.465
RN50__attnpool,200_300,1,21,6.4427,3.4278,0.19,0.48
RN50__attnpool,200_300,2,24,6.4605,3.4753,0.19,0.435
RN50__attnpool,200_300,3,20,6.4688,3.4619,0.175,0.475
RN50__attnpool,200_300,4,23,6.472,3.4141,0.205,0.45
RN50__attnpool,300_400,0,15,6.8612,3.7746,0.145,0.38
RN50__attnpool,300_400,1,14,6.8782,3.7843,0.14,0.365
RN50__attnpool,300_400,2,13,6.8458,3.8209,0.13,0.35
RN50__attnpool,300_400,3,15,6.8578,3.8053,0.12,0.38
RN50__attnpool,300_400,4,12,6.8684,3.8818,0.125,0.325
RN50__attnpool,400_500,0,13,7.0958,4.3505,0.075,0.205
RN50__attnpool,400_500,1,14,7.1117,4.332,0.09,0.235
RN50__attnpool,400_500,2,14,7.0829,4.2735,0.045,0.235
RN50__attnpool,400_500,3,12,7.1252,4.322,0.065,0.2
RN50__attnpool,400_500,4,12,7.0688,4.3405,0.07,0.21
RN50__attnpool,500_600,0,7,7.421,5.0399,0.025,0.095
RN50__attnpool,500_600,1,5,7.4354,5.1295,0.035,0.07
RN50__attnpool,500_600,2,6,7.4105,5.0436,0.015,0.075
RN50__attnpool,500_600,3,4,7.4606,5.1041,0.015,0.045
RN50__attnpool,500_600,4,5,7.4116,5.0804,0.035,0.085
RN50__attnpool,600_700,0,5,7.4262,5.146,0.02,0.07
RN50__attnpool,600_700,1,4,7.4879,5.214,0.01,0.04
RN50__attnpool,600_700,2,3,7.4406,5.2173,0.015,0.06
RN50__attnpool,600_700,3,3,7.4728,5.2343,0.01,0.055
RN50__attnpool,600_700,4,4,7.4425,5.1701,0.01,0.07
RN50__attnpool,700_800,0,3,7.4801,5.2966,0.005,0.015
RN50__attnpool,700_800,1,2,7.495,5.3092,0.005,0.04
RN50__attnpool,700_800,2,3,7.4791,5.2887,0.0,0.035
RN50__attnpool,700_800,3,2,7.4908,5.2923,0.0,0.04
RN50__attnpool,700_800,4,3,7.4699,5.2623,0.01,0.06
RN50__attnpool,800_900,0,2,7.4942,5.2819,0.01,0.035
