target,window,top1,top5
ViT-L-14__block24,0_100,0.022,0.076
ViT-L-14__block24,100_200,0.099,0.276
ViT-L-14__block24,200_300,0.07,0.281
ViT-L-14__block24,300_400,0.049,0.172
ViT-L-14__block24,400_500,0.013,0.058
ViT-L-14__block24,500_600,0.008,0.041
ViT-L-14__block24,600_700,0.003,0.027
ViT-L-14__block24,700_800,0.005,0.027
ViT-L-14__block24,800_900,0.006,0.033
ViT-L-14__block24,900_1000,0.011,0.025
