target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__layer4__fov,100_200,3.5951,0.0346,0.181,0.469,5
RN50__layer4__fov,200_300,3.5186,0.0281,0.194,0.477,5
RN50__layer4__fov,300_400,3.9855,0.0176,0.117,0.377,5
RN50__layer4__fov,400_500,4.7843,0.0272,0.03,0.154,5
RN50__layer4__fov,500_600,5.2845,0.0016,0.007,0.022,5
RN50__layer4__fov,600_700,5.2963,0.0038,0.007,0.024,5
RN50__layer4__fov,700_800,5.3062,0.0008,0.005,0.031,5
RN50__stem,baseline,5.3085,0.0016,0.002,0.025,5
RN50__stem,0_100,4.5521,0.0342,0.042,0.167,5
RN50__stem,100_200,4.0769,0.0363,0.088,0.309,5
RN50__stem,200_300,4.1557,0.0248,0.082,0.29,5
RN50__stem,300_400,4.8089,0.0496,0.043,0.154,5
RN50__stem,400_500,5.2111,0.0194,0.013,0.056,5
RN50__stem,500_600,5.2937,0.0022,0.003,0.027,5
RN50__stem,600_700,5.2971,0.0012,0.005,0.026,5
RN50__stem,700_800,5.2991,0.0032,0.006,0.028,5
RN50__stem__fov,baseline,5.3084,0.0014,0.003,0.026,5
RN50__stem__fov,0_100,4.5079,0.0396,0.038,0.17,5
RN50__stem__fov,100_200,3.9856,0.042,0.102,0.331,5
RN50__stem__fov,200_300,4.0917,0.0206,0.088,0.291,5
RN50__stem__fov,300_400,4.7907,0.0608,0.039,0.161,5
RN50__stem__fov,400_500,5.2155,0.0245,0.011,0.058,5
RN50__stem__fov,500_600,5.2934,0.0018,0.005,0.025,5
RN50__stem__fov,600_700,5.2964,0.0019,0.006,0.027,5
RN50__stem__fov,700_800,5.2985,0.004,0.006,0.027,5
ViT-B-16__block10,baseline,5.3142,0.0014,0.003,0.024,5
ViT-B-16__block10,0_100,4.6203,0.0195,0.041,0.138,5
ViT-B-16__block10,100_200,3.8232,0.0355,0.135,0.377,5
ViT-B-16__block10,200_300,3.8109,0.0184,0.112,0.406,5
ViT-B-16__block10,300_400,4.1273,0.0104,0.092,0.306,5
ViT-B-16__block10,400_500,5.0026,0.1496,0.021,0.084,5
ViT-B-16__block10,500_600,5.2794,0.0031,0.008,0.032,5
ViT-B-16__block10,600_700,5.2975,0.0031,0.006,0.025,5
ViT-B-16__block10,700_800,5.3051,0.003,0.006,0.029,5
ViT-B-16__block10__fov,baseline,5.3125,0.0025,0.005,0.024,5
ViT-B-16__block10__fov,0_100,4.5833,0.0195,0.042,0.164,5
ViT-B-16__block10__fov,100_200,3.7369,0.0415,0.13,0.415,5
ViT-B-16__block10__fov,200_300,3.7202,0.021,0.148,0.447,5
ViT-B-16__block10__fov,300_400,4.0822,0.0076,0.106,0.33,5
ViT-B-16__block10__fov,400_500,4.9798,0.1721,0.027,0.103,5
ViT-B-16__block10__fov,500_600,5.2787,0.0039,0.008,0.034,5
ViT-B-16__block10__fov,600_700,5.2993,0.0025,0.004,0.024,5
ViT-B-16__block10__fov,700_800,5.3049,0.004,0.004,0.028,5
ViT-B-16__block12,baseline,5.3227,0.0021,0.004,0.026,5
ViT-B-16__block12,0_100,4.8514,0.0108,0.021,0.119,5
ViT-B-16__block12,100_200,4.1567,0.019,0.118,0.301,5
ViT-B-16__block12,200_300,4.0706,0.0221,0.099,0.334,5
ViT-B-16__block12,300_400,4.3271,0.0173,0.068,0.255,5
ViT-B-16__block12,400_500,5.1124,0.1393,0.022,0.071,5
ViT-B-16__block12,500_600,5.2964,0.0031,0.006,0.036,5
ViT-B-16__block12,600_700,5.3085,0.0029,0.008,0.029,5
ViT-B-16__block12,700_800,5.3134,0.005,0.005,0.026,5
ViT-B-16__block12__fov,baseline,5.3217,0.0032,0.003,0.025,5
ViT-B-16__block12__fov,0_100,4.8527,0.0153,0.023,0.121,5
ViT-B-16__block12__fov,100_200,4.1277,0.0198,0.112,0.313,5
ViT-B-16__block12__fov,200_300,4.0394,0.0252,0.108,0.36,5
ViT-B-16__block12__fov,300_400,4.3218,0.015,0.081,0.254,5
ViT-B-16__block12__fov,400_500,5.0655,0.1381,0.023,0.076,5
ViT-B-16__block12__fov,500_600,5.297,0.0045,0.006,0.027,5
ViT-B-16__block12__fov,600_700,5.3083,0.0042,0.006,0.024,5
ViT-B-16__block12__fov,700_800,5.3162,0.0021,0.004,0.026,5
ViT-B-16__block2,baseline,5.3005,0.0008,0.008,0.025,5
ViT-B-16__block2,0_100,4.0236,0.0181,0.065,0.296,5
ViT-B-16__block2,100_200,3.4867,0.021,0.134,0.454,5
ViT-B-16__block2,200_300,3.6234,0.0349,0.188,0.428,5
ViT-B-16__block2,300_400,4.476,0.0437,0.064,0.243,5
ViT-B-16__block2,400_500,5.1867,0.0725,0.012,0.067,5
ViT-B-16__block2,500_600,5.2834,0.0009,0.006,0.032,5
ViT-B-16__block2,600_700,5.2927,0.0009,0.007,0.029,5
ViT-B-16__block2,700_800,5.2951,0.002,0.008,0.026,5
ViT-B-16__block2__fov,baseline,5.3004,0.0006,0.006,0.025,5
ViT-B-16__block2__fov,0_100,3.9521,0.026,0.08,0.309,5
ViT-B-16__block2__fov,100_200,3.4127,0.0253,0.144,0.489,5
ViT-B-16__block2__fov,200_300,3.5525,0.0328,0.199,0.45,5
ViT-B-16__block2__fov,300_400,4.446,0.0375,0.066,0.249,5
ViT-B-16__block2__fov,400_500,5.2179,0.0032,0.013,0.065,5
ViT-B-16__block2__fov,500_600,5.2827,0.001,0.01,0.031,5
ViT-B-16__block2__fov,600_700,5.2923,0.0012,0.008,0.031,5
ViT-B-16__block2__fov,700_800,5.2953,0.0008,0.009,0.035,5
ViT-B-16__block4,baseline,5.302,0.0007,0.003,0.022,5
ViT-B-16__block4,0_100,3.9397,0.0087,0.065,0.293,5
ViT-B-16__block4,100_200,3.1714,0.0258,0.245,0.546,5
