target,window,seed,epoch,learning_rate_condition,current_lr,train_loss,val_loss,gap,train_top1,train_top5,val_top1,val_top5,is_best_epoch
RN50__stem,100_200,0,1,0.001,0.0009972609476841367,6.8745880126953125,7.031874656677246,0.1572866439819336,0.004836759530007839,0.021160822361707687,0.0036275696475058794,0.013301088474690914,True
RN50__stem,100_200,0,2,0.001,0.0009890738003669028,6.588770389556885,6.914024353027344,0.325253963470459,0.011487304233014584,0.05018138140439987,0.006045949645340443,0.01874244399368763,True
RN50__stem,100_200,0,3,0.001,0.0009755282581475768,6.369986534118652,6.843318939208984,0.47333240509033203,0.016324063763022423,0.06529625505208969,0.007255139295011759,0.024788392707705498,True
RN50__stem,100_200,0,4,0.001,0.0009567727288213003,6.234885215759277,6.81644868850708,0.5815634727478027,0.0259975828230381,0.077992744743824,0.008464328944683075,0.023579202592372894,True
RN50__stem,100_200,0,5,0.001,0.0009330127018922195,6.099408149719238,6.781635284423828,0.6822271347045898,0.029625151306390762,0.09068924188613892,0.009673519060015678,0.030834341421723366,True
RN50__stem,100_200,0,6,0.001,0.0009045084971874739,6.005936622619629,6.783055782318115,0.7771191596984863,0.0338573157787323,0.09733978658914566,0.009673519060015678,0.027206772938370705,False
RN50__stem,100_200,0,7,0.001,0.0008715724127386972,5.922461986541748,6.765731334686279,0.8432693481445312,0.03688029199838638,0.11305925250053406,0.007859733887016773,0.03022974729537964,True
RN50__stem,100_200,0,8,0.001,0.0008345653031794292,5.843231201171875,6.762402534484863,0.9191713333129883,0.04111245647072792,0.12877872586250305,0.007859733887016773,0.03627569600939751,True
RN50__stem,100_200,0,9,0.001,0.0007938926261462366,5.768500328063965,6.768999099731445,1.0004987716674805,0.05259976163506508,0.1354292631149292,0.01027811411768198,0.03929867222905159,False
RN50__stem,100_200,0,10,0.001,0.00075,5.70528507232666,6.777490615844727,1.0722055435180664,0.04292624071240425,0.13966143131256104,0.006650544237345457,0.034461911767721176,False
RN50__stem,100_200,0,11,0.001,0.0007033683215379003,5.664031028747559,6.785102367401123,1.1210713386535645,0.05078597366809845,0.15417170524597168,0.009068924002349377,0.0338573157787323,False
RN50__stem,100_200,0,12,0.001,0.0006545084971874739,5.603231430053711,6.79335880279541,1.1901273727416992,0.051390569657087326,0.16082225739955902,0.01027811411768198,0.034461911767721176,False
RN50__stem,100_200,0,13,0.001,0.0006039558454088797,5.547274112701416,6.820898532867432,1.2736244201660156,0.05441354587674141,0.16505442559719086,0.008464328944683075,0.0417170524597168,False
RN50__stem,100_200,0,14,0.001,0.0005522642316338269,5.479687690734863,6.8347930908203125,1.3551054000854492,0.061064090579748154,0.17593713104724884,0.009673519060015678,0.03567110002040863,False
RN50__stem,100_200,0,15,0.001,0.0005000000000000002,5.446871757507324,6.847187042236328,1.400315284729004,0.06469165533781052,0.18016929924488068,0.008464328944683075,0.03506650775671005,False
RN50__stem,100_200,0,16,0.001,0.0004477357683661734,5.387239456176758,6.852692604064941,1.4654531478881836,0.0701330155134201,0.19407497346401215,0.010882709175348282,0.034461911767721176,False
RN50__stem,100_200,0,1,0.0001,9.972609476841367e-05,7.374259948730469,7.413987159729004,0.039727210998535156,0.0006045949412509799,0.0030229748226702213,0.0024183797650039196,0.006650544237345457,True
RN50__stem,100_200,0,2,0.0001,9.890738003669029e-05,7.1652679443359375,7.251251220703125,0.0859832763671875,0.0012091898825019598,0.007255139295011759,0.0024183797650039196,0.009068924002349377,True
RN50__stem,100_200,0,3,0.0001,9.755282581475769e-05,7.056264877319336,7.171690464019775,0.11542558670043945,0.0024183797650039196,0.01511487364768982,0.0024183797650039196,0.01027811411768198,True
RN50__stem,100_200,0,4,0.0001,9.567727288213003e-05,6.973172664642334,7.114874839782715,0.14170217514038086,0.004836759530007839,0.01692865788936615,0.0024183797650039196,0.010882709175348282,True
RN50__stem,100_200,0,5,0.0001,9.330127018922194e-05,6.900269985198975,7.073878288269043,0.17360830307006836,0.006650544237345457,0.02237001247704029,0.0024183797650039196,0.013301088474690914,True
RN50__stem,100_200,0,6,0.0001,9.045084971874738e-05,6.83389949798584,7.036705017089844,0.2028055191040039,0.007255139295011759,0.025392986834049225,0.0024183797650039196,0.013905683532357216,True
RN50__stem,100_200,0,7,0.0001,8.715724127386972e-05,6.775632381439209,7.005679130554199,0.23004674911499023,0.009068924002349377,0.027811367064714432,0.0024183797650039196,0.01511487364768982,True
RN50__stem,100_200,0,8,0.0001,8.345653031794292e-05,6.722673416137695,6.978889465332031,0.25621604919433594,0.009068924002349377,0.03325272351503372,0.0030229748226702213,0.01511487364768982,True
RN50__stem,100_200,0,9,0.0001,7.938926261462366e-05,6.672198295593262,6.958187103271484,0.28598880767822266,0.010882709175348282,0.03990326449275017,0.0036275696475058794,0.01511487364768982,True
RN50__stem,100_200,0,10,0.0001,7.500000000000001e-05,6.625079154968262,6.9352922439575195,0.3102130889892578,0.010882709175348282,0.0417170524597168,0.0042321644723415375,0.016324063763022423,True
RN50__stem,100_200,0,11,0.0001,7.033683215379003e-05,6.5852203369140625,6.919488430023193,0.33426809310913086,0.012091899290680885,0.04474002495408058,0.004836759530007839,0.018137848004698753,True
RN50__stem,100_200,0,12,0.0001,6.545084971874738e-05,6.548990249633789,6.9054999351501465,0.3565096855163574,0.010882709175348282,0.047763001173734665,0.005441354587674141,0.01874244399368763,True
RN50__stem,100_200,0,13,0.0001,6.039558454088797e-05,6.510467529296875,6.892102241516113,0.3816347122192383,0.013301088474690914,0.0519951656460762,0.005441354587674141,0.021160822361707687,True
RN50__stem,100_200,0,14,0.0001,5.522642316338269e-05,6.481494903564453,6.880430221557617,0.39893531799316406,0.013905683532357216,0.055622734129428864,0.005441354587674141,0.023579202592372894,True
RN50__stem,100_200,0,15,0.0001,5.000000000000002e-05,6.453073501586914,6.870043754577637,0.41697025299072266,0.013905683532357216,0.0598548986017704,0.007255139295011759,0.022974608466029167,True
RN50__stem,100_200,0,16,0.0001,4.4773576836617344e-05,6.430330753326416,6.860409736633301,0.43007898330688477,0.012696493417024612,0.0598548986017704,0.006045949645340443,0.02418379858136177,True
RN50__stem,100_200,0,17,0.0001,3.9604415459112035e-05,6.409584999084473,6.853316783905029,0.44373178482055664,0.013301088474690914,0.06166868284344673,0.006045949645340443,0.023579202592372894,True
RN50__stem,100_200,0,18,0.0001,3.4549150281252636e-05,6.3938727378845215,6.849743843078613,0.4558711051940918,0.014510278590023518,0.06166868284344673,0.005441354587674141,0.0259975828230381,True
RN50__stem,100_200,0,19,0.0001,2.966316784621e-05,6.37734317779541,6.844967842102051,0.4676246643066406,0.016324063763022423,0.06469165533781052,0.005441354587674141,0.0259975828230381,True
RN50__stem,100_200,0,20,0.0001,2.5000000000000015e-05,6.364300727844238,6.841665267944336,0.47736454010009766,0.015719467774033546,0.06469165533781052,0.006045949645340443,0.02660217694938183,True
RN50__stem,100_200,0,21,0.0001,2.0610737385376352e-05,6.355370044708252,6.837736129760742,0.48236608505249023,0.016324063763022423,0.06650544703006744,0.005441354587674141,0.02660217694938183,True
RN50__stem,100_200,0,22,0.0001,1.654346968205711e-05,6.3467488288879395,6.834054470062256,0.4873056411743164,0.01692865788936615,0.06711003929376602,0.006045949645340443,0.02660217694938183,True
RN50__stem,100_200,0,23,0.0001,1.2842758726130304e-05,6.339693546295166,6.833096504211426,0.49340295791625977,0.01692865788936615,0.06650544703006744,0.006650544237345457,0.02660217694938183,True
RN50__stem,100_200,0,24,0.0001,9.549150281252636e-06,6.334568977355957,6.832036972045898,0.4974679946899414,0.017533253878355026,0.0677146315574646,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,25,0.0001,6.698729810778068e-06,6.330510139465332,6.830432891845703,0.4999227523803711,0.018137848004698753,0.06711003929376602,0.006045949645340443,0.025392986834049225,True
RN50__stem,100_200,0,26,0.0001,4.322727117869953e-06,6.32810640335083,6.82988166809082,0.5017752647399902,0.018137848004698753,0.06831923127174377,0.006045949645340443,0.025392986834049225,True
RN50__stem,100_200,0,27,0.0001,2.447174185242324e-06,6.326313018798828,6.829657077789307,0.5033440589904785,0.018137848004698753,0.06650544703006744,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,28,0.0001,1.092619963309716e-06,6.325320243835449,6.829292297363281,0.503972053527832,0.017533253878355026,0.0677146315574646,0.006045949645340443,0.0259975828230381,True
