target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.8268,0.0189,0.031,0.127,5
RN50__attnpool,100_200,3.8557,0.0317,0.108,0.417,5
RN50__attnpool,200_300,3.5881,0.0143,0.159,0.441,5
RN50__attnpool,300_400,4.2016,0.0257,0.081,0.261,5
RN50__attnpool,400_500,4.722,0.0288,0.035,0.134,5
RN50__attnpool,500_600,5.238,0.0169,0.016,0.055,5
RN50__attnpool,600_700,5.3196,0.0262,0.009,0.041,5
RN50__attnpool,700_800,5.3436,0.0119,0.006,0.031,5
RN50__attnpool,800_900,5.3464,0.0136,0.008,0.031,5
RN50__attnpool,900_1000,5.3557,0.0098,0.006,0.028,5
RN50__attnpool__fov,0_100,4.8112,0.016,0.035,0.124,5
RN50__attnpool__fov,100_200,3.8233,0.019,0.133,0.399,5
RN50__attnpool__fov,200_300,3.5675,0.0284,0.176,0.461,5
RN50__attnpool__fov,300_400,4.2109,0.0262,0.071,0.27,5
RN50__attnpool__fov,400_500,4.6966,0.0239,0.035,0.152,5
RN50__attnpool__fov,500_600,5.2405,0.0097,0.008,0.043,5
RN50__attnpool__fov,600_700,5.3133,0.0161,0.007,0.042,5
RN50__attnpool__fov,700_800,5.3668,0.0111,0.002,0.026,5
RN50__attnpool__fov,800_900,5.3532,0.0151,0.001,0.025,5
RN50__attnpool__fov,900_1000,5.3594,0.0059,0.004,0.025,5
RN50__layer1,0_100,4.3625,0.0324,0.042,0.167,5
RN50__layer1,100_200,3.3234,0.0268,0.152,0.473,5
RN50__layer1,200_300,3.2634,0.0075,0.229,0.522,5
RN50__layer1,300_400,4.5075,0.0371,0.058,0.184,5
RN50__layer1,400_500,4.9685,0.0586,0.024,0.108,5
RN50__layer1,500_600,5.1897,0.0086,0.012,0.052,5
RN50__layer1,600_700,5.2977,0.0073,0.005,0.031,5
RN50__layer1,700_800,5.3322,0.0142,0.005,0.022,5
RN50__layer1,800_900,5.3275,0.0118,0.011,0.028,5
RN50__layer1,900_1000,5.3293,0.0153,0.01,0.035,5
RN50__layer1__fov,0_100,4.3135,0.0199,0.044,0.183,5
RN50__layer1__fov,100_200,3.2529,0.0248,0.168,0.474,5
RN50__layer1__fov,200_300,3.2148,0.0125,0.229,0.53,5
RN50__layer1__fov,300_400,4.4795,0.0429,0.066,0.2,5
RN50__layer1__fov,400_500,4.9168,0.0563,0.019,0.114,5
RN50__layer1__fov,500_600,5.2145,0.019,0.01,0.042,5
RN50__layer1__fov,600_700,5.2908,0.013,0.008,0.031,5
RN50__layer1__fov,700_800,5.3342,0.0173,0.002,0.022,5
RN50__layer1__fov,800_900,5.3254,0.0102,0.008,0.036,5
RN50__layer1__fov,900_1000,5.3271,0.0084,0.009,0.04,5
RN50__layer2,0_100,4.2939,0.0133,0.045,0.199,5
RN50__layer2,100_200,2.987,0.0297,0.24,0.582,5
RN50__layer2,200_300,3.0086,0.0158,0.253,0.581,5
RN50__layer2,300_400,4.2645,0.0181,0.066,0.28,5
RN50__layer2,400_500,4.7249,0.0313,0.033,0.149,5
RN50__layer2,500_600,5.1944,0.0222,0.013,0.063,5
RN50__layer2,600_700,5.307,0.0275,0.01,0.04,5
RN50__layer2,700_800,5.3278,0.0133,0.006,0.033,5
RN50__layer2,800_900,5.3471,0.0082,0.009,0.034,5
RN50__layer2,900_1000,5.3365,0.0231,0.007,0.033,5
RN50__layer2__fov,0_100,4.2446,0.0356,0.047,0.207,5
RN50__layer2__fov,100_200,2.9077,0.0212,0.27,0.602,5
RN50__layer2__fov,200_300,2.9551,0.0214,0.249,0.588,5
RN50__layer2__fov,300_400,4.2608,0.0162,0.054,0.265,5
RN50__layer2__fov,400_500,4.7214,0.0303,0.032,0.15,5
RN50__layer2__fov,500_600,5.2104,0.023,0.013,0.051,5
RN50__layer2__fov,600_700,5.3141,0.0217,0.007,0.04,5
RN50__layer2__fov,700_800,5.3245,0.0107,0.007,0.035,5
RN50__layer2__fov,800_900,5.3436,0.0152,0.007,0.028,5
RN50__layer2__fov,900_1000,5.3394,0.0211,0.005,0.035,5
RN50__layer3,0_100,4.3805,0.0257,0.061,0.197,5
RN50__layer3,100_200,2.9417,0.034,0.318,0.644,5
RN50__layer3,200_300,2.8465,0.0223,0.285,0.656,5
RN50__layer3,300_400,3.8708,0.0238,0.134,0.391,5
