target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.881,0.0238,0.039,0.107,5
RN50__attnpool,100_200,3.4992,0.0254,0.185,0.473,5
RN50__attnpool,200_300,3.4355,0.0289,0.192,0.461,5
RN50__attnpool,300_400,3.8134,0.0378,0.132,0.36,5
RN50__attnpool,400_500,4.3237,0.0268,0.069,0.217,5
RN50__attnpool,500_600,5.0795,0.0346,0.025,0.074,5
RN50__attnpool,600_700,5.1964,0.0329,0.013,0.059,5
RN50__attnpool,700_800,5.2898,0.0154,0.004,0.038,5
RN50__attnpool,800_900,5.3051,0.0137,0.005,0.036,5
RN50__attnpool,900_1000,5.319,0.0135,0.005,0.031,5
RN50__attnpool__fov,0_100,4.8978,0.0271,0.028,0.108,5
RN50__attnpool__fov,100_200,3.4912,0.0216,0.201,0.467,5
RN50__attnpool__fov,200_300,3.4195,0.0223,0.194,0.48,5
RN50__attnpool__fov,300_400,3.7758,0.0286,0.129,0.382,5
RN50__attnpool__fov,400_500,4.2925,0.0218,0.069,0.236,5
RN50__attnpool__fov,500_600,5.1007,0.0311,0.019,0.08,5
RN50__attnpool__fov,600_700,5.2113,0.0166,0.013,0.044,5
RN50__attnpool__fov,700_800,5.2981,0.0104,0.007,0.035,5
RN50__attnpool__fov,800_900,5.3168,0.0079,0.007,0.026,5
RN50__attnpool__fov,900_1000,5.331,0.006,0.006,0.024,5
RN50__layer1,0_100,4.3639,0.0214,0.029,0.176,5
RN50__layer1,100_200,3.0748,0.038,0.254,0.579,5
RN50__layer1,200_300,3.4961,0.0145,0.181,0.431,5
RN50__layer1,300_400,4.1587,0.047,0.083,0.287,5
RN50__layer1,400_500,4.7267,0.0336,0.041,0.129,5
RN50__layer1,500_600,5.2245,0.0133,0.015,0.051,5
RN50__layer1,600_700,5.2703,0.0099,0.007,0.043,5
RN50__layer1,700_800,5.295,0.0213,0.007,0.036,5
RN50__layer1,800_900,5.3127,0.0038,0.003,0.025,5
RN50__layer1,900_1000,5.3184,0.0047,0.006,0.026,5
RN50__layer1__fov,0_100,4.2776,0.0295,0.041,0.2,5
RN50__layer1__fov,100_200,3.0288,0.0216,0.267,0.605,5
