target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.982,0.0252,0.016,0.092,5
RN50__attnpool,100_200,3.7814,0.0192,0.15,0.369,5
RN50__attnpool,200_300,3.5382,0.0286,0.185,0.44,5
RN50__attnpool,300_400,3.856,0.0201,0.131,0.358,5
RN50__attnpool,400_500,4.4104,0.0116,0.073,0.196,5
RN50__attnpool,500_600,5.1503,0.0069,0.011,0.054,5
RN50__attnpool,600_700,5.2356,0.0159,0.013,0.043,5
RN50__attnpool,700_800,5.2987,0.0128,0.006,0.039,5
RN50__attnpool,800_900,5.302,0.0092,0.008,0.032,5
RN50__attnpool,900_1000,5.313,0.0109,0.005,0.031,5
RN50__attnpool__fov,0_100,4.9653,0.0121,0.02,0.098,5
RN50__attnpool__fov,100_200,3.7863,0.0211,0.144,0.38,5
RN50__attnpool__fov,200_300,3.4761,0.0175,0.199,0.478,5
RN50__attnpool__fov,300_400,3.866,0.0415,0.125,0.382,5
RN50__attnpool__fov,400_500,4.4086,0.0304,0.076,0.206,5
RN50__attnpool__fov,500_600,5.1626,0.0175,0.012,0.054,5
RN50__attnpool__fov,600_700,5.2484,0.023,0.003,0.038,5
RN50__attnpool__fov,700_800,5.3072,0.0143,0.005,0.027,5
RN50__attnpool__fov,800_900,5.312,0.01,0.004,0.028,5
RN50__attnpool__fov,900_1000,5.3248,0.0157,0.011,0.028,5
RN50__layer1,0_100,4.6794,0.0455,0.046,0.164,5
RN50__layer1,100_200,3.5525,0.0413,0.184,0.428,5
RN50__layer1,200_300,3.8184,0.0277,0.111,0.329,5
RN50__layer1,300_400,4.2696,0.0407,0.076,0.263,5
RN50__layer1,400_500,4.8029,0.0215,0.051,0.161,5
RN50__layer1,500_600,5.1977,0.015,0.008,0.042,5
RN50__layer1,600_700,5.2751,0.0069,0.005,0.039,5
RN50__layer1,700_800,5.3055,0.0032,0.01,0.037,5
RN50__layer1,800_900,5.3055,0.0105,0.007,0.027,5
RN50__layer1,900_1000,5.3124,0.0067,0.005,0.026,5
RN50__layer1__fov,0_100,4.61,0.0127,0.036,0.16,5
RN50__layer1__fov,100_200,3.4839,0.0287,0.186,0.443,5
RN50__layer1__fov,200_300,3.7957,0.0255,0.102,0.33,5
RN50__layer1__fov,300_400,4.2543,0.0171,0.079,0.261,5
RN50__layer1__fov,400_500,4.8381,0.0705,0.043,0.158,5
RN50__layer1__fov,500_600,5.1927,0.0196,0.011,0.06,5
RN50__layer1__fov,600_700,5.2716,0.0065,0.015,0.04,5
RN50__layer1__fov,700_800,5.3039,0.0091,0.011,0.035,5
RN50__layer1__fov,800_900,5.3075,0.0056,0.007,0.027,5
RN50__layer1__fov,900_1000,5.3125,0.0039,0.006,0.029,5
