target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,8,7.3212,4.8846,0.02,0.11
RN50__attnpool,0_100,1,10,7.31,4.8453,0.02,0.135
RN50__attnpool,0_100,2,10,7.2732,4.8872,0.025,0.11
RN50__attnpool,0_100,3,7,7.3304,4.9647,0.01,0.095
RN50__attnpool,0_100,4,10,7.2963,4.8284,0.015,0.115
RN50__attnpool,100_200,0,15,6.9508,4.0226,0.12,0.34
RN50__attnpool,100_200,1,17,6.9314,3.9733,0.13,0.355
RN50__attnpool,100_200,2,15,6.9507,4.011,0.11,0.365
RN50__attnpool,100_200,3,15,6.914,3.9923,0.115,0.37
RN50__attnpool,100_200,4,16,6.9245,4.0174,0.11,0.335
RN50__attnpool,200_300,0,17,6.9239,3.9354,0.105,0.36
RN50__attnpool,200_300,1,16,7.0,3.9472,0.115,0.32
RN50__attnpool,200_300,2,17,6.9355,3.8909,0.12,0.37
RN50__attnpool,200_300,3,15,6.9211,3.9587,0.075,0.305
RN50__attnpool,200_300,4,17,6.9552,3.9211,0.11,0.365
RN50__attnpool,300_400,0,13,7.3024,4.5031,0.055,0.165
RN50__attnpool,300_400,1,12,7.3129,4.4514,0.04,0.225
RN50__attnpool,300_400,2,13,7.3047,4.4451,0.065,0.195
RN50__attnpool,300_400,3,15,7.2375,4.4409,0.075,0.205
RN50__attnpool,300_400,4,12,7.2833,4.5132,0.055,0.19
RN50__attnpool,400_500,0,3,7.4623,5.156,0.01,0.03
RN50__attnpool,400_500,1,5,7.4727,5.0612,0.02,0.085
RN50__attnpool,400_500,2,4,7.4463,5.1068,0.02,0.075
RN50__attnpool,400_500,3,4,7.4485,5.0948,0.02,0.075
RN50__attnpool,400_500,4,5,7.4434,5.0577,0.02,0.075
RN50__attnpool,500_600,0,3,7.4784,5.2479,0.01,0.055
RN50__attnpool,500_600,1,3,7.5115,5.2899,0.0,0.025
RN50__attnpool,500_600,2,3,7.4893,5.2494,0.015,0.06
RN50__attnpool,500_600,3,3,7.476,5.2512,0.01,0.03
RN50__attnpool,500_600,4,3,7.4696,5.2833,0.015,0.035
RN50__attnpool,600_700,0,2,7.4949,5.3268,0.005,0.035
RN50__attnpool,600_700,1,3,7.5116,5.2931,0.01,0.045
RN50__attnpool,600_700,2,2,7.4941,5.3183,0.0,0.03
RN50__attnpool,600_700,3,2,7.4955,5.321,0.01,0.03
RN50__attnpool,600_700,4,3,7.4821,5.3167,0.0,0.025
RN50__attnpool,700_800,0,2,7.5034,5.3571,0.0,0.015
RN50__attnpool,700_800,1,2,7.5235,5.3142,0.015,0.035
RN50__attnpool,700_800,2,2,7.5053,5.3311,0.005,0.015
RN50__attnpool,700_800,3,2,7.4889,5.3354,0.01,0.03
RN50__attnpool,700_800,4,3,7.481,5.3707,0.0,0.005
RN50__attnpool,800_900,0,2,7.5071,5.352,0.0,0.035
RN50__attnpool,800_900,1,2,7.52,5.3419,0.01,0.025
RN50__attnpool,800_900,2,2,7.4997,5.3644,0.005,0.045
RN50__attnpool,800_900,3,2,7.5023,5.3322,0.005,0.03
RN50__attnpool,800_900,4,2,7.489,5.3687,0.0,0.02
RN50__attnpool,900_1000,0,2,7.5113,5.3648,0.005,0.045
RN50__attnpool,900_1000,1,2,7.5065,5.3471,0.0,0.03
RN50__attnpool,900_1000,2,2,7.5015,5.3284,0.005,0.02
RN50__attnpool,900_1000,3,2,7.4894,5.3375,0.005,0.04
RN50__attnpool,900_1000,4,2,7.4941,5.3635,0.0,0.01
RN50__attnpool__fov,0_100,0,8,7.3257,4.9031,0.02,0.1
RN50__attnpool__fov,0_100,1,10,7.2696,4.8669,0.03,0.12
RN50__attnpool__fov,0_100,2,10,7.2887,4.8819,0.015,0.09
RN50__attnpool__fov,0_100,3,8,7.3278,4.8904,0.02,0.115
RN50__attnpool__fov,0_100,4,9,7.2844,4.8283,0.025,0.125
RN50__attnpool__fov,100_200,0,15,6.9487,3.9583,0.115,0.355
RN50__attnpool__fov,100_200,1,17,6.9285,3.9845,0.125,0.37
RN50__attnpool__fov,100_200,2,15,6.9196,3.9637,0.14,0.37
RN50__attnpool__fov,100_200,3,15,6.9311,3.9531,0.145,0.375
RN50__attnpool__fov,100_200,4,16,6.904,3.9502,0.115,0.36
RN50__attnpool__fov,200_300,0,17,6.9292,3.876,0.105,0.395
RN50__attnpool__fov,200_300,1,16,6.9998,3.9606,0.105,0.33
RN50__attnpool__fov,200_300,2,17,6.927,3.8921,0.1,0.365
RN50__attnpool__fov,200_300,3,17,6.9189,3.9212,0.1,0.36
RN50__attnpool__fov,200_300,4,16,6.9339,3.8923,0.14,0.38
