target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,9,7.3497,4.9488,0.025,0.095
RN50__attnpool,0_100,1,9,7.3124,5.0141,0.015,0.095
RN50__attnpool,0_100,2,9,7.3524,4.9694,0.01,0.08
RN50__attnpool,0_100,3,9,7.3456,5.0088,0.02,0.095
RN50__attnpool,0_100,4,9,7.3418,4.969,0.01,0.095
RN50__attnpool,100_200,0,18,6.7214,3.7958,0.165,0.38
RN50__attnpool,100_200,1,18,6.7235,3.777,0.14,0.385
RN50__attnpool,100_200,2,19,6.7707,3.7925,0.145,0.365
RN50__attnpool,100_200,3,16,6.742,3.796,0.15,0.34
RN50__attnpool,100_200,4,19,6.6833,3.7457,0.15,0.375
RN50__attnpool,200_300,0,23,6.6275,3.4982,0.18,0.45
RN50__attnpool,200_300,1,20,6.6714,3.5504,0.17,0.445
RN50__attnpool,200_300,2,19,6.6452,3.5295,0.185,0.43
RN50__attnpool,200_300,3,19,6.6391,3.5847,0.21,0.43
RN50__attnpool,200_300,4,21,6.6583,3.5281,0.18,0.445
RN50__attnpool,300_400,0,19,6.9019,3.8217,0.145,0.39
RN50__attnpool,300_400,1,18,6.9095,3.8752,0.135,0.355
RN50__attnpool,300_400,2,19,6.9026,3.8723,0.145,0.335
RN50__attnpool,300_400,3,16,6.9076,3.8656,0.13,0.365
RN50__attnpool,300_400,4,16,6.9151,3.8453,0.1,0.345
RN50__attnpool,400_500,0,15,7.2436,4.4236,0.07,0.215
RN50__attnpool,400_500,1,20,7.2278,4.3909,0.07,0.185
RN50__attnpool,400_500,2,15,7.2619,4.405,0.08,0.175
RN50__attnpool,400_500,3,17,7.236,4.4134,0.075,0.195
RN50__attnpool,400_500,4,16,7.2753,4.4191,0.07,0.21
RN50__attnpool,500_600,0,3,7.459,5.1527,0.01,0.07
RN50__attnpool,500_600,1,3,7.4699,5.1496,0.025,0.05
RN50__attnpool,500_600,2,3,7.4854,5.1488,0.0,0.025
RN50__attnpool,500_600,3,3,7.4577,5.1608,0.01,0.065
RN50__attnpool,500_600,4,3,7.4766,5.1395,0.01,0.06
RN50__attnpool,600_700,0,3,7.4666,5.207,0.01,0.05
RN50__attnpool,600_700,1,2,7.4883,5.2485,0.01,0.04
RN50__attnpool,600_700,2,3,7.4907,5.2307,0.02,0.045
RN50__attnpool,600_700,3,2,7.4786,5.241,0.01,0.04
RN50__attnpool,600_700,4,2,7.4949,5.2508,0.015,0.04
RN50__attnpool,700_800,0,3,7.4784,5.2846,0.01,0.065
RN50__attnpool,700_800,1,2,7.494,5.2953,0.01,0.025
RN50__attnpool,700_800,2,2,7.5093,5.3122,0.01,0.035
RN50__attnpool,700_800,3,2,7.4867,5.3152,0.0,0.035
RN50__attnpool,700_800,4,2,7.5024,5.2863,0.0,0.035
RN50__attnpool,800_900,0,2,7.485,5.2899,0.01,0.055
RN50__attnpool,800_900,1,2,7.5056,5.2943,0.005,0.01
RN50__attnpool,800_900,2,2,7.5139,5.3034,0.01,0.035
RN50__attnpool,800_900,3,2,7.4944,5.3158,0.0,0.015
RN50__attnpool,800_900,4,2,7.5117,5.3067,0.015,0.045
RN50__attnpool,900_1000,0,2,7.492,5.2937,0.01,0.025
RN50__attnpool,900_1000,1,2,7.5127,5.3097,0.005,0.03
RN50__attnpool,900_1000,2,2,7.5259,5.3209,0.005,0.05
RN50__attnpool,900_1000,3,2,7.494,5.3248,0.005,0.035
RN50__attnpool,900_1000,4,2,7.516,5.3158,0.0,0.015
RN50__attnpool__fov,0_100,0,10,7.3243,4.9667,0.02,0.09
RN50__attnpool__fov,0_100,1,9,7.3025,4.9826,0.025,0.11
RN50__attnpool__fov,0_100,2,10,7.3434,4.9517,0.015,0.1
RN50__attnpool__fov,0_100,3,9,7.3439,4.952,0.02,0.105
RN50__attnpool__fov,0_100,4,10,7.3629,4.9733,0.02,0.085
RN50__attnpool__fov,100_200,0,18,6.6888,3.8066,0.145,0.38
RN50__attnpool__fov,100_200,1,18,6.7338,3.8069,0.145,0.36
RN50__attnpool__fov,100_200,2,19,6.7398,3.7538,0.135,0.39
RN50__attnpool__fov,100_200,3,16,6.7515,3.7943,0.15,0.38
RN50__attnpool__fov,100_200,4,19,6.6893,3.77,0.145,0.39
RN50__attnpool__fov,200_300,0,20,6.6111,3.4881,0.205,0.475
RN50__attnpool__fov,200_300,1,20,6.6408,3.494,0.2,0.47
RN50__attnpool__fov,200_300,2,23,6.6113,3.444,0.205,0.5
RN50__attnpool__fov,200_300,3,22,6.6179,3.4733,0.205,0.475
RN50__attnpool__fov,200_300,4,20,6.6606,3.4811,0.18,0.47
RN50__attnpool__fov,300_400,0,19,6.8601,3.8527,0.125,0.37
RN50__attnpool__fov,300_400,1,16,6.892,3.9127,0.115,0.37
RN50__attnpool__fov,300_400,2,19,6.89,3.8061,0.14,0.39
RN50__attnpool__fov,300_400,3,16,6.9009,3.9132,0.115,0.37
RN50__attnpool__fov,300_400,4,16,6.9102,3.8455,0.13,0.41
RN50__attnpool__fov,400_500,0,14,7.23,4.4546,0.08,0.225
RN50__attnpool__fov,400_500,1,16,7.2379,4.4243,0.09,0.205
RN50__attnpool__fov,400_500,2,16,7.2827,4.3802,0.065,0.195
RN50__attnpool__fov,400_500,3,17,7.2294,4.3707,0.075,0.19
RN50__attnpool__fov,400_500,4,15,7.2667,4.413,0.07,0.215
RN50__attnpool__fov,500_600,0,3,7.4502,5.1888,0.015,0.05
RN50__attnpool__fov,500_600,1,3,7.4619,5.1634,0.01,0.04
RN50__attnpool__fov,500_600,2,3,7.4705,5.1728,0.005,0.065
RN50__attnpool__fov,500_600,3,3,7.4584,5.1493,0.01,0.05
RN50__attnpool__fov,500_600,4,3,7.4643,5.1388,0.02,0.065
RN50__attnpool__fov,600_700,0,3,7.4546,5.2539,0.0,0.035
