target,window,top1,top5
ViT-L-14__block24,0_100,0.044,0.123
ViT-L-14__block24,100_200,0.128,0.372
ViT-L-14__block24,200_300,0.162,0.418
ViT-L-14__block24,300_400,0.102,0.346
ViT-L-14__block24,400_500,0.061,0.179
ViT-L-14__block24,500_600,0.02,0.066
ViT-L-14__block24,600_700,0.012,0.047
ViT-L-14__block24,700_800,0.006,0.037
ViT-L-14__block24,800_900,0.005,0.033
ViT-L-14__block24,900_1000,0.006,0.021
