target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__layer4,200_300,3.5142,0.0446,0.173,0.448,5
RN50__layer4,300_400,4.1213,0.0414,0.079,0.301,5
RN50__layer4,400_500,5.1634,0.0995,0.015,0.06,5
RN50__layer4,500_600,5.2811,0.0051,0.006,0.031,5
RN50__layer4,600_700,5.2986,0.0059,0.005,0.032,5
RN50__layer4,700_800,5.3076,0.0048,0.007,0.025,5
RN50__layer4,800_900,5.3139,0.0027,0.007,0.022,5
RN50__layer4,900_1000,5.3167,0.003,0.007,0.024,5
RN50__layer4__fov,0_100,4.4447,0.0217,0.063,0.197,5
RN50__layer4__fov,100_200,3.4834,0.0451,0.172,0.467,5
RN50__layer4__fov,200_300,3.4591,0.0548,0.188,0.482,5
RN50__layer4__fov,300_400,4.0986,0.0231,0.077,0.32,5
RN50__layer4__fov,400_500,5.157,0.1045,0.013,0.047,5
RN50__layer4__fov,500_600,5.2757,0.0037,0.007,0.036,5
RN50__layer4__fov,600_700,5.2958,0.0043,0.005,0.027,5
RN50__layer4__fov,700_800,5.3018,0.0032,0.006,0.03,5
RN50__layer4__fov,800_900,5.3128,0.0031,0.003,0.022,5
RN50__layer4__fov,900_1000,5.3161,0.0057,0.006,0.024,5
RN50__stem,0_100,4.4371,0.0365,0.048,0.193,5
RN50__stem,100_200,4.0444,0.0469,0.096,0.327,5
RN50__stem,200_300,4.2216,0.0435,0.052,0.257,5
RN50__stem,300_400,4.9224,0.042,0.02,0.11,5
RN50__stem,400_500,5.2202,0.0055,0.005,0.04,5
RN50__stem,500_600,5.2818,0.0078,0.005,0.028,5
RN50__stem,600_700,5.3008,0.0084,0.005,0.024,5
RN50__stem,700_800,5.3009,0.0019,0.008,0.025,5
RN50__stem,800_900,5.3081,0.0051,0.006,0.024,5
RN50__stem,900_1000,5.3128,0.0049,0.005,0.021,5
RN50__stem__fov,0_100,4.3393,0.0796,0.041,0.222,5
RN50__stem__fov,100_200,3.9378,0.0694,0.104,0.345,5
RN50__stem__fov,200_300,4.1485,0.0504,0.064,0.274,5
RN50__stem__fov,300_400,4.9103,0.045,0.016,0.111,5
RN50__stem__fov,400_500,5.2282,0.0136,0.005,0.039,5
RN50__stem__fov,500_600,5.2813,0.0076,0.006,0.027,5
RN50__stem__fov,600_700,5.299,0.0061,0.004,0.027,5
RN50__stem__fov,700_800,5.302,0.0013,0.009,0.027,5
RN50__stem__fov,800_900,5.31,0.0051,0.004,0.026,5
RN50__stem__fov,900_1000,5.3127,0.0033,0.004,0.02,5
ViT-B-16__block10,0_100,4.5806,0.0145,0.055,0.161,5
ViT-B-16__block10,100_200,3.7512,0.0562,0.153,0.405,5
ViT-B-16__block10,200_300,3.7484,0.0385,0.124,0.385,5
ViT-B-16__block10,300_400,4.2612,0.0281,0.071,0.25,5
ViT-B-16__block10,400_500,5.1877,0.0957,0.007,0.049,5
ViT-B-16__block10,500_600,5.2845,0.0044,0.008,0.03,5
ViT-B-16__block10,600_700,5.3045,0.0036,0.006,0.03,5
ViT-B-16__block10,700_800,5.3126,0.002,0.005,0.021,5
ViT-B-16__block10,800_900,5.3139,0.0024,0.006,0.026,5
ViT-B-16__block10,900_1000,5.3142,0.003,0.004,0.027,5
ViT-B-16__block10__fov,0_100,4.5177,0.0208,0.07,0.177,5
ViT-B-16__block10__fov,100_200,3.653,0.0845,0.157,0.432,5
ViT-B-16__block10__fov,200_300,3.6663,0.0274,0.157,0.433,5
ViT-B-16__block10__fov,300_400,4.2231,0.0393,0.074,0.282,5
ViT-B-16__block10__fov,400_500,5.1904,0.0823,0.005,0.052,5
ViT-B-16__block10__fov,500_600,5.2782,0.0032,0.009,0.033,5
ViT-B-16__block10__fov,600_700,5.3035,0.001,0.01,0.024,5
