target,window,top1,top5
ViT-L-14__block24,0_100,0.02,0.073
ViT-L-14__block24,100_200,0.111,0.299
ViT-L-14__block24,200_300,0.075,0.258
ViT-L-14__block24,300_400,0.071,0.196
ViT-L-14__block24,400_500,0.011,0.041
ViT-L-14__block24,500_600,0.007,0.037
ViT-L-14__block24,600_700,0.008,0.038
ViT-L-14__block24,700_800,0.011,0.029
ViT-L-14__block24,800_900,0.007,0.028
ViT-L-14__block24,900_1000,0.005,0.024
