target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.882,0.0471,0.018,0.113,5
RN50__attnpool,100_200,4.0033,0.0182,0.117,0.353,5
RN50__attnpool,200_300,3.9307,0.0235,0.105,0.344,5
RN50__attnpool,300_400,4.4707,0.0309,0.058,0.196,5
RN50__attnpool,400_500,5.0953,0.0358,0.018,0.068,5
RN50__attnpool,500_600,5.2643,0.0183,0.01,0.041,5
RN50__attnpool,600_700,5.3152,0.0116,0.005,0.033,5
RN50__attnpool,700_800,5.3417,0.0199,0.006,0.02,5
RN50__attnpool,800_900,5.3518,0.0136,0.004,0.031,5
RN50__attnpool,900_1000,5.3483,0.0143,0.003,0.029,5
RN50__attnpool__fov,0_100,4.8741,0.0258,0.022,0.11,5
RN50__attnpool__fov,100_200,3.962,0.0122,0.128,0.366,5
RN50__attnpool__fov,200_300,3.9084,0.0299,0.11,0.366,5
RN50__attnpool__fov,300_400,4.4525,0.0319,0.062,0.193,5
RN50__attnpool__fov,400_500,5.0949,0.0133,0.019,0.078,5
RN50__attnpool__fov,500_600,5.2607,0.0291,0.006,0.026,5
RN50__attnpool__fov,600_700,5.2893,0.014,0.006,0.041,5
RN50__attnpool__fov,700_800,5.3316,0.0258,0.003,0.035,5
RN50__attnpool__fov,800_900,5.3529,0.014,0.009,0.033,5
RN50__attnpool__fov,900_1000,5.3554,0.0263,0.007,0.018,5
RN50__layer1,0_100,4.4412,0.0516,0.032,0.2,5
RN50__layer1,100_200,3.5442,0.0751,0.155,0.412,5
RN50__layer1,200_300,3.7091,0.0302,0.125,0.344,5
RN50__layer1,300_400,4.7697,0.0336,0.026,0.111,5
RN50__layer1,400_500,5.1855,0.0203,0.015,0.056,5
RN50__layer1,500_600,5.2615,0.0064,0.007,0.046,5
RN50__layer1,600_700,5.2989,0.0068,0.005,0.016,5
RN50__layer1,700_800,5.3154,0.0109,0.004,0.021,5
RN50__layer1,800_900,5.3205,0.0129,0.003,0.021,5
RN50__layer1,900_1000,5.3074,0.0103,0.005,0.029,5
RN50__layer1__fov,0_100,4.3841,0.0492,0.047,0.207,5
RN50__layer1__fov,100_200,3.4594,0.0589,0.161,0.435,5
RN50__layer1__fov,200_300,3.669,0.0489,0.131,0.376,5
RN50__layer1__fov,300_400,4.7811,0.0254,0.025,0.114,5
RN50__layer1__fov,400_500,5.1839,0.0322,0.01,0.054,5
RN50__layer1__fov,500_600,5.2563,0.0059,0.01,0.043,5
RN50__layer1__fov,600_700,5.3022,0.0068,0.006,0.033,5
RN50__layer1__fov,700_800,5.3153,0.0098,0.005,0.031,5
RN50__layer1__fov,800_900,5.32,0.0103,0.008,0.022,5
RN50__layer1__fov,900_1000,5.3048,0.0148,0.004,0.026,5
RN50__layer2,0_100,4.3598,0.0326,0.059,0.184,5
RN50__layer2,100_200,3.2237,0.0301,0.22,0.498,5
RN50__layer2,200_300,3.4587,0.0429,0.177,0.423,5
RN50__layer2,300_400,4.5894,0.0339,0.045,0.146,5
RN50__layer2,400_500,5.1276,0.0139,0.012,0.05,5
RN50__layer2,500_600,5.2609,0.0155,0.006,0.041,5
RN50__layer2,600_700,5.2997,0.012,0.006,0.03,5
RN50__layer2,700_800,5.3191,0.0202,0.003,0.029,5
RN50__layer2,800_900,5.3261,0.011,0.004,0.021,5
RN50__layer2,900_1000,5.3205,0.0153,0.006,0.026,5
RN50__layer2__fov,0_100,4.3278,0.0301,0.045,0.211,5
RN50__layer2__fov,100_200,3.1529,0.0404,0.228,0.514,5
RN50__layer2__fov,200_300,3.4196,0.0418,0.172,0.454,5
RN50__layer2__fov,300_400,4.6074,0.0248,0.042,0.146,5
RN50__layer2__fov,400_500,5.1095,0.02,0.016,0.076,5
RN50__layer2__fov,500_600,5.257,0.0194,0.007,0.042,5
RN50__layer2__fov,600_700,5.2956,0.0185,0.004,0.034,5
RN50__layer2__fov,700_800,5.3102,0.0119,0.003,0.028,5
RN50__layer2__fov,800_900,5.3238,0.0063,0.005,0.03,5
RN50__layer2__fov,900_1000,5.3163,0.0132,0.005,0.037,5
RN50__layer3,0_100,4.4887,0.023,0.044,0.172,5
RN50__layer3,100_200,3.2309,0.021,0.223,0.546,5
RN50__layer3,200_300,3.2538,0.0164,0.247,0.538,5
RN50__layer3,300_400,4.1907,0.0316,0.086,0.25,5
RN50__layer3,400_500,5.0005,0.104,0.018,0.091,5
RN50__layer3,500_600,5.2583,0.0232,0.009,0.034,5
RN50__layer3,600_700,5.297,0.0156,0.003,0.034,5
RN50__layer3,700_800,5.3322,0.0083,0.001,0.031,5
RN50__layer3,800_900,5.3351,0.009,0.004,0.027,5
RN50__layer3,900_1000,5.3362,0.0068,0.005,0.023,5
RN50__layer3__fov,0_100,4.4625,0.0253,0.05,0.188,5
RN50__layer3__fov,100_200,3.1835,0.0316,0.23,0.555,5
RN50__layer3__fov,200_300,3.2253,0.0358,0.249,0.547,5
RN50__layer3__fov,300_400,4.1941,0.0115,0.079,0.233,5
RN50__layer3__fov,400_500,4.9344,0.0746,0.024,0.096,5
RN50__layer3__fov,500_600,5.2388,0.0181,0.014,0.051,5
RN50__layer3__fov,600_700,5.2789,0.024,0.009,0.035,5
RN50__layer3__fov,700_800,5.3217,0.0106,0.007,0.037,5
RN50__layer3__fov,800_900,5.3331,0.0111,0.008,0.027,5
RN50__layer3__fov,900_1000,5.331,0.0066,0.01,0.032,5
RN50__layer4,0_100,4.7626,0.016,0.024,0.116,5
RN50__layer4,100_200,3.6888,0.0188,0.144,0.443,5
RN50__layer4,200_300,3.5857,0.0139,0.16,0.435,5
RN50__layer4,300_400,4.2688,0.0313,0.094,0.254,5
RN50__layer4,400_500,4.9005,0.0394,0.024,0.126,5
RN50__layer4,500_600,5.2483,0.0191,0.009,0.045,5
RN50__layer4,600_700,5.3143,0.0101,0.005,0.04,5
RN50__layer4,700_800,5.3477,0.0216,0.006,0.03,5
RN50__layer4,800_900,5.3687,0.0229,0.005,0.025,5
RN50__layer4,900_1000,5.355,0.0244,0.006,0.032,5
RN50__layer4__fov,0_100,4.717,0.0363,0.022,0.127,5
RN50__layer4__fov,100_200,3.6667,0.0223,0.141,0.432,5
RN50__layer4__fov,200_300,3.5503,0.011,0.168,0.462,5
RN50__layer4__fov,300_400,4.2559,0.0429,0.078,0.245,5
RN50__layer4__fov,400_500,4.9012,0.0454,0.029,0.119,5
RN50__layer4__fov,500_600,5.2486,0.0337,0.008,0.049,5
RN50__layer4__fov,600_700,5.3061,0.0164,0.007,0.042,5
RN50__layer4__fov,700_800,5.3492,0.0156,0.006,0.021,5
RN50__layer4__fov,800_900,5.3537,0.0153,0.003,0.026,5
RN50__layer4__fov,900_1000,5.3506,0.0138,0.008,0.026,5
RN50__stem,0_100,4.7541,0.0087,0.02,0.121,5
RN50__stem,100_200,4.202,0.0737,0.083,0.261,5
RN50__stem,200_300,4.2888,0.0351,0.035,0.233,5
RN50__stem,300_400,4.9344,0.0595,0.016,0.099,5
RN50__stem,400_500,5.2178,0.0205,0.01,0.032,5
RN50__stem,500_600,5.2704,0.0116,0.004,0.03,5
RN50__stem,600_700,5.3008,0.0062,0.005,0.03,5
RN50__stem,700_800,5.3114,0.0131,0.006,0.019,5
RN50__stem,800_900,5.3087,0.0067,0.004,0.023,5
RN50__stem,900_1000,5.3034,0.0119,0.005,0.027,5
RN50__stem__fov,0_100,4.6992,0.0213,0.027,0.118,5
RN50__stem__fov,100_200,4.0881,0.0639,0.095,0.273,5
RN50__stem__fov,200_300,4.2185,0.0398,0.051,0.252,5
RN50__stem__fov,300_400,4.9129,0.0518,0.017,0.102,5
RN50__stem__fov,400_500,5.2251,0.0116,0.007,0.04,5
RN50__stem__fov,500_600,5.2696,0.0139,0.008,0.036,5
RN50__stem__fov,600_700,5.2995,0.0082,0.004,0.025,5
RN50__stem__fov,700_800,5.3111,0.0145,0.004,0.025,5
