target,window,top1,top5
ViT-L-14__block24,0_100,0.034,0.114
ViT-L-14__block24,100_200,0.07,0.254
ViT-L-14__block24,200_300,0.088,0.263
ViT-L-14__block24,300_400,0.066,0.2
ViT-L-14__block24,400_500,0.029,0.1
ViT-L-14__block24,500_600,0.008,0.039
ViT-L-14__block24,600_700,0.002,0.024
ViT-L-14__block24,700_800,0.005,0.03
ViT-L-14__block24,800_900,0.005,0.023
ViT-L-14__block24,900_1000,0.002,0.024
