target,window,top1,top5
ViT-L-14__block24,0_100,0.034,0.103
ViT-L-14__block24,100_200,0.056,0.239
ViT-L-14__block24,200_300,0.08,0.256
ViT-L-14__block24,300_400,0.044,0.195
ViT-L-14__block24,400_500,0.011,0.039
ViT-L-14__block24,500_600,0.006,0.028
ViT-L-14__block24,600_700,0.005,0.029
ViT-L-14__block24,700_800,0.006,0.027
ViT-L-14__block24,800_900,0.003,0.024
ViT-L-14__block24,900_1000,0.005,0.022
