target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,11,7.1859,4.7316,0.045,0.175
RN50__attnpool,0_100,1,10,7.1974,4.7626,0.035,0.16
RN50__attnpool,0_100,2,9,7.2395,4.8198,0.035,0.115
RN50__attnpool,0_100,3,11,7.2095,4.7187,0.045,0.18
RN50__attnpool,0_100,4,12,7.1756,4.7533,0.045,0.155
RN50__attnpool,100_200,0,19,6.4405,3.4029,0.205,0.5
RN50__attnpool,100_200,1,18,6.4277,3.4111,0.2,0.48
RN50__attnpool,100_200,2,17,6.4649,3.3925,0.2,0.52
RN50__attnpool,100_200,3,19,6.4953,3.4092,0.195,0.495
RN50__attnpool,100_200,4,17,6.4674,3.4585,0.18,0.465
RN50__attnpool,200_300,0,18,6.4206,3.3571,0.205,0.5
RN50__attnpool,200_300,1,17,6.4095,3.3693,0.225,0.45
RN50__attnpool,200_300,2,19,6.4279,3.3402,0.205,0.49
RN50__attnpool,200_300,3,17,6.4522,3.3599,0.22,0.485
RN50__attnpool,200_300,4,17,6.4594,3.3701,0.22,0.495
RN50__attnpool,300_400,0,14,6.8362,3.8325,0.12,0.36
RN50__attnpool,300_400,1,15,6.8706,3.8483,0.11,0.38
RN50__attnpool,300_400,2,13,6.8726,3.794,0.145,0.365
RN50__attnpool,300_400,3,15,6.8726,3.8338,0.115,0.35
RN50__attnpool,300_400,4,12,6.9051,3.8784,0.105,0.345
RN50__attnpool,400_500,0,10,7.2658,4.4754,0.05,0.17
RN50__attnpool,400_500,1,12,7.2405,4.4615,0.045,0.2
RN50__attnpool,400_500,2,9,7.2919,4.493,0.065,0.205
RN50__attnpool,400_500,3,9,7.2417,4.5532,0.045,0.14
RN50__attnpool,400_500,4,10,7.2482,4.4736,0.055,0.205
RN50__attnpool,500_600,0,5,7.4609,5.0821,0.025,0.055
RN50__attnpool,500_600,1,3,7.4576,5.2017,0.025,0.075
RN50__attnpool,500_600,2,4,7.4773,5.1046,0.005,0.08
RN50__attnpool,500_600,3,3,7.438,5.1897,0.02,0.06
RN50__attnpool,500_600,4,6,7.4342,5.0841,0.015,0.07
RN50__attnpool,600_700,0,2,7.4807,5.2822,0.005,0.02
RN50__attnpool,600_700,1,2,7.4571,5.2745,0.01,0.035
RN50__attnpool,600_700,2,2,7.4586,5.264,0.015,0.035
RN50__attnpool,600_700,3,2,7.4646,5.2657,0.0,0.065
RN50__attnpool,600_700,4,3,7.4593,5.2214,0.0,0.03
RN50__attnpool,700_800,0,2,7.4796,5.2977,0.0,0.01
RN50__attnpool,700_800,1,2,7.4825,5.297,0.0,0.005
RN50__attnpool,700_800,2,2,7.4936,5.2812,0.015,0.03
RN50__attnpool,700_800,3,2,7.4774,5.2838,0.01,0.03
RN50__attnpool,700_800,4,2,7.4722,5.3024,0.015,0.04
RN50__attnpool,800_900,0,2,7.4928,5.3121,0.005,0.02
RN50__attnpool,800_900,1,2,7.4957,5.3074,0.005,0.03
RN50__attnpool,800_900,2,2,7.4876,5.284,0.005,0.035
RN50__attnpool,800_900,3,2,7.4866,5.291,0.0,0.025
RN50__attnpool,800_900,4,2,7.4774,5.3033,0.005,0.045
RN50__attnpool,900_1000,0,2,7.5022,5.3206,0.005,0.01
RN50__attnpool,900_1000,1,2,7.4985,5.3199,0.0,0.005
RN50__attnpool,900_1000,2,2,7.4989,5.2908,0.01,0.04
RN50__attnpool,900_1000,3,2,7.478,5.2982,0.005,0.03
RN50__attnpool,900_1000,4,2,7.4949,5.3068,0.005,0.025
RN50__attnpool__fov,0_100,0,11,7.1813,4.7496,0.045,0.18
RN50__attnpool__fov,0_100,1,11,7.2184,4.7734,0.03,0.15
RN50__attnpool__fov,0_100,2,11,7.199,4.74,0.055,0.17
RN50__attnpool__fov,0_100,3,10,7.2021,4.7397,0.045,0.15
RN50__attnpool__fov,0_100,4,13,7.1518,4.7331,0.065,0.185
RN50__attnpool__fov,100_200,0,19,6.4343,3.3974,0.23,0.495
RN50__attnpool__fov,100_200,1,18,6.4012,3.376,0.22,0.485
RN50__attnpool__fov,100_200,2,21,6.4225,3.3448,0.215,0.51
RN50__attnpool__fov,100_200,3,19,6.47,3.3677,0.195,0.5
RN50__attnpool__fov,100_200,4,16,6.4348,3.4353,0.22,0.47
RN50__attnpool__fov,200_300,0,18,6.4151,3.3259,0.225,0.51
RN50__attnpool__fov,200_300,1,18,6.3792,3.3003,0.24,0.52
RN50__attnpool__fov,200_300,2,18,6.4071,3.3158,0.225,0.49
RN50__attnpool__fov,200_300,3,19,6.4259,3.2913,0.23,0.515
RN50__attnpool__fov,200_300,4,17,6.4556,3.3368,0.205,0.5
RN50__attnpool__fov,300_400,0,12,6.834,3.8365,0.11,0.39
RN50__attnpool__fov,300_400,1,15,6.8791,3.8334,0.14,0.365
