target,window,seed,epoch,weight_decay_condition,current_lr,train_loss,val_loss,gap,train_top1,train_top5,val_top1,val_top5,is_best_epoch
RN50__stem,100_200,0,1,0.01,9.972609476841367e-05,7.374259948730469,7.413987159729004,0.039727210998535156,0.0006045949412509799,0.0030229748226702213,0.0024183797650039196,0.006650544237345457,True
RN50__stem,100_200,0,2,0.01,9.890738003669029e-05,7.1652679443359375,7.251251220703125,0.0859832763671875,0.0012091898825019598,0.007255139295011759,0.0024183797650039196,0.009068924002349377,True
RN50__stem,100_200,0,3,0.01,9.755282581475769e-05,7.056264877319336,7.171690464019775,0.11542558670043945,0.0024183797650039196,0.01511487364768982,0.0024183797650039196,0.01027811411768198,True
RN50__stem,100_200,0,4,0.01,9.567727288213003e-05,6.973172664642334,7.114874839782715,0.14170217514038086,0.004836759530007839,0.01692865788936615,0.0024183797650039196,0.010882709175348282,True
RN50__stem,100_200,0,5,0.01,9.330127018922194e-05,6.900269985198975,7.073878288269043,0.17360830307006836,0.006650544237345457,0.02237001247704029,0.0024183797650039196,0.013301088474690914,True
RN50__stem,100_200,0,6,0.01,9.045084971874738e-05,6.83389949798584,7.036705017089844,0.2028055191040039,0.007255139295011759,0.025392986834049225,0.0024183797650039196,0.013905683532357216,True
RN50__stem,100_200,0,7,0.01,8.715724127386972e-05,6.775632381439209,7.005679130554199,0.23004674911499023,0.009068924002349377,0.027811367064714432,0.0024183797650039196,0.01511487364768982,True
RN50__stem,100_200,0,8,0.01,8.345653031794292e-05,6.722673416137695,6.978889465332031,0.25621604919433594,0.009068924002349377,0.03325272351503372,0.0030229748226702213,0.01511487364768982,True
RN50__stem,100_200,0,9,0.01,7.938926261462366e-05,6.672198295593262,6.958187103271484,0.28598880767822266,0.010882709175348282,0.03990326449275017,0.0036275696475058794,0.01511487364768982,True
RN50__stem,100_200,0,10,0.01,7.500000000000001e-05,6.625079154968262,6.9352922439575195,0.3102130889892578,0.010882709175348282,0.0417170524597168,0.0042321644723415375,0.016324063763022423,True
RN50__stem,100_200,0,11,0.01,7.033683215379003e-05,6.5852203369140625,6.919488430023193,0.33426809310913086,0.012091899290680885,0.04474002495408058,0.004836759530007839,0.018137848004698753,True
RN50__stem,100_200,0,12,0.01,6.545084971874738e-05,6.548990249633789,6.9054999351501465,0.3565096855163574,0.010882709175348282,0.047763001173734665,0.005441354587674141,0.01874244399368763,True
RN50__stem,100_200,0,13,0.01,6.039558454088797e-05,6.510467529296875,6.892102241516113,0.3816347122192383,0.013301088474690914,0.0519951656460762,0.005441354587674141,0.021160822361707687,True
RN50__stem,100_200,0,14,0.01,5.522642316338269e-05,6.481494903564453,6.880430221557617,0.39893531799316406,0.013905683532357216,0.055622734129428864,0.005441354587674141,0.023579202592372894,True
RN50__stem,100_200,0,15,0.01,5.000000000000002e-05,6.453073501586914,6.870043754577637,0.41697025299072266,0.013905683532357216,0.0598548986017704,0.007255139295011759,0.022974608466029167,True
RN50__stem,100_200,0,16,0.01,4.4773576836617344e-05,6.430330753326416,6.860409736633301,0.43007898330688477,0.012696493417024612,0.0598548986017704,0.006045949645340443,0.02418379858136177,True
RN50__stem,100_200,0,17,0.01,3.9604415459112035e-05,6.409584999084473,6.853316783905029,0.44373178482055664,0.013301088474690914,0.06166868284344673,0.006045949645340443,0.023579202592372894,True
RN50__stem,100_200,0,18,0.01,3.4549150281252636e-05,6.3938727378845215,6.849743843078613,0.4558711051940918,0.014510278590023518,0.06166868284344673,0.005441354587674141,0.0259975828230381,True
RN50__stem,100_200,0,19,0.01,2.966316784621e-05,6.37734317779541,6.844967842102051,0.4676246643066406,0.016324063763022423,0.06469165533781052,0.005441354587674141,0.0259975828230381,True
RN50__stem,100_200,0,20,0.01,2.5000000000000015e-05,6.364300727844238,6.841665267944336,0.47736454010009766,0.015719467774033546,0.06469165533781052,0.006045949645340443,0.02660217694938183,True
