target,window,top1,top5
ViT-L-14__block24,0_100,0.023,0.108
ViT-L-14__block24,100_200,0.091,0.301
ViT-L-14__block24,200_300,0.123,0.361
ViT-L-14__block24,300_400,0.048,0.234
ViT-L-14__block24,400_500,0.034,0.11
ViT-L-14__block24,500_600,0.01,0.036
ViT-L-14__block24,600_700,0.008,0.036
ViT-L-14__block24,700_800,0.003,0.016
ViT-L-14__block24,800_900,0.005,0.031
ViT-L-14__block24,900_1000,0.004,0.023
