target,window,top1,top5
ViT-L-14__block24,0_100,0.027,0.096
ViT-L-14__block24,100_200,0.111,0.347
ViT-L-14__block24,200_300,0.084,0.292
ViT-L-14__block24,300_400,0.063,0.211
ViT-L-14__block24,400_500,0.02,0.086
ViT-L-14__block24,500_600,0.011,0.039
ViT-L-14__block24,600_700,0.005,0.025
ViT-L-14__block24,700_800,0.006,0.029
ViT-L-14__block24,800_900,0.008,0.024
ViT-L-14__block24,900_1000,0.004,0.021
