condition,target,window,seed,best_epoch,best_val_loss,test_loss_at_best_val,test_top1_at_best_val,test_top5_at_best_val,final_train_loss,final_val_loss,final_gap,n_parameters,elapsed_s
residual_fixed_temperature,ViT-L-14__block24,100_200,0,9,6.867104530334473,4.310887336730957,0.06499999761581421,0.25,4.020951747894287,6.930920600891113,2.909968852996826,1070592,9.622174978256226
linear_fixed_temperature,ViT-L-14__block24,100_200,0,8,6.905645847320557,4.325167655944824,0.07000000029802322,0.2449999898672104,4.04734992980957,6.964837551116943,2.917487621307373,807936,8.83360505104065
