target,window,top1,top5
ViT-L-14__block24,0_100,0.024,0.102
ViT-L-14__block24,100_200,0.077,0.237
ViT-L-14__block24,200_300,0.112,0.322
ViT-L-14__block24,300_400,0.07,0.212
ViT-L-14__block24,400_500,0.018,0.095
ViT-L-14__block24,500_600,0.009,0.038
ViT-L-14__block24,600_700,0.004,0.024
ViT-L-14__block24,700_800,0.004,0.028
ViT-L-14__block24,800_900,0.008,0.033
ViT-L-14__block24,900_1000,0.006,0.026
