target,window,top1,top5
ViT-L-14__block24,0_100,0.022,0.075
ViT-L-14__block24,100_200,0.113,0.35
ViT-L-14__block24,200_300,0.143,0.315
ViT-L-14__block24,300_400,0.117,0.316
ViT-L-14__block24,400_500,0.057,0.212
ViT-L-14__block24,500_600,0.017,0.082
ViT-L-14__block24,600_700,0.009,0.04
ViT-L-14__block24,700_800,0.006,0.034
ViT-L-14__block24,800_900,0.01,0.031
ViT-L-14__block24,900_1000,0.009,0.032
