target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.8547,0.0258,0.018,0.115,5
RN50__attnpool,100_200,3.8989,0.0415,0.155,0.377,5
RN50__attnpool,200_300,3.8613,0.0261,0.121,0.366,5
RN50__attnpool,300_400,4.3707,0.0709,0.054,0.216,5
RN50__attnpool,400_500,5.194,0.046,0.01,0.044,5
RN50__attnpool,500_600,5.2745,0.0077,0.006,0.04,5
RN50__attnpool,600_700,5.3184,0.0175,0.002,0.031,5
RN50__attnpool,700_800,5.3286,0.0202,0.005,0.029,5
RN50__attnpool,800_900,5.3359,0.0082,0.007,0.02,5
RN50__attnpool,900_1000,5.3346,0.0082,0.007,0.027,5
RN50__attnpool__fov,0_100,4.8604,0.0201,0.018,0.109,5
RN50__attnpool__fov,100_200,3.829,0.0184,0.184,0.409,5
RN50__attnpool__fov,200_300,3.8573,0.0113,0.116,0.352,5
RN50__attnpool__fov,300_400,4.3778,0.041,0.071,0.202,5
RN50__attnpool__fov,400_500,5.2341,0.0296,0.014,0.044,5
RN50__attnpool__fov,500_600,5.2721,0.0137,0.011,0.039,5
RN50__attnpool__fov,600_700,5.3173,0.013,0.01,0.029,5
RN50__attnpool__fov,700_800,5.3335,0.0196,0.006,0.035,5
RN50__attnpool__fov,800_900,5.3426,0.0084,0.008,0.026,5
RN50__attnpool__fov,900_1000,5.3482,0.0052,0.008,0.027,5
RN50__layer1,0_100,4.3607,0.0613,0.039,0.196,5
RN50__layer1,100_200,3.1725,0.0291,0.201,0.552,5
RN50__layer1,200_300,3.6208,0.0248,0.164,0.426,5
RN50__layer1,300_400,4.7194,0.0478,0.045,0.147,5
RN50__layer1,400_500,5.2333,0.0131,0.014,0.05,5
RN50__layer1,500_600,5.2635,0.0088,0.007,0.035,5
RN50__layer1,600_700,5.2882,0.0055,0.007,0.037,5
RN50__layer1,700_800,5.3023,0.0086,0.005,0.031,5
RN50__layer1,800_900,5.3069,0.0119,0.003,0.021,5
RN50__layer1,900_1000,5.3062,0.007,0.009,0.023,5
RN50__layer1__fov,0_100,4.2827,0.0272,0.047,0.227,5
RN50__layer1__fov,100_200,3.0831,0.0279,0.223,0.561,5
RN50__layer1__fov,200_300,3.5652,0.025,0.178,0.438,5
RN50__layer1__fov,300_400,4.7242,0.0624,0.041,0.136,5
RN50__layer1__fov,400_500,5.2313,0.0077,0.014,0.052,5
RN50__layer1__fov,500_600,5.2613,0.005,0.012,0.038,5
RN50__layer1__fov,600_700,5.2852,0.0047,0.008,0.032,5
RN50__layer1__fov,700_800,5.3013,0.0058,0.004,0.032,5
RN50__layer1__fov,800_900,5.3035,0.0058,0.006,0.031,5
RN50__layer1__fov,900_1000,5.3108,0.008,0.006,0.025,5
RN50__layer2,0_100,4.2059,0.0409,0.054,0.253,5
RN50__layer2,100_200,2.8859,0.0142,0.294,0.642,5
RN50__layer2,200_300,3.2999,0.0365,0.214,0.506,5
RN50__layer2,300_400,4.4924,0.0245,0.065,0.209,5
RN50__layer2,400_500,5.199,0.0091,0.011,0.056,5
RN50__layer2,500_600,5.242,0.0105,0.009,0.041,5
RN50__layer2,600_700,5.276,0.0102,0.008,0.033,5
RN50__layer2,700_800,5.2891,0.0105,0.004,0.03,5
RN50__layer2,800_900,5.3002,0.0014,0.007,0.023,5
RN50__layer2,900_1000,5.3057,0.0123,0.002,0.019,5
RN50__layer2__fov,0_100,4.1589,0.0478,0.057,0.273,5
RN50__layer2__fov,100_200,2.8134,0.0282,0.297,0.663,5
RN50__layer2__fov,200_300,3.2515,0.0368,0.223,0.51,5
RN50__layer2__fov,300_400,4.4815,0.0387,0.07,0.21,5
RN50__layer2__fov,400_500,5.2016,0.0097,0.019,0.06,5
RN50__layer2__fov,500_600,5.24,0.0124,0.008,0.047,5
RN50__layer2__fov,600_700,5.2776,0.0065,0.007,0.039,5
RN50__layer2__fov,700_800,5.2967,0.0061,0.007,0.033,5
RN50__layer2__fov,800_900,5.2969,0.0064,0.012,0.041,5
RN50__layer2__fov,900_1000,5.3054,0.0139,0.005,0.031,5
RN50__layer3,0_100,4.3338,0.0481,0.053,0.206,5
