target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.6905,0.0394,0.048,0.168,5
RN50__attnpool,100_200,3.9417,0.039,0.11,0.349,5
RN50__attnpool,200_300,3.8381,0.011,0.117,0.37,5
RN50__attnpool,300_400,4.2443,0.0358,0.066,0.271,5
RN50__attnpool,400_500,5.0333,0.0189,0.029,0.101,5
RN50__attnpool,500_600,5.3043,0.0261,0.011,0.037,5
RN50__attnpool,600_700,5.3139,0.0147,0.004,0.029,5
RN50__attnpool,700_800,5.3499,0.0106,0.007,0.027,5
RN50__attnpool,800_900,5.3384,0.0119,0.006,0.025,5
RN50__attnpool,900_1000,5.3548,0.0146,0.004,0.022,5
RN50__attnpool__fov,0_100,4.677,0.0259,0.05,0.172,5
RN50__attnpool__fov,100_200,3.9131,0.0401,0.145,0.362,5
RN50__attnpool__fov,200_300,3.7766,0.0257,0.138,0.377,5
RN50__attnpool__fov,300_400,4.2205,0.0132,0.074,0.277,5
RN50__attnpool__fov,400_500,5.0425,0.0504,0.019,0.093,5
RN50__attnpool__fov,500_600,5.2816,0.0199,0.007,0.039,5
RN50__attnpool__fov,600_700,5.3074,0.0148,0.003,0.031,5
RN50__attnpool__fov,700_800,5.3311,0.0057,0.007,0.027,5
RN50__attnpool__fov,800_900,5.3324,0.0118,0.002,0.021,5
RN50__attnpool__fov,900_1000,5.3365,0.0072,0.008,0.028,5
RN50__layer1,0_100,4.0057,0.0248,0.078,0.273,5
RN50__layer1,100_200,3.3346,0.0265,0.185,0.482,5
RN50__layer1,200_300,3.6538,0.0616,0.181,0.435,5
RN50__layer1,300_400,4.5714,0.0181,0.048,0.16,5
RN50__layer1,400_500,5.1876,0.0165,0.014,0.055,5
RN50__layer1,500_600,5.2779,0.0049,0.008,0.027,5
RN50__layer1,600_700,5.2926,0.0051,0.007,0.026,5
RN50__layer1,700_800,5.3123,0.0046,0.007,0.03,5
RN50__layer1,800_900,5.3098,0.0074,0.007,0.028,5
RN50__layer1,900_1000,5.3204,0.0052,0.004,0.023,5
RN50__layer1__fov,0_100,3.9346,0.0252,0.077,0.29,5
RN50__layer1__fov,100_200,3.272,0.0134,0.203,0.502,5
RN50__layer1__fov,200_300,3.5772,0.0065,0.165,0.455,5
RN50__layer1__fov,300_400,4.5361,0.0265,0.048,0.172,5
RN50__layer1__fov,400_500,5.1817,0.0254,0.007,0.047,5
RN50__layer1__fov,500_600,5.2718,0.0107,0.01,0.041,5
RN50__layer1__fov,600_700,5.2883,0.0098,0.005,0.029,5
RN50__layer1__fov,700_800,5.2974,0.0062,0.007,0.031,5
RN50__layer1__fov,800_900,5.3074,0.0057,0.004,0.024,5
RN50__layer1__fov,900_1000,5.3169,0.0074,0.007,0.025,5
RN50__layer2,0_100,3.8452,0.0218,0.104,0.321,5
RN50__layer2,100_200,3.1026,0.022,0.228,0.547,5
RN50__layer2,200_300,3.402,0.0098,0.202,0.461,5
RN50__layer2,300_400,4.3583,0.0288,0.078,0.239,5
RN50__layer2,400_500,5.1074,0.0453,0.015,0.06,5
RN50__layer2,500_600,5.2746,0.0085,0.007,0.041,5
RN50__layer2,600_700,5.303,0.0047,0.002,0.023,5
RN50__layer2,700_800,5.3134,0.0157,0.004,0.024,5
RN50__layer2,800_900,5.3146,0.0099,0.006,0.028,5
RN50__layer2,900_1000,5.3292,0.0107,0.005,0.024,5
RN50__layer2__fov,0_100,3.766,0.0188,0.102,0.344,5
RN50__layer2__fov,100_200,3.0298,0.0337,0.233,0.571,5
RN50__layer2__fov,200_300,3.3167,0.023,0.2,0.522,5
RN50__layer2__fov,300_400,4.3172,0.0315,0.088,0.268,5
