target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,13,7.2319,4.7094,0.03,0.165
RN50__attnpool,0_100,1,13,7.2071,4.6777,0.055,0.155
RN50__attnpool,0_100,2,13,7.1901,4.7436,0.055,0.16
RN50__attnpool,0_100,3,14,7.1883,4.6974,0.04,0.185
RN50__attnpool,0_100,4,14,7.1519,4.6245,0.06,0.175
RN50__attnpool,100_200,0,21,6.7293,3.9337,0.11,0.335
RN50__attnpool,100_200,1,16,6.7461,3.9965,0.115,0.33
RN50__attnpool,100_200,2,24,6.7395,3.8757,0.105,0.35
RN50__attnpool,100_200,3,20,6.6745,3.953,0.1,0.365
RN50__attnpool,100_200,4,23,6.6782,3.9496,0.12,0.365
RN50__attnpool,200_300,0,21,6.7429,3.8407,0.115,0.355
RN50__attnpool,200_300,1,23,6.743,3.8392,0.13,0.375
RN50__attnpool,200_300,2,24,6.7568,3.8366,0.105,0.395
RN50__attnpool,200_300,3,23,6.7146,3.8198,0.12,0.39
RN50__attnpool,200_300,4,23,6.7633,3.8542,0.115,0.335
RN50__attnpool,300_400,0,17,7.0854,4.2219,0.08,0.285
RN50__attnpool,300_400,1,15,7.0874,4.1858,0.065,0.275
RN50__attnpool,300_400,2,13,7.1138,4.2817,0.05,0.305
RN50__attnpool,300_400,3,13,7.124,4.2746,0.075,0.245
RN50__attnpool,300_400,4,17,7.1122,4.2572,0.06,0.245
RN50__attnpool,400_500,0,6,7.4139,5.03,0.02,0.095
RN50__attnpool,400_500,1,7,7.43,5.0324,0.03,0.105
RN50__attnpool,400_500,2,6,7.4289,5.0676,0.035,0.085
RN50__attnpool,400_500,3,7,7.4183,5.0095,0.03,0.1
RN50__attnpool,400_500,4,6,7.44,5.0269,0.03,0.12
RN50__attnpool,500_600,0,3,7.4851,5.2827,0.01,0.04
RN50__attnpool,500_600,1,2,7.4935,5.3553,0.005,0.015
RN50__attnpool,500_600,2,3,7.4724,5.2987,0.02,0.055
RN50__attnpool,500_600,3,3,7.4916,5.2974,0.005,0.045
RN50__attnpool,500_600,4,3,7.4833,5.2876,0.015,0.03
RN50__attnpool,600_700,0,2,7.4895,5.3098,0.005,0.04
RN50__attnpool,600_700,1,2,7.5072,5.3276,0.0,0.01
RN50__attnpool,600_700,2,2,7.4717,5.3007,0.0,0.01
RN50__attnpool,600_700,3,2,7.4986,5.2971,0.005,0.04
RN50__attnpool,600_700,4,2,7.4929,5.3344,0.01,0.045
RN50__attnpool,700_800,0,2,7.4959,5.357,0.01,0.03
RN50__attnpool,700_800,1,2,7.508,5.3537,0.0,0.015
RN50__attnpool,700_800,2,2,7.5013,5.3572,0.005,0.025
RN50__attnpool,700_800,3,2,7.5097,5.3291,0.01,0.03
RN50__attnpool,700_800,4,3,7.5076,5.3528,0.01,0.035
RN50__attnpool,800_900,0,2,7.4982,5.3316,0.005,0.03
RN50__attnpool,800_900,1,2,7.5033,5.3398,0.005,0.025
RN50__attnpool,800_900,2,2,7.5098,5.3477,0.0,0.005
RN50__attnpool,800_900,3,2,7.5129,5.3196,0.01,0.03
RN50__attnpool,800_900,4,2,7.5122,5.3532,0.01,0.035
RN50__attnpool,900_1000,0,2,7.5155,5.3435,0.005,0.04
RN50__attnpool,900_1000,1,2,7.5114,5.3539,0.0,0.015
RN50__attnpool,900_1000,2,2,7.5049,5.3745,0.005,0.02
