target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,11,7.3606,4.8983,0.02,0.115
RN50__attnpool,0_100,1,11,7.4045,4.8738,0.03,0.145
RN50__attnpool,0_100,2,10,7.3954,4.9103,0.025,0.115
RN50__attnpool,0_100,3,10,7.3706,4.9365,0.03,0.13
RN50__attnpool,0_100,4,10,7.3818,4.8907,0.02,0.11
RN50__attnpool,100_200,0,14,6.8869,4.0601,0.075,0.305
RN50__attnpool,100_200,1,13,6.9045,4.0402,0.1,0.325
RN50__attnpool,100_200,2,12,6.8908,4.1023,0.09,0.295
RN50__attnpool,100_200,3,14,6.8971,4.0653,0.085,0.315
RN50__attnpool,100_200,4,15,6.8571,4.0029,0.085,0.31
RN50__attnpool,200_300,0,17,6.851,3.8344,0.12,0.395
RN50__attnpool,200_300,1,16,6.8799,3.8602,0.125,0.405
RN50__attnpool,200_300,2,15,6.8481,3.8771,0.14,0.4
RN50__attnpool,200_300,3,14,6.8961,3.912,0.105,0.41
RN50__attnpool,200_300,4,16,6.8493,3.8529,0.13,0.395
RN50__attnpool,300_400,0,12,7.226,4.2627,0.105,0.25
RN50__attnpool,300_400,1,11,7.2152,4.2954,0.095,0.255
RN50__attnpool,300_400,2,12,7.2084,4.2428,0.085,0.26
RN50__attnpool,300_400,3,10,7.2738,4.341,0.1,0.235
RN50__attnpool,300_400,4,11,7.2346,4.3112,0.075,0.265
RN50__attnpool,400_500,0,5,7.4273,4.9876,0.03,0.105
RN50__attnpool,400_500,1,7,7.4111,4.9018,0.025,0.095
RN50__attnpool,400_500,2,7,7.4147,4.9412,0.02,0.09
RN50__attnpool,400_500,3,4,7.435,5.0406,0.02,0.07
RN50__attnpool,400_500,4,7,7.4147,4.9127,0.035,0.1
RN50__attnpool,500_600,0,3,7.4688,5.2703,0.01,0.04
RN50__attnpool,500_600,1,4,7.4894,5.2246,0.01,0.06
RN50__attnpool,500_600,2,4,7.5016,5.2732,0.005,0.055
RN50__attnpool,500_600,3,3,7.4867,5.2312,0.02,0.04
RN50__attnpool,500_600,4,3,7.49,5.3042,0.005,0.035
RN50__attnpool,600_700,0,3,7.5096,5.3161,0.025,0.05
RN50__attnpool,600_700,1,3,7.5064,5.3359,0.01,0.03
RN50__attnpool,600_700,2,3,7.516,5.3211,0.005,0.03
RN50__attnpool,600_700,3,2,7.4983,5.3127,0.005,0.045
RN50__attnpool,600_700,4,2,7.5173,5.3133,0.005,0.02
RN50__attnpool,700_800,0,3,7.5028,5.3261,0.005,0.035
RN50__attnpool,700_800,1,3,7.5333,5.3732,0.005,0.02
RN50__attnpool,700_800,2,3,7.5342,5.3472,0.015,0.035
RN50__attnpool,700_800,3,2,7.5029,5.3478,0.01,0.035
RN50__attnpool,700_800,4,2,7.5058,5.3509,0.0,0.01
RN50__attnpool,800_900,0,2,7.5088,5.3319,0.005,0.045
RN50__attnpool,800_900,1,2,7.5258,5.3399,0.0,0.02
RN50__attnpool,800_900,2,3,7.5157,5.3468,0.0,0.02
RN50__attnpool,800_900,3,2,7.5085,5.3335,0.005,0.025
RN50__attnpool,800_900,4,2,7.5153,5.358,0.0,0.01
RN50__attnpool,900_1000,0,2,7.51,5.3363,0.01,0.05
RN50__attnpool,900_1000,1,2,7.5355,5.3642,0.005,0.015
RN50__attnpool,900_1000,2,3,7.5343,5.3486,0.005,0.04
RN50__attnpool,900_1000,3,2,7.5116,5.3437,0.0,0.02
RN50__attnpool,900_1000,4,2,7.5154,5.3553,0.01,0.03
RN50__attnpool__fov,0_100,0,11,7.3645,4.9071,0.015,0.11
RN50__attnpool__fov,0_100,1,10,7.399,4.8979,0.03,0.105
RN50__attnpool__fov,0_100,2,10,7.3902,4.9297,0.03,0.125
RN50__attnpool__fov,0_100,3,11,7.3695,4.8952,0.025,0.105
RN50__attnpool__fov,0_100,4,10,7.3689,4.8978,0.015,0.115
RN50__attnpool__fov,100_200,0,14,6.8899,3.9806,0.11,0.335
RN50__attnpool__fov,100_200,1,13,6.8854,4.0368,0.09,0.325
RN50__attnpool__fov,100_200,2,15,6.8959,3.9849,0.105,0.315
RN50__attnpool__fov,100_200,3,15,6.8778,3.9747,0.11,0.36
RN50__attnpool__fov,100_200,4,15,6.8554,3.9805,0.13,0.345
RN50__attnpool__fov,200_300,0,17,6.8259,3.8701,0.105,0.385
RN50__attnpool__fov,200_300,1,17,6.8544,3.8259,0.115,0.4
RN50__attnpool__fov,200_300,2,15,6.8665,3.8859,0.11,0.41
RN50__attnpool__fov,200_300,3,16,6.8684,3.8362,0.13,0.39
RN50__attnpool__fov,200_300,4,16,6.8537,3.8464,0.125,0.4
RN50__attnpool__fov,300_400,0,11,7.2065,4.2607,0.085,0.295
RN50__attnpool__fov,300_400,1,11,7.2136,4.2411,0.11,0.295
RN50__attnpool__fov,300_400,2,14,7.2016,4.1394,0.13,0.3
RN50__attnpool__fov,300_400,3,11,7.2827,4.2535,0.085,0.265
RN50__attnpool__fov,300_400,4,11,7.2378,4.2866,0.105,0.27
RN50__attnpool__fov,400_500,0,6,7.4306,4.9565,0.02,0.11
RN50__attnpool__fov,400_500,1,7,7.4154,4.9,0.025,0.115
RN50__attnpool__fov,400_500,2,7,7.4103,4.9383,0.015,0.095
RN50__attnpool__fov,400_500,3,4,7.4392,5.0202,0.02,0.085
RN50__attnpool__fov,400_500,4,6,7.4223,4.938,0.04,0.11
RN50__attnpool__fov,500_600,0,3,7.4906,5.2664,0.015,0.03
RN50__attnpool__fov,500_600,1,4,7.4816,5.228,0.015,0.075
RN50__attnpool__fov,500_600,2,3,7.4958,5.2624,0.005,0.035
RN50__attnpool__fov,500_600,3,3,7.4926,5.2556,0.01,0.025
RN50__attnpool__fov,500_600,4,3,7.4874,5.3051,0.0,0.025
RN50__attnpool__fov,600_700,0,3,7.5015,5.2971,0.005,0.01
RN50__attnpool__fov,600_700,1,3,7.5017,5.3127,0.0,0.01
RN50__attnpool__fov,600_700,2,3,7.5047,5.3099,0.0,0.01
RN50__attnpool__fov,600_700,3,2,7.5314,5.2854,0.005,0.045
RN50__attnpool__fov,600_700,4,2,7.5274,5.32,0.005,0.03
RN50__attnpool__fov,700_800,0,3,7.5113,5.3643,0.0,0.02
RN50__attnpool__fov,700_800,1,3,7.5068,5.3183,0.005,0.04
RN50__attnpool__fov,700_800,2,3,7.5196,5.3292,0.0,0.02
RN50__attnpool__fov,700_800,3,3,7.5195,5.279,0.005,0.04
RN50__attnpool__fov,700_800,4,2,7.5248,5.3332,0.015,0.025
RN50__attnpool__fov,800_900,0,2,7.5072,5.3429,0.0,0.03
RN50__attnpool__fov,800_900,1,2,7.5098,5.3205,0.0,0.015
RN50__attnpool__fov,800_900,2,2,7.5169,5.3148,0.01,0.03
RN50__attnpool__fov,800_900,3,2,7.5198,5.3177,0.0,0.02
RN50__attnpool__fov,800_900,4,2,7.5159,5.3354,0.005,0.02
RN50__attnpool__fov,900_1000,0,2,7.5172,5.3459,0.005,0.02
RN50__attnpool__fov,900_1000,1,2,7.5298,5.3329,0.005,0.015
RN50__attnpool__fov,900_1000,2,2,7.5249,5.3315,0.005,0.02
RN50__attnpool__fov,900_1000,3,3,7.5124,5.3172,0.005,0.045
RN50__attnpool__fov,900_1000,4,2,7.5002,5.3446,0.005,0.02
RN50__layer1,0_100,0,16,7.1123,4.2412,0.08,0.28
RN50__layer1,0_100,1,16,7.0893,4.1734,0.085,0.25
RN50__layer1,0_100,2,17,7.11,4.2072,0.06,0.25
RN50__layer1,0_100,3,15,7.1169,4.2408,0.065,0.26
RN50__layer1,0_100,4,13,7.1065,4.2815,0.075,0.22
RN50__layer1,100_200,0,22,6.6173,3.4281,0.19,0.45
RN50__layer1,100_200,1,18,6.6604,3.5096,0.13,0.455
RN50__layer1,100_200,2,21,6.6504,3.4259,0.16,0.425
RN50__layer1,100_200,3,21,6.7055,3.4485,0.16,0.435
RN50__layer1,100_200,4,21,6.6355,3.4113,0.145,0.48
RN50__layer1,200_300,0,18,6.8447,3.8491,0.105,0.325
RN50__layer1,200_300,1,15,6.821,3.8617,0.075,0.34
RN50__layer1,200_300,2,16,6.7513,3.8799,0.11,0.315
RN50__layer1,200_300,3,18,6.8294,3.8535,0.11,0.35
RN50__layer1,200_300,4,14,6.8435,3.8974,0.105,0.33
RN50__layer1,300_400,0,7,7.322,4.7041,0.045,0.175
RN50__layer1,300_400,1,8,7.3125,4.621,0.06,0.15
RN50__layer1,300_400,2,10,7.2988,4.589,0.03,0.15
RN50__layer1,300_400,3,8,7.3289,4.6158,0.035,0.18
RN50__layer1,300_400,4,8,7.3401,4.6499,0.065,0.15
RN50__layer1,400_500,0,4,7.4376,5.1542,0.01,0.05
RN50__layer1,400_500,1,5,7.4351,5.0939,0.025,0.095
RN50__layer1,400_500,2,4,7.419,5.153,0.015,0.055
RN50__layer1,400_500,3,4,7.4489,5.1576,0.02,0.045
RN50__layer1,400_500,4,4,7.4297,5.1372,0.01,0.06
RN50__layer1,500_600,0,5,7.4789,5.236,0.015,0.045
RN50__layer1,500_600,1,4,7.4581,5.2201,0.01,0.035
RN50__layer1,500_600,2,4,7.4714,5.2665,0.005,0.035
RN50__layer1,500_600,3,4,7.4908,5.2695,0.005,0.065
RN50__layer1,500_600,4,5,7.4756,5.2418,0.01,0.045
RN50__layer1,600_700,0,3,7.4901,5.2998,0.01,0.04
RN50__layer1,600_700,1,4,7.4562,5.3127,0.005,0.02
RN50__layer1,600_700,2,4,7.4641,5.3198,0.01,0.04
RN50__layer1,600_700,3,4,7.4887,5.3039,0.01,0.045
RN50__layer1,600_700,4,4,7.4854,5.295,0.005,0.025
RN50__layer1,700_800,0,4,7.4979,5.2958,0.0,0.025
RN50__layer1,700_800,1,4,7.5013,5.2845,0.01,0.03
RN50__layer1,700_800,2,4,7.4976,5.3332,0.0,0.015
RN50__layer1,700_800,3,4,7.511,5.3249,0.02,0.045
RN50__layer1,700_800,4,4,7.4893,5.3292,0.0,0.025
RN50__layer1,800_900,0,3,7.4828,5.3131,0.0,0.035
RN50__layer1,800_900,1,3,7.4977,5.3101,0.0,0.025
RN50__layer1,800_900,2,3,7.4753,5.3151,0.0,0.03
RN50__layer1,800_900,3,4,7.5056,5.3225,0.0,0.02
RN50__layer1,800_900,4,3,7.4946,5.3155,0.015,0.015
RN50__layer1,900_1000,0,3,7.5028,5.3174,0.0,0.03
RN50__layer1,900_1000,1,3,7.5003,5.3294,0.0,0.01
RN50__layer1,900_1000,2,4,7.5078,5.3356,0.01,0.04
RN50__layer1,900_1000,3,4,7.51,5.3279,0.005,0.025
RN50__layer1,900_1000,4,4,7.5043,5.3131,0.0,0.01
RN50__layer1__fov,0_100,0,16,7.0725,4.1706,0.095,0.275
RN50__layer1__fov,0_100,1,15,7.0985,4.1539,0.09,0.275
RN50__layer1__fov,0_100,2,17,7.0845,4.1842,0.055,0.22
RN50__layer1__fov,0_100,3,15,7.1098,4.2382,0.085,0.245
RN50__layer1__fov,0_100,4,13,7.0943,4.2488,0.05,0.225
RN50__layer1__fov,100_200,0,18,6.6054,3.4149,0.17,0.43
RN50__layer1__fov,100_200,1,18,6.6422,3.4107,0.17,0.455
RN50__layer1__fov,100_200,2,19,6.6245,3.4068,0.12,0.45
RN50__layer1__fov,100_200,3,21,6.6703,3.4068,0.19,0.46
RN50__layer1__fov,100_200,4,21,6.6234,3.3435,0.16,0.485
RN50__layer1__fov,200_300,0,16,6.8122,3.8183,0.1,0.35
RN50__layer1__fov,200_300,1,15,6.8105,3.8351,0.085,0.365
RN50__layer1__fov,200_300,2,16,6.7346,3.8229,0.11,0.31
RN50__layer1__fov,200_300,3,18,6.7941,3.834,0.095,0.35
RN50__layer1__fov,200_300,4,14,6.8351,3.9119,0.1,0.33
RN50__layer1__fov,300_400,0,7,7.3222,4.6821,0.04,0.165
RN50__layer1__fov,300_400,1,7,7.3101,4.6797,0.065,0.175
RN50__layer1__fov,300_400,2,10,7.3018,4.5699,0.015,0.175
RN50__layer1__fov,300_400,3,8,7.325,4.5846,0.06,0.21
RN50__layer1__fov,300_400,4,8,7.3171,4.665,0.05,0.175
RN50__layer1__fov,400_500,0,4,7.4306,5.153,0.01,0.065
RN50__layer1__fov,400_500,1,5,7.4107,5.1058,0.01,0.05
RN50__layer1__fov,400_500,2,4,7.4223,5.1483,0.015,0.055
RN50__layer1__fov,400_500,3,4,7.4444,5.1558,0.02,0.04
RN50__layer1__fov,400_500,4,5,7.4246,5.1047,0.01,0.06
RN50__layer1__fov,500_600,0,5,7.4902,5.2379,0.005,0.025
RN50__layer1__fov,500_600,1,4,7.4491,5.2275,0.01,0.045
RN50__layer1__fov,500_600,2,4,7.4741,5.2667,0.015,0.035
RN50__layer1__fov,500_600,3,4,7.489,5.2387,0.01,0.04
RN50__layer1__fov,500_600,4,5,7.4755,5.2398,0.01,0.05
RN50__layer1__fov,600_700,0,3,7.4725,5.3082,0.005,0.03
RN50__layer1__fov,600_700,1,4,7.4546,5.3005,0.005,0.025
RN50__layer1__fov,600_700,2,4,7.4709,5.3095,0.005,0.02
RN50__layer1__fov,600_700,3,4,7.4991,5.2945,0.01,0.035
RN50__layer1__fov,600_700,4,4,7.4786,5.2976,0.005,0.035
RN50__layer1__fov,700_800,0,3,7.4945,5.3173,0.005,0.025
RN50__layer1__fov,700_800,1,4,7.5126,5.2985,0.005,0.045
RN50__layer1__fov,700_800,2,4,7.5019,5.3147,0.01,0.015
RN50__layer1__fov,700_800,3,4,7.5113,5.32,0.005,0.045
RN50__layer1__fov,700_800,4,4,7.4851,5.3339,0.015,0.035
RN50__layer1__fov,800_900,0,3,7.4733,5.3268,0.005,0.015
RN50__layer1__fov,800_900,1,3,7.489,5.3058,0.005,0.04
RN50__layer1__fov,800_900,2,3,7.4742,5.3117,0.0,0.04
RN50__layer1__fov,800_900,3,4,7.4972,5.317,0.0,0.02
RN50__layer1__fov,800_900,4,3,7.4914,5.3105,0.005,0.04
RN50__layer1__fov,900_1000,0,3,7.4951,5.304,0.0,0.035
RN50__layer1__fov,900_1000,1,3,7.49,5.3253,0.0,0.025
RN50__layer1__fov,900_1000,2,4,7.5097,5.3329,0.005,0.025
RN50__layer1__fov,900_1000,3,4,7.5109,5.3276,0.005,0.025
RN50__layer1__fov,900_1000,4,4,7.5031,5.3165,0.0,0.015
RN50__layer2,0_100,0,15,7.097,4.2005,0.08,0.265
RN50__layer2,0_100,1,15,7.0577,4.1716,0.085,0.24
RN50__layer2,0_100,2,14,7.0612,4.238,0.075,0.24
RN50__layer2,0_100,3,15,7.0539,4.1548,0.08,0.27
RN50__layer2,0_100,4,14,7.0829,4.1871,0.06,0.24
RN50__layer2,100_200,0,21,6.4847,3.1043,0.255,0.56
RN50__layer2,100_200,1,19,6.4844,3.1957,0.23,0.545
RN50__layer2,100_200,2,19,6.4771,3.2087,0.205,0.505
RN50__layer2,100_200,3,18,6.5358,3.1635,0.245,0.53
RN50__layer2,100_200,4,19,6.4875,3.1863,0.2,0.56
RN50__layer2,200_300,0,16,6.6699,3.5544,0.135,0.47
RN50__layer2,200_300,1,17,6.6745,3.5238,0.15,0.425
RN50__layer2,200_300,2,17,6.6291,3.5447,0.185,0.445
RN50__layer2,200_300,3,16,6.6579,3.5588,0.15,0.455
RN50__layer2,200_300,4,18,6.6705,3.5312,0.17,0.44
