target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,11,7.2652,4.8489,0.03,0.135
RN50__attnpool,0_100,1,10,7.2701,4.8105,0.045,0.115
RN50__attnpool,0_100,2,10,7.286,4.8248,0.025,0.12
RN50__attnpool,0_100,3,9,7.3318,4.8023,0.03,0.16
RN50__attnpool,0_100,4,10,7.2837,4.8473,0.025,0.105
RN50__attnpool,100_200,0,17,6.6991,3.8594,0.12,0.42
RN50__attnpool,100_200,1,17,6.7287,3.7955,0.125,0.455
RN50__attnpool,100_200,2,16,6.7126,3.8791,0.075,0.43
RN50__attnpool,100_200,3,16,6.7634,3.8843,0.11,0.39
RN50__attnpool,100_200,4,17,6.678,3.8601,0.11,0.39
RN50__attnpool,200_300,0,20,6.6993,3.575,0.14,0.425
RN50__attnpool,200_300,1,20,6.6903,3.6008,0.18,0.43
RN50__attnpool,200_300,2,21,6.6607,3.569,0.16,0.465
RN50__attnpool,200_300,3,19,6.677,3.5896,0.15,0.425
RN50__attnpool,200_300,4,17,6.6759,3.6062,0.165,0.46
RN50__attnpool,300_400,0,13,7.2017,4.2424,0.07,0.23
RN50__attnpool,300_400,1,14,7.1477,4.1997,0.07,0.27
RN50__attnpool,300_400,2,16,7.1968,4.2155,0.08,0.265
RN50__attnpool,300_400,3,16,7.1533,4.1717,0.095,0.26
RN50__attnpool,300_400,4,16,7.1784,4.1784,0.09,0.28
RN50__attnpool,400_500,0,13,7.3588,4.701,0.025,0.165
RN50__attnpool,400_500,1,11,7.3599,4.7295,0.04,0.165
RN50__attnpool,400_500,2,14,7.3459,4.7021,0.05,0.15
RN50__attnpool,400_500,3,12,7.3736,4.7019,0.03,0.085
RN50__attnpool,400_500,4,11,7.3801,4.7753,0.03,0.105
RN50__attnpool,500_600,0,3,7.4762,5.2458,0.015,0.04
RN50__attnpool,500_600,1,3,7.4716,5.2268,0.015,0.045
RN50__attnpool,500_600,2,3,7.4578,5.2368,0.005,0.065
RN50__attnpool,500_600,3,3,7.498,5.2154,0.025,0.08
RN50__attnpool,500_600,4,3,7.4796,5.2649,0.02,0.045
RN50__attnpool,600_700,0,3,7.4722,5.3268,0.015,0.045
RN50__attnpool,600_700,1,3,7.4901,5.3221,0.005,0.035
RN50__attnpool,600_700,2,2,7.4816,5.3205,0.01,0.03
RN50__attnpool,600_700,3,3,7.4876,5.2735,0.01,0.06
RN50__attnpool,600_700,4,2,7.4869,5.355,0.005,0.035
RN50__attnpool,700_800,0,3,7.482,5.3385,0.01,0.03
RN50__attnpool,700_800,1,3,7.4996,5.3372,0.005,0.03
RN50__attnpool,700_800,2,2,7.48,5.354,0.005,0.025
RN50__attnpool,700_800,3,3,7.5106,5.3279,0.005,0.035
RN50__attnpool,700_800,4,2,7.4871,5.3605,0.005,0.035
RN50__attnpool,800_900,0,3,7.4727,5.3568,0.005,0.03
RN50__attnpool,800_900,1,3,7.4983,5.3274,0.01,0.03
RN50__attnpool,800_900,2,2,7.4879,5.3635,0.005,0.02
RN50__attnpool,800_900,3,3,7.498,5.334,0.01,0.05
RN50__attnpool,800_900,4,2,7.4855,5.3505,0.01,0.025
RN50__attnpool,900_1000,0,3,7.486,5.3571,0.01,0.02
RN50__attnpool,900_1000,1,3,7.4984,5.3409,0.01,0.04
RN50__attnpool,900_1000,2,2,7.4866,5.3563,0.01,0.03
RN50__attnpool,900_1000,3,3,7.5109,5.3716,0.0,0.02
RN50__attnpool,900_1000,4,2,7.4752,5.3526,0.0,0.03
RN50__attnpool__fov,0_100,0,11,7.2771,4.8401,0.03,0.125
RN50__attnpool__fov,0_100,1,11,7.2668,4.8004,0.015,0.11
RN50__attnpool__fov,0_100,2,10,7.2913,4.8172,0.04,0.135
RN50__attnpool__fov,0_100,3,9,7.3083,4.8,0.05,0.135
RN50__attnpool__fov,0_100,4,11,7.3138,4.7983,0.04,0.115
RN50__attnpool__fov,100_200,0,16,6.7111,3.8155,0.11,0.395
