learning_rate,weight_decay,seed,best_epoch,epochs_run,best_val_loss,test_loss_at_best,test_top1_at_best,test_top5_at_best,train_loss_at_best,gap_at_best,final_train_loss,final_val_loss,final_gap,n_parameters,target,window
0.0001,0.01,0,30,30,6.829113960266113,4.119930267333984,0.05999999865889549,0.29499998688697815,6.324760437011719,0.5043535232543945,6.324760437011719,6.829113960266113,0.5043535232543945,105152,RN50__stem,100_200
0.0001,0.0001,0,30,30,6.829214096069336,4.120143890380859,0.05999999865889549,0.29499998688697815,6.325026035308838,0.504188060760498,6.325026035308838,6.829214096069336,0.504188060760498,105152,RN50__stem,100_200
0.0001,0.01,1,30,30,6.920346260070801,4.1032209396362305,0.08500000089406967,0.32499998807907104,6.311460018157959,0.6088862419128418,6.311460018157959,6.920346260070801,0.6088862419128418,105152,RN50__stem,100_200
0.0001,0.0001,1,30,30,6.9204301834106445,4.103433132171631,0.08500000089406967,0.32499998807907104,6.311779499053955,0.6086506843566895,6.311779499053955,6.9204301834106445,0.6086506843566895,105152,RN50__stem,100_200
0.0001,0.01,0,10,18,7.304311752319336,4.9752607345581055,0.014999999664723873,0.0949999988079071,7.0663743019104,0.23793745040893555,6.928892135620117,7.316832065582275,0.3879399299621582,105152,RN50__stem,300_400
0.0001,0.0001,0,10,18,7.304323196411133,4.975347995758057,0.014999999664723873,0.0949999988079071,7.0664472579956055,0.23787593841552734,6.929035663604736,7.316819190979004,0.3877835273742676,105152,RN50__stem,300_400
0.0001,0.01,1,12,20,7.313507080078125,4.931800842285156,0.009999999776482582,0.07499999552965164,7.035029411315918,0.27847766876220703,6.921449184417725,7.32267427444458,0.40122509002685547,105152,RN50__stem,300_400
0.0001,0.0001,1,12,20,7.313512325286865,4.93192195892334,0.009999999776482582,0.07499999552965164,7.035133361816406,0.278378963470459,6.921607971191406,7.322663307189941,0.40105533599853516,105152,RN50__stem,300_400
0.0001,0.01,0,9,17,7.477667808532715,5.266270160675049,0.004999999888241291,0.03999999910593033,7.295525550842285,0.1821422576904297,7.212795734405518,7.49995231628418,0.2871565818786621,105152,RN50__stem,500_600
0.0001,0.0001,0,9,17,7.477670669555664,5.266278266906738,0.004999999888241291,0.03999999910593033,7.295557022094727,0.1821136474609375,7.212875843048096,7.499921798706055,0.287045955657959,105152,RN50__stem,500_600
0.0001,0.01,1,10,18,7.475699424743652,5.270207405090332,0.009999999776482582,0.029999999329447746,7.298306465148926,0.17739295959472656,7.222260475158691,7.49560546875,0.2733449935913086,105152,RN50__stem,500_600
0.0001,0.0001,1,10,18,7.475699424743652,5.270214080810547,0.009999999776482582,0.029999999329447746,7.298341751098633,0.17735767364501953,7.222341537475586,7.495574474334717,0.27323293685913086,105152,RN50__stem,500_600
0.0001,0.01,0,30,30,6.741447448730469,4.01665735244751,0.10499999672174454,0.35999998450279236,5.208200931549072,1.5332465171813965,5.208200931549072,6.741447448730469,1.5332465171813965,1070592,RN50__attnpool,100_200
0.0001,0.0001,0,30,30,6.741458892822266,4.016718864440918,0.10499999672174454,0.35999998450279236,5.208630561828613,1.5328283309936523,5.208630561828613,6.741458892822266,1.5328283309936523,1070592,RN50__attnpool,100_200
0.0001,0.01,1,24,30,6.750767707824707,4.048234939575195,0.10999999940395355,0.32999998331069946,5.213138580322266,1.5376291275024414,5.1953125,6.7508745193481445,1.5555620193481445,1070592,RN50__attnpool,100_200
0.0001,0.0001,1,24,30,6.750762939453125,4.048266887664795,0.10999999940395355,0.32999998331069946,5.213558673858643,1.5372042655944824,5.195737838745117,6.75086784362793,1.5551300048828125,1070592,RN50__attnpool,100_200
0.0001,0.01,0,26,30,7.072559833526611,4.251034736633301,0.07499999552965164,0.28999999165534973,5.595747947692871,1.4768118858337402,5.5904130935668945,7.072587013244629,1.4821739196777344,1070592,RN50__attnpool,300_400
0.0001,0.0001,0,26,30,7.072566032409668,4.251086235046387,0.07499999552965164,0.28999999165534973,5.596148490905762,1.4764175415039062,5.590814590454102,7.072592735290527,1.4817781448364258,1070592,RN50__attnpool,300_400
0.0001,0.01,1,24,30,7.066799163818359,4.200867652893066,0.07000000029802322,0.26999998092651367,5.622248649597168,1.4445505142211914,5.6059112548828125,7.067165851593018,1.461254596710205,1070592,RN50__attnpool,300_400
0.0001,0.0001,1,24,30,7.066797733306885,4.200909614562988,0.07000000029802322,0.26999998092651367,5.622645378112793,1.4441523551940918,5.606314659118652,7.067162036895752,1.4608473777770996,1070592,RN50__attnpool,300_400
