target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,10,7.3248,4.835,0.015,0.105
RN50__attnpool,0_100,1,9,7.3444,4.9054,0.015,0.12
RN50__attnpool,0_100,2,10,7.3233,4.8391,0.015,0.08
RN50__attnpool,0_100,3,9,7.3128,4.8471,0.03,0.145
RN50__attnpool,0_100,4,11,7.3078,4.8468,0.015,0.125
RN50__attnpool,100_200,0,19,6.8488,3.8365,0.145,0.39
RN50__attnpool,100_200,1,17,6.8401,3.8928,0.16,0.38
RN50__attnpool,100_200,2,17,6.8401,3.876,0.17,0.39
RN50__attnpool,100_200,3,14,6.8681,3.9442,0.15,0.355
RN50__attnpool,100_200,4,15,6.8571,3.9449,0.15,0.37
RN50__attnpool,200_300,0,15,6.8777,3.9032,0.11,0.355
RN50__attnpool,200_300,1,16,6.871,3.8632,0.16,0.38
RN50__attnpool,200_300,2,17,6.86,3.8476,0.11,0.36
RN50__attnpool,200_300,3,18,6.8887,3.8238,0.115,0.355
RN50__attnpool,200_300,4,17,6.8956,3.8686,0.11,0.38
RN50__attnpool,300_400,0,15,7.211,4.2617,0.055,0.205
RN50__attnpool,300_400,1,9,7.2619,4.4573,0.035,0.185
RN50__attnpool,300_400,2,12,7.2015,4.3248,0.06,0.255
RN50__attnpool,300_400,3,9,7.2637,4.4301,0.06,0.215
RN50__attnpool,300_400,4,11,7.2498,4.3794,0.06,0.22
RN50__attnpool,400_500,0,5,7.4672,5.1336,0.01,0.06
RN50__attnpool,400_500,1,4,7.4607,5.2017,0.015,0.04
RN50__attnpool,400_500,2,6,7.4719,5.1486,0.02,0.07
RN50__attnpool,400_500,3,3,7.4645,5.2385,0.005,0.03
RN50__attnpool,400_500,4,3,7.4737,5.2474,0.0,0.02
RN50__attnpool,500_600,0,3,7.4768,5.2636,0.0,0.035
RN50__attnpool,500_600,1,2,7.4784,5.2705,0.0,0.03
RN50__attnpool,500_600,2,3,7.4943,5.2828,0.01,0.05
RN50__attnpool,500_600,3,2,7.4971,5.2837,0.005,0.045
RN50__attnpool,500_600,4,3,7.4883,5.2718,0.015,0.04
RN50__attnpool,600_700,0,3,7.474,5.2935,0.0,0.035
RN50__attnpool,600_700,1,2,7.4879,5.3159,0.005,0.02
RN50__attnpool,600_700,2,2,7.5035,5.3394,0.005,0.025
RN50__attnpool,600_700,3,2,7.4876,5.3363,0.0,0.045
RN50__attnpool,600_700,4,2,7.4823,5.3066,0.0,0.03
RN50__attnpool,700_800,0,3,7.5008,5.3077,0.005,0.035
RN50__attnpool,700_800,1,2,7.4938,5.3409,0.005,0.02
RN50__attnpool,700_800,2,3,7.5051,5.3618,0.0,0.025
RN50__attnpool,700_800,3,2,7.4943,5.3206,0.01,0.02
RN50__attnpool,700_800,4,3,7.4819,5.3117,0.005,0.045
RN50__attnpool,800_900,0,2,7.5034,5.3272,0.005,0.015
RN50__attnpool,800_900,1,2,7.4956,5.3363,0.01,0.025
RN50__attnpool,800_900,2,2,7.5039,5.351,0.0,0.015
RN50__attnpool,800_900,3,2,7.4891,5.3352,0.01,0.03
RN50__attnpool,800_900,4,2,7.4908,5.3299,0.01,0.015
