target,window,top1,top5
ViT-L-14__block24,0_100,0.026,0.08
ViT-L-14__block24,100_200,0.084,0.317
ViT-L-14__block24,200_300,0.15,0.373
ViT-L-14__block24,300_400,0.102,0.333
ViT-L-14__block24,400_500,0.053,0.195
ViT-L-14__block24,500_600,0.012,0.048
ViT-L-14__block24,600_700,0.011,0.037
ViT-L-14__block24,700_800,0.008,0.03
ViT-L-14__block24,800_900,0.007,0.027
ViT-L-14__block24,900_1000,0.008,0.031
