target,window,seed,best_epoch_wd1e-2,best_val_loss_wd1e-2,test_loss_at_best_wd1e-2,test_top1_at_best_wd1e-2,test_top5_at_best_wd1e-2,train_loss_at_best_wd1e-2,gap_at_best_wd1e-2,final_gap_wd1e-2,best_epoch_wd1e-4,best_val_loss_wd1e-4,test_loss_at_best_wd1e-4,test_top1_at_best_wd1e-4,test_top5_at_best_wd1e-4,train_loss_at_best_wd1e-4,gap_at_best_wd1e-4,final_gap_wd1e-4,delta_best_val_wd1e-4_minus_wd1e-2,delta_test_loss_wd1e-4_minus_wd1e-2,delta_test_top1_wd1e-4_minus_wd1e-2,delta_gap_at_best_wd1e-4_minus_wd1e-2
RN50__stem,100_200,0,30,6.829113960266113,4.119930267333984,0.05999999865889549,0.29499998688697815,6.324760437011719,0.5043535232543945,0.5043535232543945,30,6.829214096069336,4.120143890380859,0.05999999865889549,0.29499998688697815,6.325026035308838,0.504188060760498,0.504188060760498,0.00010013580322265625,0.000213623046875,0.0,-0.00016546249389648438
RN50__stem,100_200,1,30,6.920346260070801,4.1032209396362305,0.08500000089406967,0.32499998807907104,6.311460018157959,0.6088862419128418,0.6088862419128418,30,6.9204301834106445,4.103433132171631,0.08500000089406967,0.32499998807907104,6.311779499053955,0.6086506843566895,0.6086506843566895,8.392333984375e-05,0.00021219253540039062,0.0,-0.00023555755615234375
RN50__stem,300_400,0,10,7.304311752319336,4.9752607345581055,0.014999999664723873,0.0949999988079071,7.0663743019104,0.23793745040893555,0.3879399299621582,10,7.304323196411133,4.975347995758057,0.014999999664723873,0.0949999988079071,7.0664472579956055,0.23787593841552734,0.3877835273742676,1.1444091796875e-05,8.726119995117188e-05,0.0,-6.151199340820312e-05
RN50__stem,300_400,1,12,7.313507080078125,4.931800842285156,0.009999999776482582,0.07499999552965164,7.035029411315918,0.27847766876220703,0.40122509002685547,12,7.313512325286865,4.93192195892334,0.009999999776482582,0.07499999552965164,7.035133361816406,0.278378963470459,0.40105533599853516,5.245208740234375e-06,0.00012111663818359375,0.0,-9.870529174804688e-05
RN50__stem,500_600,0,9,7.477667808532715,5.266270160675049,0.004999999888241291,0.03999999910593033,7.295525550842285,0.1821422576904297,0.2871565818786621,9,7.477670669555664,5.266278266906738,0.004999999888241291,0.03999999910593033,7.295557022094727,0.1821136474609375,0.287045955657959,2.86102294921875e-06,8.106231689453125e-06,0.0,-2.86102294921875e-05
RN50__stem,500_600,1,10,7.475699424743652,5.270207405090332,0.009999999776482582,0.029999999329447746,7.298306465148926,0.17739295959472656,0.2733449935913086,10,7.475699424743652,5.270214080810547,0.009999999776482582,0.029999999329447746,7.298341751098633,0.17735767364501953,0.27323293685913086,0.0,6.67572021484375e-06,0.0,-3.528594970703125e-05
RN50__attnpool,100_200,0,30,6.741447448730469,4.01665735244751,0.10499999672174454,0.35999998450279236,5.208200931549072,1.5332465171813965,1.5332465171813965,30,6.741458892822266,4.016718864440918,0.10499999672174454,0.35999998450279236,5.208630561828613,1.5328283309936523,1.5328283309936523,1.1444091796875e-05,6.151199340820312e-05,0.0,-0.0004181861877441406
RN50__attnpool,100_200,1,24,6.750767707824707,4.048234939575195,0.10999999940395355,0.32999998331069946,5.213138580322266,1.5376291275024414,1.5555620193481445,24,6.750762939453125,4.048266887664795,0.10999999940395355,0.32999998331069946,5.213558673858643,1.5372042655944824,1.5551300048828125,-4.76837158203125e-06,3.1948089599609375e-05,0.0,-0.0004248619079589844
RN50__attnpool,300_400,0,26,7.072559833526611,4.251034736633301,0.07499999552965164,0.28999999165534973,5.595747947692871,1.4768118858337402,1.4821739196777344,26,7.072566032409668,4.251086235046387,0.07499999552965164,0.28999999165534973,5.596148490905762,1.4764175415039062,1.4817781448364258,6.198883056640625e-06,5.14984130859375e-05,0.0,-0.0003943443298339844
RN50__attnpool,300_400,1,24,7.066799163818359,4.200867652893066,0.07000000029802322,0.26999998092651367,5.622248649597168,1.4445505142211914,1.461254596710205,24,7.066797733306885,4.200909614562988,0.07000000029802322,0.26999998092651367,5.622645378112793,1.4441523551940918,1.4608473777770996,-1.430511474609375e-06,4.1961669921875e-05,0.0,-0.0003981590270996094
RN50__attnpool,500_600,0,3,7.487196445465088,5.281562805175781,0.009999999776482582,0.044999998062849045,7.102998733520508,0.3841977119445801,1.054314136505127,3,7.4871978759765625,5.2815656661987305,0.009999999776482582,0.044999998062849045,7.103028774261475,0.3841691017150879,1.0541048049926758,1.430511474609375e-06,2.86102294921875e-06,0.0,-2.86102294921875e-05
RN50__attnpool,500_600,1,3,7.495038986206055,5.348676681518555,0.009999999776482582,0.019999999552965164,7.077542304992676,0.4174966812133789,1.0765204429626465,3,7.495037078857422,5.348678112030029,0.009999999776482582,0.019999999552965164,7.077570915222168,0.4174661636352539,1.0763273239135742,-1.9073486328125e-06,1.430511474609375e-06,0.0,-3.0517578125e-05
ViT-B-16__block2,100_200,0,30,6.4492950439453125,3.4093222618103027,0.17499999701976776,0.5249999761581421,5.389623641967773,1.059671401977539,1.059671401977539,30,6.449319839477539,3.409428358078003,0.17499999701976776,0.5249999761581421,5.389804840087891,1.0595149993896484,1.0595149993896484,2.47955322265625e-05,0.00010609626770019531,0.0,-0.000156402587890625
ViT-B-16__block2,100_200,1,30,6.498845100402832,3.3953263759613037,0.19499999284744263,0.5,5.382126808166504,1.1167182922363281,1.1167182922363281,30,6.498871803283691,3.3954381942749023,0.19499999284744263,0.5,5.382319927215576,1.1165518760681152,1.1165518760681152,2.6702880859375e-05,0.00011181831359863281,0.0,-0.00016641616821289062
ViT-B-16__block2,300_400,0,12,7.203320503234863,4.566408157348633,0.06499999761581421,0.2149999886751175,6.47157096862793,0.7317495346069336,0.9427299499511719,12,7.203318119049072,4.566443920135498,0.06499999761581421,0.2149999886751175,6.47165584564209,0.7316622734069824,0.9426040649414062,-2.384185791015625e-06,3.5762786865234375e-05,0.0,-8.726119995117188e-05
ViT-B-16__block2,300_400,1,14,7.215132713317871,4.538492202758789,0.06499999761581421,0.22999998927116394,6.401338577270508,0.8137941360473633,0.9774765968322754,14,7.215133190155029,4.538521766662598,0.06499999761581421,0.22999998927116394,6.401422023773193,0.8137111663818359,0.9773669242858887,4.76837158203125e-07,2.956390380859375e-05,0.0,-8.296966552734375e-05
ViT-B-16__block2,500_600,0,3,7.444037914276123,5.247693061828613,0.014999999664723873,0.04999999701976776,7.24878454208374,0.1952533721923828,0.6197080612182617,3,7.444036483764648,5.24769401550293,0.014999999664723873,0.04999999701976776,7.248794078826904,0.19524240493774414,0.6196503639221191,-1.430511474609375e-06,9.5367431640625e-07,0.0,-1.0967254638671875e-05
ViT-B-16__block2,500_600,1,2,7.4403886795043945,5.259407043457031,0.009999999776482582,0.04999999701976776,7.293891906738281,0.14649677276611328,0.5922293663024902,2,7.440387725830078,5.259407997131348,0.009999999776482582,0.04999999701976776,7.293895244598389,0.14649248123168945,0.5921831130981445,-9.5367431640625e-07,9.5367431640625e-07,0.0,-4.291534423828125e-06
ViT-B-16__block12,100_200,0,30,6.822146415710449,4.198060035705566,0.10999999940395355,0.2549999952316284,5.13654899597168,1.6855974197387695,1.6855974197387695,30,6.82215690612793,4.198091506958008,0.10999999940395355,0.2549999952316284,5.137082099914551,1.685074806213379,1.685074806213379,1.049041748046875e-05,3.147125244140625e-05,0.0,-0.000522613525390625
ViT-B-16__block12,100_200,1,26,6.828980445861816,4.221877098083496,0.07999999821186066,0.2849999964237213,5.13249397277832,1.696486473083496,1.7022738456726074,26,6.8289794921875,4.2219343185424805,0.07999999821186066,0.2849999964237213,5.133016586303711,1.695962905883789,1.7017464637756348,-9.5367431640625e-07,5.7220458984375e-05,0.0,-0.0005235671997070312
ViT-B-16__block12,300_400,0,30,7.116154193878174,4.384967803955078,0.054999999701976776,0.2449999898672104,5.480023384094238,1.6361308097839355,1.6361308097839355,30,7.116177082061768,4.38499641418457,0.054999999701976776,0.2449999898672104,5.480512619018555,1.635664463043213,1.635664463043213,2.288818359375e-05,2.86102294921875e-05,0.0,-0.00046634674072265625
ViT-B-16__block12,300_400,1,27,7.113261699676514,4.419802188873291,0.054999999701976776,0.25999999046325684,5.490665435791016,1.622596263885498,1.6252031326293945,27,7.113262176513672,4.419842720031738,0.054999999701976776,0.25999999046325684,5.491175651550293,1.622086524963379,1.6246905326843262,4.76837158203125e-07,4.0531158447265625e-05,0.0,-0.0005097389221191406
ViT-B-16__block12,500_600,0,3,7.527707099914551,5.2981390953063965,0.004999999888241291,0.044999998062849045,7.049489974975586,0.47821712493896484,1.221059799194336,3,7.527708053588867,5.298141956329346,0.004999999888241291,0.044999998062849045,7.049529075622559,0.4781789779663086,1.220818042755127,9.5367431640625e-07,2.86102294921875e-06,0.0,-3.814697265625e-05
