target,window,top1,top5
ViT-L-14__block24,0_100,0.024,0.092
ViT-L-14__block24,100_200,0.096,0.317
ViT-L-14__block24,200_300,0.118,0.328
ViT-L-14__block24,300_400,0.062,0.204
ViT-L-14__block24,400_500,0.029,0.109
ViT-L-14__block24,500_600,0.009,0.049
ViT-L-14__block24,600_700,0.006,0.028
ViT-L-14__block24,700_800,0.004,0.033
ViT-L-14__block24,800_900,0.006,0.029
ViT-L-14__block24,900_1000,0.005,0.036
