target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.7572,0.0349,0.041,0.157,5
RN50__attnpool,100_200,3.4148,0.0228,0.196,0.492,5
RN50__attnpool,200_300,3.3593,0.0108,0.215,0.484,5
RN50__attnpool,300_400,3.8374,0.0273,0.119,0.36,5
RN50__attnpool,400_500,4.4913,0.0325,0.052,0.184,5
RN50__attnpool,500_600,5.1324,0.0524,0.018,0.068,5
RN50__attnpool,600_700,5.2616,0.0211,0.006,0.037,5
RN50__attnpool,700_800,5.2924,0.0084,0.008,0.023,5
RN50__attnpool,800_900,5.2996,0.0105,0.004,0.031,5
RN50__attnpool,900_1000,5.3073,0.0118,0.005,0.022,5
RN50__attnpool__fov,0_100,4.7472,0.0142,0.048,0.167,5
RN50__attnpool__fov,100_200,3.3842,0.0306,0.216,0.492,5
RN50__attnpool__fov,200_300,3.314,0.0166,0.225,0.507,5
RN50__attnpool__fov,300_400,3.8203,0.0281,0.118,0.369,5
RN50__attnpool__fov,400_500,4.4871,0.0139,0.055,0.195,5
RN50__attnpool__fov,500_600,5.1095,0.042,0.014,0.064,5
RN50__attnpool__fov,600_700,5.2497,0.0233,0.007,0.034,5
RN50__attnpool__fov,700_800,5.2908,0.0076,0.003,0.023,5
RN50__attnpool__fov,800_900,5.2975,0.0128,0.007,0.028,5
RN50__attnpool__fov,900_1000,5.3035,0.0114,0.005,0.027,5
RN50__layer1,0_100,4.1135,0.0252,0.072,0.273,5
RN50__layer1,100_200,2.9951,0.0484,0.269,0.604,5
RN50__layer1,200_300,3.4373,0.0259,0.133,0.431,5
RN50__layer1,300_400,4.2592,0.0548,0.062,0.217,5
RN50__layer1,400_500,4.9725,0.0808,0.034,0.142,5
RN50__layer1,500_600,5.2374,0.0089,0.013,0.045,5
RN50__layer1,600_700,5.2789,0.0057,0.006,0.035,5
RN50__layer1,700_800,5.2855,0.0059,0.004,0.028,5
RN50__layer1,800_900,5.2919,0.0033,0.003,0.022,5
RN50__layer1,900_1000,5.3014,0.0042,0.003,0.026,5
RN50__layer1__fov,0_100,4.0306,0.054,0.082,0.298,5
RN50__layer1__fov,100_200,2.9171,0.0381,0.264,0.631,5
RN50__layer1__fov,200_300,3.3752,0.0263,0.125,0.444,5
RN50__layer1__fov,300_400,4.2418,0.0395,0.063,0.231,5
RN50__layer1__fov,400_500,4.9548,0.094,0.028,0.137,5
RN50__layer1__fov,500_600,5.2368,0.009,0.012,0.043,5
RN50__layer1__fov,600_700,5.2821,0.0026,0.006,0.037,5
RN50__layer1__fov,700_800,5.2897,0.0057,0.005,0.026,5
RN50__layer1__fov,800_900,5.2915,0.0087,0.008,0.029,5
RN50__layer1__fov,900_1000,5.3007,0.0046,0.006,0.02,5
RN50__layer2,0_100,4.0507,0.017,0.087,0.286,5
RN50__layer2,100_200,2.6714,0.0205,0.316,0.713,5
RN50__layer2,200_300,3.2015,0.0256,0.2,0.482,5
RN50__layer2,300_400,4.0209,0.0282,0.11,0.292,5
RN50__layer2,400_500,4.6341,0.0347,0.049,0.164,5
RN50__layer2,500_600,5.2179,0.0235,0.007,0.042,5
RN50__layer2,600_700,5.2727,0.0087,0.006,0.035,5
RN50__layer2,700_800,5.3011,0.0062,0.006,0.031,5
RN50__layer2,800_900,5.2995,0.005,0.005,0.031,5
RN50__layer2,900_1000,5.3091,0.0051,0.002,0.027,5
RN50__layer2__fov,0_100,3.9778,0.0198,0.104,0.311,5
RN50__layer2__fov,100_200,2.5834,0.0244,0.34,0.711,5
RN50__layer2__fov,200_300,3.1455,0.037,0.202,0.508,5
RN50__layer2__fov,300_400,3.9936,0.0295,0.105,0.301,5
RN50__layer2__fov,400_500,4.6257,0.0197,0.051,0.168,5
RN50__layer2__fov,500_600,5.2161,0.0237,0.009,0.049,5
RN50__layer2__fov,600_700,5.2704,0.0127,0.009,0.036,5
RN50__layer2__fov,700_800,5.2937,0.0047,0.005,0.026,5
RN50__layer2__fov,800_900,5.2973,0.0051,0.008,0.029,5
