target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,11,7.2729,4.8205,0.025,0.14
RN50__attnpool,0_100,1,12,7.2766,4.8242,0.045,0.14
RN50__attnpool,0_100,2,11,7.2656,4.8284,0.04,0.14
RN50__attnpool,0_100,3,11,7.28,4.8653,0.025,0.1
RN50__attnpool,0_100,4,10,7.3088,4.8348,0.03,0.165
RN50__attnpool,100_200,0,21,6.6875,3.6665,0.15,0.37
RN50__attnpool,100_200,1,19,6.6723,3.7135,0.155,0.42
RN50__attnpool,100_200,2,19,6.712,3.6572,0.155,0.415
RN50__attnpool,100_200,3,18,6.7337,3.6735,0.13,0.44
RN50__attnpool,100_200,4,21,6.6653,3.6414,0.165,0.41
RN50__attnpool,200_300,0,17,6.8018,3.7458,0.12,0.405
RN50__attnpool,200_300,1,17,6.735,3.7573,0.17,0.39
RN50__attnpool,200_300,2,18,6.7304,3.7626,0.15,0.37
RN50__attnpool,200_300,3,18,6.7837,3.7733,0.125,0.395
RN50__attnpool,200_300,4,19,6.8131,3.7262,0.145,0.38
RN50__attnpool,300_400,0,12,7.1421,4.2014,0.075,0.255
RN50__attnpool,300_400,1,12,7.0789,4.2337,0.05,0.215
RN50__attnpool,300_400,2,12,7.1126,4.2291,0.07,0.245
RN50__attnpool,300_400,3,13,7.0978,4.2247,0.065,0.255
RN50__attnpool,300_400,4,13,7.0919,4.2458,0.075,0.255
RN50__attnpool,400_500,0,9,7.3982,4.8924,0.015,0.125
RN50__attnpool,400_500,1,10,7.3765,4.8861,0.015,0.105
RN50__attnpool,400_500,2,9,7.3621,4.8747,0.025,0.085
RN50__attnpool,400_500,3,11,7.339,4.851,0.02,0.105
RN50__attnpool,400_500,4,10,7.3636,4.885,0.03,0.11
RN50__attnpool,500_600,0,3,7.4665,5.2615,0.005,0.055
RN50__attnpool,500_600,1,3,7.4869,5.2479,0.0,0.03
RN50__attnpool,500_600,2,3,7.4659,5.209,0.01,0.045
RN50__attnpool,500_600,3,2,7.4665,5.2594,0.01,0.04
RN50__attnpool,500_600,4,3,7.5061,5.2353,0.02,0.06
RN50__attnpool,600_700,0,2,7.4936,5.3079,0.0,0.015
RN50__attnpool,600_700,1,2,7.5135,5.2885,0.01,0.045
